farm_id,theta_deg,L_geo,L_energy
1,0.0,0.7212028863568292,0.44100802631922953
1,5.0,0.5587698511413914,0.32981893448604716
1,10.0,0.3400961548454817,0.19304729485337735
1,15.0,0.21141498198650632,0.11679553322289105
1,20.0,0.16767295423608586,0.0911219301102113
1,25.0,0.17228842745197115,0.09348255285179641
1,30.0,0.18186039608293214,0.09877057440493708
1,35.0,0.19359948479292033,0.10565952021524405
1,40.0,0.20476834412012268,0.1121472843143928
1,45.0,0.2105506312776314,0.1154003307039948
1,50.0,0.21226114241409177,0.11649882375030807
1,55.0,0.21895387648108044,0.12037419484823664
1,60.0,0.22807063409477069,0.12570689775752963
1,65.0,0.23319060505827438,0.12898740998291036
1,70.0,0.23403212701945653,0.1292383242055095
1,75.0,0.2277627011863812,0.1255530794446017
1,80.0,0.2202326283147279,0.12122139898937989
1,85.0,0.24349764546343933,0.13481913538021595
1,90.0,0.2612304606868108,0.1454376261708561
1,95.0,0.24311996996417573,0.13474472517929403
1,100.0,0.23521219565792084,0.13013448312869313
1,105.0,0.23492683343998766,0.1297745527051476
1,110.0,0.22568330370311074,0.12393373869763402
1,115.0,0.2339369589755208,0.12906553010881217
1,120.0,0.2343318244874324,0.12925527176374985
1,125.0,0.219446624626901,0.12043146144731498
1,130.0,0.22106293237277252,0.1213550441054011
1,135.0,0.21403587421732295,0.11727857602902847
1,140.0,0.20241913550873591,0.1105175726354416
1,145.0,0.19331200443791818,0.10525387656492557
1,150.0,0.17793967701377633,0.09630748108964271
1,155.0,0.16145419573578623,0.08685466276608722
1,160.0,0.16485992603607003,0.08817703159223311
1,165.0,0.24063451102196998,0.1321066962579983
1,170.0,0.42663036396626275,0.24474149761197772
1,175.0,0.6812256253098212,0.4137380735341406
1,180.0,0.7210769546725321,0.4408111330223915
1,185.0,0.5589111061387997,0.3299124515640035
1,190.0,0.3419496579938124,0.1940169256498886
1,195.0,0.20997257618026888,0.11615438142102608
1,200.0,0.1656445304212124,0.09017487335686636
1,205.0,0.17245388122754723,0.09360758590391538
1,210.0,0.18298574295013048,0.09930391605957278
1,215.0,0.1930036317784256,0.10541288483723776
1,220.0,0.2026609391852291,0.11095513711404159
1,225.0,0.20896455562709948,0.11462964972123757
1,230.0,0.2090974196451404,0.11483995934240188
1,235.0,0.21715215620634842,0.11943363005430108
1,240.0,0.22629194614027004,0.12475193262379702
1,245.0,0.23325714820872234,0.1290572835813597
1,250.0,0.23056645265920117,0.12744656263367238
1,255.0,0.22440184505975191,0.1238246679769558
1,260.0,0.21885508780521878,0.12046605780200637
1,265.0,0.2451119498497164,0.13561738425210013
1,270.0,0.2593484859169406,0.14444469250202507
1,275.0,0.24166185176359178,0.13395257410285932
1,280.0,0.2329473177614726,0.12896956683484728
1,285.0,0.23598362143493368,0.1303427857691638
1,290.0,0.22431527344520308,0.12324640508357809
1,295.0,0.23189630169657716,0.12803659336174733
1,300.0,0.23450865304109514,0.12922284325164823
1,305.0,0.21918932883499043,0.12024265011077095
1,310.0,0.22075388126622797,0.121069920376213
1,315.0,0.21416813143298874,0.11721519410567915
1,320.0,0.20300445088187757,0.11082828018740765
1,325.0,0.19372262697030562,0.10540648770902672
1,330.0,0.1766173747662394,0.09563619887139896
1,335.0,0.1602268065438167,0.08630418502061454
1,340.0,0.16245388749228085,0.08706894738825166
1,345.0,0.24055470320216998,0.1319232389654591
1,350.0,0.4276174118622915,0.24531936499642204
1,355.0,0.6813671209069037,0.4139138556799369
2,0.0,0.36162571109801356,0.15398149002960815
2,5.0,0.3728128263949648,0.15980169801098987
2,10.0,0.37299213495629435,0.16043959016222098
2,15.0,0.36616014493949556,0.15697805772937357
2,20.0,0.36421564720107813,0.1555152534331995
2,25.0,0.38216429952803777,0.16366973185888423
2,30.0,0.3886117092964,0.16767037602644796
2,35.0,0.3810957366414539,0.1639264210941852
2,40.0,0.364081756289349,0.1554554671727434
2,45.0,0.3649225102775847,0.15582074142395153
2,50.0,0.3910667188792478,0.16877171616916142
2,55.0,0.38237013577792434,0.16504072475960696
2,60.0,0.3612942884365169,0.15517344796039478
2,65.0,0.37524674914076905,0.1628202832076796
2,70.0,0.3833144434243726,0.166212698207453
2,75.0,0.3956849069578492,0.17021249086758816
2,80.0,0.3914724620591765,0.16754548140313352
2,85.0,0.3754010121930397,0.15973310083129966
2,90.0,0.35962532045961937,0.15325484244413
2,95.0,0.3685084950942886,0.15772328692106374
2,100.0,0.3744462445633081,0.16004718811632768
2,105.0,0.37187885881678884,0.15812596292944914
2,110.0,0.3705826779141165,0.1573790510826446
2,115.0,0.3685407630212777,0.15664205673291443
2,120.0,0.3685244662877236,0.15688548245748823
2,125.0,0.3880554748184142,0.16632333133530852
2,130.0,0.4326798593814085,0.18957449817303773
2,135.0,0.4931893745462155,0.22274027132376795
2,140.0,0.5047278341239319,0.22908828570705742
2,145.0,0.45803788933778056,0.20310997750132698
2,150.0,0.4089702372119979,0.17630057613344585
2,155.0,0.3798680807154493,0.16187973501124164
2,160.0,0.3524845344372869,0.1491854601616286
2,165.0,0.3383190956691956,0.14328775690046958
2,170.0,0.3378315298794219,0.14316189296372972
2,175.0,0.34232271897455013,0.14511593480003848
2,180.0,0.35443144276545335,0.1510261298860096
2,185.0,0.368711626795842,0.15807209753974738
2,190.0,0.3747450902219427,0.16121648573998482
2,195.0,0.36968480408008153,0.15858463718872962
2,200.0,0.36542617770583474,0.15598843956392372
2,205.0,0.37493283775180164,0.16068948455580734
2,210.0,0.37746690139035755,0.16319904129452478
2,215.0,0.3695353010215382,0.15920372772783054
2,220.0,0.3567492616694389,0.15252328150046435
2,225.0,0.361857086996641,0.15453399803153867
2,230.0,0.3932260658925859,0.16941515734371737
