farm_id,theta_deg,rose_probability,best_rotation_direction_contribution_kw
66,220.0,0.0020078488637400747,69.0857706708799
66,225.0,0.002829241580724651,105.13284285318566
66,230.0,0.003011773295610112,99.87888558892347
66,235.0,0.0026467098658391895,44.06881773259301
66,240.0,0.0020078488637400747,-20.862728654951766
66,245.0,0.003103039153052843,-147.73602169265257
66,250.0,0.0024641781509537283,-233.57522730452436
66,255.0,0.0021903805786255364,-321.85722465357685
66,260.0,0.0018253171488546134,-274.8439829996711
66,265.0,0.002829241580724651,-328.6832341594734
66,270.0,0.002555444008396459,-165.49179783930387
66,275.0,0.0035593684402664963,-86.87711624723715
66,280.0,0.0032855708679383044,13.18573693300758
66,285.0,0.004198229442365611,93.26802242008185
66,290.0,0.005749749018892032,159.10047554122698
66,295.0,0.007027471023090262,174.808592487372
66,300.0,0.0063886100209911475,146.41636333907076
66,305.0,0.008944054029387607,189.35555591632402
66,310.0,0.010586839463356758,208.7081526188913
66,315.0,0.011955827324997718,233.6109838542609
66,320.0,0.012503422469654102,246.42002261170148
66,325.0,0.012868485899425025,237.0066672227806
66,330.0,0.014420005475951446,278.6568971120689
66,335.0,0.013416081044081409,240.09779186971042
66,340.0,0.012320890754768641,248.44410503097362
66,345.0,0.012503422469654102,251.222643653628
66,350.0,0.014237473761065985,297.89156056802074
66,355.0,0.01213835903988318,261.67740425602585
91,0.0,0.013142283471753217,216.16127913785297
91,5.0,0.016884183626905174,308.22798404553527
91,10.0,0.02163000821392717,482.545284142761
91,15.0,0.02546317422652186,591.1578172904667
91,20.0,0.024641781509537282,638.7422142761941
91,25.0,0.024915579081865473,759.8225280151628
91,30.0,0.021264944784156248,718.2577605045219
91,35.0,0.0148763347631651,450.96979928559136
91,40.0,0.012685954184539563,106.73024575017635
91,45.0,0.011225700465455873,-245.27916383663074
91,50.0,0.01067810532079949,-591.2125642344713
91,55.0,0.01213835903988318,-1130.6091889197164
91,60.0,0.011316966322898603,-1125.4935121441183
91,65.0,0.014785068905722369,-1195.0122680626562
91,70.0,0.017888108058775214,-780.4918425321682
91,75.0,0.025098110796750936,-321.04104970012816
91,80.0,0.030391530528429314,374.72839490840914
91,85.0,0.04006571141735877,879.9275635239562
91,90.0,0.04827963858720453,837.2324828592205
91,95.0,0.04326001642785434,569.1593076125387
91,100.0,0.03751026740896231,371.4863035835524
91,105.0,0.030300264670986583,255.16592735648663
91,110.0,0.02829241580724651,167.1983658743997
91,115.0,0.02153874235648444,116.03405872447594
91,120.0,0.019622159350187095,88.89509879553593
91,125.0,0.01861823491831706,145.1169352638293
91,130.0,0.016610386054576983,21.95236463229812
91,135.0,0.01642785433969152,162.2407153560118
91,140.0,0.014420005475951446,69.65614838680929
91,145.0,0.013051017614310486,54.533110787722435
91,150.0,0.014237473761065985,156.44002303227904
91,155.0,0.014146207903623255,64.62918484234022
91,160.0,0.015423929907821484,197.07762448565822
91,165.0,0.016062790909920598,250.40904484948717
91,170.0,0.016792917769462443,194.00820656330487
91,175.0,0.017249247056676097,264.01602980689177
91,180.0,0.019074564205530713,315.1710841840555
91,185.0,0.022268869216026284,408.3718532039131
91,190.0,0.02163000821392717,482.273037157731
91,195.0,0.022451400930911747,520.8874234060845
91,200.0,0.025280642511636395,655.2145779958003
91,205.0,0.02190380578625536,668.145955835136
91,210.0,0.017340512914118828,585.6355403713571
91,215.0,0.015697727480149675,477.38201439776503
91,220.0,0.011408232180341335,95.46230051438297
91,225.0,0.009674180888929452,-211.38722916888804
91,230.0,0.007483800310303915,-414.5403653821405
91,235.0,0.005567217304006571,-519.1326803087742
91,240.0,0.003924431870037419,-390.21957419676676
91,245.0,0.0029205074381673814,-235.69789257211994
91,250.0,0.003103039153052843,-135.3314047166334
91,255.0,0.002281646436068267,-28.630506671875594
91,260.0,0.0010951902893127682,13.748207614698515
91,265.0,0.00136898786164096,29.528257536682997
91,270.0,0.00136898786164096,22.97971256358294
91,275.0,0.0006388610020991147,8.112451388591102
91,280.0,0.0011864561467554988,11.880403749195196
91,285.0,0.0008213927169845761,7.036839971861969
91,290.0,0.0010951902893127682,6.462512384194872
91,295.0,0.0007301268595418454,4.332603121242714
91,300.0,0.00045632928721365336,2.1492905206043136
91,305.0,0.0011864561467554988,9.606909473798687
91,310.0,0.0016427854339691522,2.196227983315495
91,315.0,0.0009126585744273067,7.953046842831297
91,320.0,0.0008213927169845761,4.963593483127516
91,325.0,0.0010039244318700374,4.462816651004284
91,330.0,0.0015515195765264216,16.17402131712819
91,335.0,0.0020991147211828053,9.980589008592322
91,340.0,0.0024641781509537283,30.25382672924709
91,345.0,0.003650634297709227,59.040367630697396
91,350.0,0.004837090444464726,55.18117068238649
91,355.0,0.00812266131240303,123.77073690657572
126,0.0,0.0006388610020991147,-7.679963947311179
126,5.0,0.0008213927169845761,-18.00101379946345
126,10.0,0.0009126585744273067,-29.869159315341975
126,15.0,0.0007301268595418454,-31.56614839320127
126,20.0,0.0008213927169845761,-39.28852676373916
126,25.0,0.0009126585744273067,-42.80481571482583
126,30.0,0.0010951902893127682,-42.48322311379996
126,35.0,0.0017340512914118828,-47.94480708801575
