farm_id,ws_bin_ms,weibull_weight,best_orientation_power_kw,mean_orientation_power_kw,weighted_recovered_power_kw,recovery_contribution_pct
57,22.0,9.666762648720895e-12,800000.0000000001,800000.0,1.1253592847754359e-21,9.332492377299501e-24
57,23.0,3.746857339546401e-13,800000.0000000001,800000.0,4.36191603022907e-23,3.617293486022683e-25
57,24.0,1.1310483058171303e-14,800000.0000000001,800000.0,1.3167135252351061e-24,1.0919374020000983e-26
57,25.0,2.6414099358279897e-16,800000.0000000001,800000.0,3.0750058775627865e-26,2.5500717238257306e-28
66,3.0,0.07844312109109837,951.2036385877573,890.0473889013032,4.797287099631965,0.07983089200302393
66,4.0,0.10418252843126527,19027.818022720356,18096.085180467475,97.07028332835435,1.6153311536604278
66,5.0,0.12198827457440077,51127.88505142936,48880.972121592444,274.09703142971694,4.561205126975592
66,6.0,0.12957519371547868,98678.21017353417,94711.50399447118,513.986721564474,8.553171325382989
66,7.0,0.12663711479650028,161388.5825559226,155264.82317424574,775.4952198035568,12.904892672725069
66,8.0,0.11475184833950343,244014.0176066886,235078.50517193953,1025.3665677480733,17.062962051966313
66,9.0,0.09682436722739993,356889.26030992094,344767.5997927531,1173.672109320132,19.530890993220897
66,10.0,0.07625775190501544,500928.7457157592,485794.042955993,1154.1384082104073,19.20583377831512
66,11.0,0.056132710725544155,663445.8825770892,649376.6275931089,789.7454201396879,13.142027991172533
66,12.0,0.038639554824288595,727830.7585650948,722754.2438538776,196.15426850038227,3.2641719995844123
66,13.0,0.024876222650131508,739546.8000938006,739354.3134496867,4.788340616154052,0.07968201499368527
66,14.0,0.014975879201804987,739999.9999999999,740000.0,-1.7434217969194272e-12,-2.901200497178294e-14
66,15.0,0.008427231903484074,739999.9999999999,740000.0,-9.81058914154311e-13,-1.6325645432074545e-14
66,16.0,0.00443026181690901,739999.9999999999,740000.0,-5.157503551930433e-13,-8.582519672232196e-15
66,17.0,0.002174451993086884,739999.9999999999,740000.0,-2.5313952857242944e-13,-4.212454653529562e-15
66,18.0,0.0009957278703825415,739999.9999999999,740000.0,-1.15917980482632e-13,-1.9289726857972624e-15
66,19.0,0.0004250851486079141,739999.9999999999,740000.0,-4.948642437904073e-14,-8.234957212633962e-16
66,20.0,0.00016905029128772654,739999.9999999999,740000.0,-1.968004406519776e-14,-3.2749248476374974e-16
66,21.0,6.257661052302269e-05,739999.9999999999,740000.0,-7.284876252876442e-15,-1.212264676515584e-16
66,22.0,2.1543204767447797e-05,739999.9999999999,740000.0,-2.5079591161859916e-15,-4.173454896364302e-17
66,23.0,6.892139062721904e-06,739999.9999999999,740000.0,-8.023505870627594e-16,-1.3351788570103282e-17
66,24.0,2.047319703971871e-06,739999.9999999999,740000.0,-2.383393822205103e-16,-3.966167770857968e-18
