farm_id,max,mean,A,wake_pool,WCI,spacing_D,aspect_ratio,n_turb_x,pc1_share,axis_deg,ws_mean,ws_std,weibull_A,weibull_k,frac_below_rated,orient_sensitivity,gain_proxy_raw,wd_entropy_norm,exp_wake_loss,lat,lon,country,n_turb_y,n_turb,WCI_x_pool,log_n,WCI_density,ws_x_WCI,pool_density
11,10120387985.462795,10052368492.120667,0.6766514120074724,0.15231524035585892,0.15439999999999998,4.8,1.25,75,0.696,27.7,9.820085493656977,4.513583721767986,11.068545686297753,2.2998556576901463,0.6168141384652726,0.3083806402340764,0.0373334923159465,0.0512980271340054,0.0617949754831333,54.4594,7.6964,Germany,246,75,0.023517473110944615,1.8750612633917,0.03216666666666666,1.516221200220637,0.03173234174080394
12,8157665338.0707855,7679907686.573956,6.220877528671963,0.11234952845871495,0.0488,4.1,8.87,12,0.996,174.7,7.567813705598302,3.330750719249908,8.52230179347308,2.4166108608834485,0.8410541738403573,0.4077373908407699,0.1021693297954074,0.0479652974169565,0.1479830071364363,22.6333,116.2218,China,244,12,0.00548265698878529,1.0791812460476249,0.011902439024390246,0.3693093088331971,0.02740232401432072
13,6770153609.709031,6727692481.801363,0.6311395478096972,0.24000213351380817,0.0929,4.1,2.44,3,0.983,21.2,8.506604822662645,4.175105860924181,9.597443813428505,2.1431934347743957,0.7365409371051634,0.3348368607513033,0.0432519865379396,0.0435893153248413,0.0679063480296118,53.4442,-3.5741,United Kingdom,215,3,0.022296198203432777,0.47712125471966244,0.022658536585365856,0.7902635880253597,0.058537105735075166
14,5590333529.642476,5477472563.803472,2.0604569812876545,0.12061051216160926,0.10552500000000001,3.0,2.94,24,0.917,170.9,6.953593582209419,3.595006979867834,7.840275850725935,2.0188035636651342,0.8570776255707763,0.3998756900352646,0.0767940455989078,0.0416885772782721,0.1257926418991845,39.4746,123.3788,China,189,24,0.012727424295853818,1.380211241711606,0.035175000000000005,0.733777962762649,0.04020350405386975
15,7089263467.37469,7080224865.187981,0.12765981813869168,0.15587878604650643,0.1189,2.7,1.68,61,0.847,156.9,9.119157027951282,4.427952683240694,10.295912102568018,2.17133172978269,0.6931528965831683,0.3178173555328554,0.0412759413812608,0.0470614428656459,0.0658744216765911,52.3293,4.0757,Netherlands,182,61,0.018533987660929615,1.7853298350107671,0.044037037037037034,1.0842677706234074,0.0577328837209283
16,8020518575.8679,8006555773.506356,0.17439212011420044,0.09694842499058874,0.1159,2.9,4.41,108,0.968,172.2,9.956652065790323,4.629826966068541,11.23139391833463,2.2750745549091076,0.6123691439433636,0.3365992549582631,0.0624772685956897,0.0561274809429309,0.1142921412986139,54.3337,5.9083,Netherlands,178,108,0.011236322456409235,2.03342375548695,0.03996551724137931,1.1539759744250984,0.03343049137606508
17,6020458590.64405,5939672447.819221,1.3601110757292705,0.18579026243263688,0.24077500000000002,3.9,2.21,4,0.868,76.9,8.936857856453289,4.19712614859744,10.085478561568477,2.2509806539440538,0.7059718564490628,0.4012882146334479,0.0456074677961357,0.0426494151893068,0.0702302138568997,51.6283,1.4972,United Kingdom,175,4,0.04473365043721815,0.6020599913279624,0.061737179487179494,2.1517719503875408,0.047638528828881255
18,7541115456.441694,7521549402.529863,0.2601332898943652,0.11728663657357097,0.1943,2.7,2.1,41,0.821,174.9,9.757497979993337,4.527233502532656,11.002414803330511,2.2780404069815536,0.62748649191216,0.3509602595949983,0.0673073294889055,0.0656677540787848,0.1164414122752148,54.0239,6.953,Germany,174,41,0.022788793486244838,1.6127838567197355,0.07196296296296296,1.8958818575127054,0.043439495027248504
19,4540872628.164887,4437148110.511997,2.337639291489,0.14700506939545946,0.19172727272727272,4.4,1.66,35,0.776,105.9,6.839377487265014,3.2615308066640756,7.717738209501623,2.209394241988761,0.8906706821511448,0.3789318678180876,0.0587669458043208,0.0318766951649815,0.0830736360358926,34.2763,120.6226,China,171,35,0.028184881032274907,1.5440680443502757,0.04357438016528925,1.3112951927856284,0.033410243044422604
20,7294253081.515923,7271912544.788842,0.30721679598704604,0.13948284527941632,0.18904545454545454,3.2,1.12,60,0.849,40.3,10.009202312666398,4.637367065348245,11.28864158753447,2.283124554610494,0.6057535834427817,0.3832323227364568,0.0713495757938199,0.0418476228705733,0.0949474916214295,54.4774,6.3397,Netherlands,167,60,0.026368597887140566,1.7781512503836436,0.05907670454545454,1.892194200835434,0.043588389149817594
21,6650494511.094637,6301250624.3285055,5.54245351577884,0.05263655844631905,0.17994444444444443,2.9,1.16,50,0.634,118.3,8.394657567831384,3.985199309891242,9.46777194535993,2.232725184226336,0.7200669180577388,0.4237274971188954,0.0821673862714927,0.018447472026179,0.1057051191990325,27.286,120.9217,China,162,50,0.00947165626709041,1.6989700043360187,0.06204980842911877,1.5105719923447696,0.018150537395282433
22,5220018790.338143,5155582767.971132,1.2498300437986851,0.22161632835419276,0.17863636363636365,3.5,2.23,38,0.834,177.0,8.826241384454484,4.0232001001413895,9.948548222158184,2.326096160727687,0.7077669803809484,0.3674416229394271,0.0775683089304995,0.036969795234056,0.0976270577206749,54.5529,11.6189,Germany,161,38,0.03958873501963535,1.5797835966168101,0.051038961038961043,1.576687665495733,0.0633189509583408
23,6734017404.933045,6720091235.743078,0.20723184703053008,0.1383951901507483,0.1898,3.3,1.26,293,0.792,33.6,9.822410081535612,4.58796555083866,11.079802344057647,2.2629580341444546,0.6231423827314239,0.3009240297226557,0.0654313537891491,0.0255917798318013,0.1111053989598843,54.0433,6.1233,Netherlands,158,293,0.026267407090612028,2.4668676203541096,0.05751515151515152,1.864293433475459,0.04193793640931767
24,3886313672.413921,3861009350.2753105,0.6553810116208609,0.2048699372263714,0.22290000000000001,3.3,2.06,70,0.819,82.8,6.790274170760181,3.0621009829398065,7.656829617164536,2.342610522226946,0.9092936154720345,0.3326736155467846,0.0529025747804476,0.0229591314231384,0.0764908021680197,32.5335,121.232,China,156,70,0.04566550900775819,1.845098040014257,0.06754545454545455,1.5135521126624445,0.062081799159506484
25,6200015648.464677,6174637599.780096,0.4110046666622931,0.15769531003333762,0.19784,4.8,1.19,20,0.663,29.4,9.46436352242154,4.313578689100775,10.668878192068151,2.3279482686285715,0.6467278330123603,0.3314663456199834,0.049523412830954,0.0387615095515285,0.0714843214620379,55.0056,13.0559,Sweden,152,20,0.031198440136995513,1.3010299956639813,0.041216666666666665,1.8724296792758772,0.03285318959027867
26,5477115199.005579,5461587741.887656,0.28430298755131084,0.11629340780410079,0.24974545454545452,4.2,1.24,10,0.69,28.4,9.268830648036914,4.331259599852972,10.456274923423154,2.2617860256303506,0.6722891672167441,0.3841578367259111,0.0747846200311983,0.0229048883572399,0.1055489145508216,51.9273,1.9623,United Kingdom,140,10,0.02904374999267506,1.0,0.059463203463203454,2.314848323298819,0.027688906620023997
27,5996415375.256282,5983225046.475742,0.22045516720633668,0.14753086846215244,0.22061000000000003,6.9,1.3,48,0.629,175.9,10.08071547765,4.60233643141978,11.362578416715442,2.317982313678493,0.5924472095761114,0.3995220861547144,0.0822796378236622,0.0226357598840459,0.1136163766762795,55.6337,7.6098,Denmark,138,48,0.032546784891435455,1.6812412373755872,0.031972463768115945,2.2239066415243665,0.021381285284369916
28,4405612354.423443,4269624197.0203223,3.18501467876315,0.11932307253600725,0.27031818181818185,4.0,1.81,55,0.933,153.9,7.830929481606105,3.699104645411918,8.838903527984314,2.233989551669386,0.8064449372458018,0.3655674916353914,0.0585093745253839,0.0254404902697312,0.0803661566618952,32.1239,122.1411,China,134,55,0.03225519601689251,1.7403626894942439,0.06757954545454546,2.1168426194141596,0.029830768134001814
29,5081782072.723261,5054447801.194347,0.5407963956508663,0.14850117301569365,0.2500090909090909,4.2,1.73,100,0.755,6.0,9.389641962024319,4.306678830701273,10.581684660741287,2.3076714519744197,0.6535827126531427,0.3764532367723988,0.0614637830776825,0.0279404800565448,0.082748532012836,54.8111,14.0932,Sweden,131,100,0.03712664326458719,2.0,0.059525974025974024,2.3474958508875527,0.03535742214659372
30,4480306720.869284,4448506420.948132,0.7148534117294668,0.20099509755269276,0.21596,4.5,1.24,25,0.812,145.0,9.00838357930982,4.135400026674046,10.160264678535192,2.30907812043332,0.7002187266784168,0.3297881229745759,0.0475690020496773,0.0410748021828941,0.0699148441043546,53.1798,0.4738,United Kingdom,129,25,0.04340690126747953,1.3979400086720377,0.047991111111111116,1.9454505177877488,0.044665577233931726
31,4963458005.1078615,4956431648.477686,0.1417624034487323,0.23351453925939988,0.25484545454545454,3.9,1.98,171,0.839,14.4,9.456267489797922,4.5817371320115505,10.675863361984394,2.176731477629563,0.6611349288982346,0.3520457576524963,0.0635575836615535,0.0213872052446085,0.0839116418092391,52.6531,4.2423,Netherlands,129,171,0.059510118900534155,2.2329961103921536,0.06534498834498835,2.4098867867409557,0.05987552288702561
