lon,lat,A_pred_pct
128.0,39.0,2.9410025692948927
129.0,39.0,2.88088923807502
135.0,39.0,2.9878366717015914
136.0,39.0,3.028209736083767
137.0,39.0,3.037966908826558
138.0,39.0,2.9705176414693746
139.0,39.0,2.8970590988714338
140.0,39.0,2.919279343005964
141.0,39.0,2.8970590988714338
142.0,39.0,2.9705176414693746
143.0,39.0,3.040620922777122
144.0,39.0,3.066282228018944
-76.0,40.0,0.6202989946332788
-75.0,40.0,0.6128974882601432
-74.0,40.0,0.6061471338083373
-73.0,40.0,0.6061471338083373
-72.0,40.0,0.6061471338083373
-71.0,40.0,0.6244112712833793
-70.0,40.0,0.6510908562881035
-69.0,40.0,0.6510908562881035
-68.0,40.0,0.6510908562881035
-67.0,40.0,0.6570074259324883
-66.0,40.0,0.6570074259324883
-65.0,40.0,0.6540918053741672
-14.0,40.0,2.040012488027291
-13.0,40.0,2.0398520203736514
-12.0,40.0,2.0561799846437716
-11.0,40.0,2.0659948249549194
-10.0,40.0,2.0659948249549194
-9.0,40.0,2.0659948249549194
-8.0,40.0,2.0659948249549194
-7.0,40.0,2.0516462842684065
-6.0,40.0,2.039513313111902
-5.0,40.0,1.8608589677416496
-4.0,40.0,1.8324355403509147
1.0,40.0,1.7327361282282752
2.0,40.0,1.7362071881120649
3.0,40.0,1.761298965463717
4.0,40.0,1.75765973931151
5.0,40.0,1.738447746003477
6.0,40.0,1.7416674130649452
7.0,40.0,1.7877026458953984
8.0,40.0,1.7726457333418977
12.0,40.0,3.42881771558983
13.0,40.0,3.81461673958405
14.0,40.0,4.205070380559523
15.0,40.0,4.402447081633364
16.0,40.0,4.569175517699116
17.0,40.0,4.7468904078331695
18.0,40.0,4.631289657202372
19.0,40.0,4.482606585729792
20.0,40.0,4.313632288562687
21.0,40.0,3.923941704263168
22.0,40.0,3.7094036939761144
113.0,40.0,1.990942265943575
114.0,40.0,1.9798593222930474
115.0,40.0,1.9724297688868786
116.0,40.0,1.958964980878535
117.0,40.0,1.9544265750384977
118.0,40.0,1.9431451105105475
119.0,40.0,1.8567098830947832
120.0,40.0,1.8827286827741738
121.0,40.0,3.4520884228653776
122.0,40.0,3.452699862515357
123.0,40.0,3.4447509607084217
124.0,40.0,3.3127471762122047
125.0,40.0,3.3081285934063254
126.0,40.0,3.3659288398420606
127.0,40.0,3.048234500229795
128.0,40.0,2.9517715209385944
129.0,40.0,2.9410025692948927
135.0,40.0,3.045182177788773
136.0,40.0,3.0510570296718433
137.0,40.0,3.0571805889576456
138.0,40.0,3.14176189360233
139.0,40.0,3.2541127427513885
140.0,40.0,3.32218693077316
141.0,40.0,3.2383905970295688
142.0,40.0,3.0383206326457595
143.0,40.0,3.0792926497386017
144.0,40.0,3.1233279172261406
-76.0,41.0,0.6128974882601432
-75.0,41.0,0.6128974882601432
-74.0,41.0,0.6061471338083373
-73.0,41.0,0.6061471338083373
-72.0,41.0,0.5911458226871812
-71.0,41.0,0.5955862020665851
-70.0,41.0,0.6873315086550036
-69.0,41.0,0.645543231911283
-68.0,41.0,0.6510908562881035
-67.0,41.0,0.6570074259324883
-66.0,41.0,0.6570074259324883
-65.0,41.0,0.6540918053741672
-14.0,41.0,2.0432254677448545
-13.0,41.0,2.0516462842684065
-12.0,41.0,2.0498202757652253
-11.0,41.0,2.0659948249549194
-10.0,41.0,2.0659948249549194
-9.0,41.0,2.0659948249549194
-8.0,41.0,2.0659948249549194
-7.0,41.0,2.0659948249549194
-6.0,41.0,2.0481619547377554
-5.0,41.0,1.9189689827577756
-4.0,41.0,1.8366901853551156
