farm_id,theta_deg,state,upstream_turbine_index,downstream_turbine_index,upstream_alongwind_D,upstream_crosswind_D,downstream_alongwind_D,downstream_crosswind_D,pair_velocity_deficit_pct
2,140.0,bad,79,43,43.00531799042696,11.800000245438216,78.5707331844865,11.32583166761195,2.8131457785811937
2,140.0,bad,84,43,45.279605834655584,11.779911750207836,78.5707331844865,11.32583166761195,3.11648550298742
2,140.0,bad,101,43,40.73448136358307,11.793975605026741,78.5707331844865,11.32583166761195,2.5523992896561474
2,140.0,bad,112,43,38.47771070495008,11.797116526913763,78.5707331844865,11.32583166761195,2.3276004295602806
2,140.0,bad,114,43,36.18196580425209,11.8137049394128,78.5707331844865,11.32583166761195,2.128073096295764
2,140.0,bad,166,43,49.69263189902755,12.009705747642517,78.5707331844865,11.32583166761195,3.8641396040291895
2,140.0,bad,57,44,68.68207398291325,13.484046328999408,73.62842004600607,12.430036040764328,2.838148332412392
2,140.0,bad,61,44,59.35012178684646,11.60178270551891,73.62842004600607,12.430036040764328,9.132909465961307
2,140.0,bad,67,44,55.37789534622513,13.57075230807953,73.62842004600607,12.430036040764328,5.869852314886194
2,140.0,bad,79,44,43.00531799042696,11.800000245438216,73.62842004600607,12.430036040764328,3.539294769167466
2,140.0,bad,84,44,45.279605834655584,11.779911750207836,73.62842004600607,12.430036040764328,3.9715407477532523
2,140.0,bad,101,44,40.73448136358307,11.793975605026741,73.62842004600607,12.430036040764328,3.1744686957098525
2,140.0,bad,112,44,38.47771070495008,11.797116526913763,73.62842004600607,12.430036040764328,2.8650601662809856
2,140.0,bad,114,44,36.18196580425209,11.8137049394128,73.62842004600607,12.430036040764328,2.594510169038942
2,140.0,bad,166,44,49.69263189902755,12.009705747642517,73.62842004600607,12.430036040764328,5.07162369239133
2,140.0,bad,182,44,32.24948658868129,11.864508455969105,73.62842004600607,12.430036040764328,2.212548158771943
2,140.0,bad,76,45,51.25853186539585,25.150773732551585,64.2622997763988,25.285368190881762,11.03735337898463
2,140.0,bad,236,45,36.172189135342734,24.64200635190423,64.2622997763988,25.285368190881762,4.025672432839417
2,140.0,bad,238,45,40.72911580179836,24.65630601997882,64.2622997763988,25.285368190881762,5.194136023618806
2,140.0,bad,242,45,31.652377246489856,24.666761239357847,64.2622997763988,25.285368190881762,3.2169285330988444
2,140.0,bad,253,45,27.80069989857234,24.440553445820804,64.2622997763988,25.285368190881762,2.705668472970228
2,140.0,bad,254,45,25.11068970852117,24.609578415133612,64.2622997763988,25.285368190881762,2.4176164645359393
2,140.0,bad,262,45,22.747649940650696,24.791223390631806,64.2622997763988,25.285368190881762,2.200905510375938
2,140.0,bad,263,45,33.9132256634238,24.681546488395437,64.2622997763988,25.285368190881762,3.5875317645882485
2,140.0,bad,264,45,38.45828788357224,24.666771102234645,64.2622997763988,25.285368190881762,4.5561657661116755
2,140.0,bad,556,45,45.47993411599155,23.9201742922304,64.2622997763988,25.285368190881762,3.9239688554091865
2,140.0,bad,62,46,58.30461068884952,5.789659597155445,75.51844437973952,6.604142263794998,7.886484410596928
2,140.0,bad,64,46,71.37440344751818,6.781360159509024,75.51844437973952,6.604142263794998,29.19549836168511
2,140.0,bad,65,46,62.55608720553151,6.5003397597740395,75.51844437973952,6.604142263794998,11.077199207692049
2,140.0,bad,81,46,44.14935331196685,8.568152010497027,75.51844437973952,6.604142263794998,2.071694647347091
2,140.0,bad,86,46,45.275977887228606,5.3790532299077505,75.51844437973952,6.604142263794998,3.6065646345573006
2,140.0,bad,88,46,51.83195991323193,6.083133189943741,75.51844437973952,6.604142263794998,5.146968632816893
2,140.0,bad,89,46,47.55158170951881,5.390396615482764,75.51844437973952,6.604142263794998,4.051851117829237
2,140.0,bad,90,46,43.015952117908725,5.369573340456363,75.51844437973952,6.604142263794998,3.2332114494083957
2,140.0,bad,92,46,40.72119920036755,5.3606222612254655,75.51844437973952,6.604142263794998,2.9104509633683553
2,140.0,bad,97,46,37.323404004137046,8.584951833533808,75.51844437973952,6.604142263794998,2.4267336208854657
2,140.0,bad,99,46,38.45620142028942,5.368067850920468,75.51844437973952,6.604142263794998,2.6370457162500505
2,140.0,bad,100,46,39.60148512319165,8.571342756864722,75.51844437973952,6.604142263794998,2.423597454642229
2,140.0,bad,102,46,41.86041247004,8.5805602570337,75.51844437973952,6.604142263794998,2.2535912374102223
2,140.0,bad,107,46,34.646533288329486,5.339296941253531,75.51844437973952,6.604142263794998,2.2568713118417008
2,140.0,bad,115,46,33.47496112316827,8.625176724330052,75.51844437973952,6.604142263794998,2.1564043032478364
2,140.0,bad,55,47,47.6349171102713,17.87751568682973,73.10160299874335,17.152254402898834,4.643245908847751
2,140.0,bad,56,47,53.90670800624942,17.910632397806364,73.10160299874335,17.152254402898834,6.852500358228361
2,140.0,bad,239,47,31.163637500682853,15.023870161629667,73.10160299874335,17.152254402898834,2.142648972611418
