farm_id,year,P11_kWh,P10_kWh,P01_kWh,P00_kWh
57,2016,596383424.501108,605186299.666520,470552069.219072,522374531.708049
38,2016,1946574341.974790,1953057977.818668,1931062739.059271,1960165220.895131
24,2016,3690192254.359194,3682034674.764369,3548298977.138773,3671185851.267930
46,2017,113824585.403328,113870076.182986,113004959.092352,111684230.448921
124,2017,95645339.148019,95639020.154528,94444261.023153,97601842.900270
14,2017,88759663.748504,88777070.323835,96064144.356404,98008703.357026
71,2017,115664397.288690,116146347.162316,101101245.167584,111051981.493955
101,2017,150095598.173766,150087236.222386,145550895.361844,151814176.408534
135,2017,63055195.728079,62942535.727668,57234923.913645,54966564.671563
139,2017,84166561.459739,84118774.569878,79364943.277468,80949516.891754
168,2017,56118565.825211,57035697.812234,58897502.376567,57192119.289891
169,2017,73199563.547894,73050194.730831,79872900.583769,81230737.641596
147,2017,97208508.174395,97470006.452007,103573102.689517,101876843.451267
165,2017,76293320.970062,76960701.128309,80369544.111278,78923033.848408
81,2017,294625646.056145,295426124.319033,285188202.493148,296535937.991448
63,2017,280090933.255588,281169664.073442,289143434.694114,288114611.163270
74,2017,358605900.465994,354330202.795668,365632922.968761,358835567.705925
34,2017,566662359.488194,568469649.775585,573088708.855710,574785665.974076
45,2017,861548902.912986,861190068.713046,868815244.875419,869310727.727013
97,2017,462388963.334907,455480547.224476,429682653.348676,410075133.740793
131,2017,603929748.372261,607354079.868780,652165271.105160,666273185.461572
89,2017,860697595.027915,862667155.690585,876823410.090580,883565007.026414
109,2017,1051410560.386464,1046478611.123527,1064648216.296186,1083099511.815598
50,2017,1192715605.263961,1183600792.804181,1282831945.959172,1307242885.576102
88,2017,1214134527.570001,1209024941.880476,1344487699.803775,1353389498.454341
57,2017,526419653.589695,547473412.481917,454741564.962938,487287827.033554
38,2017,1879862841.506935,1872462329.293204,1936434405.656714,1970291266.216762
1,2017,2167060357.505111,2142947109.179771,2218970806.186900,2244574196.021779
24,2017,3484110892.711720,3475902738.678524,3551378456.973507,3623726711.789840
0,2017,5132254230.430478,5085221384.705005,5239756181.924829,5254870807.573352
46,2018,108349528.097864,108404498.710120,110409698.627385,110191972.709199
98,2018,44535036.869295,44526863.683576,46589268.629462,45918243.898455
124,2018,89388573.995807,89375868.704249,91447084.587694,95515844.006843
71,2018,105878412.451830,106193107.287057,99566501.200037,109777206.872641
72,2018,95835810.628706,95700229.626959,100538270.189082,102946168.131379
101,2018,140857886.937370,140852922.374629,141294775.113694,147855555.257768
135,2018,63499271.599157,63242621.717936,58177231.284550,55561845.684986
168,2018,58743351.222737,59133636.827992,59224171.612778,57788461.940999
169,2018,79800825.938703,79682588.883545,82182866.614650,82487915.275249
165,2018,86453577.923992,86955561.841275,82867752.187269,79894883.091001
34,2018,544558050.541280,545162537.743042,562853599.305460,565133058.460662
147,2018,293100716.197301,293070130.096527,303195920.522342,298844109.297449
19,2018,384717325.910622,377378888.021051,370042648.941199,368428103.680185
