farm_id,year,country,P00_kWh,P10_kWh,P01_kWh,P11_kWh,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,P11_err_pct
54,2021,Netherlands,2987284287.137395,2875404484.797101,2966838681.663078,2890759581.434748,2890759581.434748,3743870237.8186817,0.3999069777791416,0.2278686498709923,0.0
53,2021,United Kingdom,3732997103.663054,3672610220.768154,3690772337.678131,3675502075.112844,3675502075.112845,3972215996.144399,0.5033141723650267,0.0746973279699688,2.59467767101443e-14
51,2021,United Kingdom,3519865959.062695,3488016916.27211,3477632394.536649,3486171756.528878,3486171756.528878,4038360835.860215,0.4694801438979851,0.1367359435610499,0.0
49,2021,France,3216330609.793773,3241772770.306824,3188408357.192112,3284483025.18865,3284483025.18865,4521763222.720759,0.3908609845283523,0.2736278165373803,0.0
48,2021,United Kingdom,4224951044.78042,4271040344.908277,4204854679.140263,4289163197.607294,4289163197.6072936,4768159164.702825,0.5048093587561252,0.1004572101202885,1.1117253791348583e-14
43,2021,Denmark,4311765361.615084,4274183795.498035,4235655703.363557,4281092011.516526,4281092011.516526,4824083203.492024,0.4755659247860528,0.1125584217914072,0.0
36,2021,United Kingdom,3871375733.482736,3822944027.139098,3846484111.047085,3802912795.694042,3802912795.6940417,4675338309.458159,0.4095406745454394,0.1866015796117276,1.2538735012357834e-14
30,2021,United Kingdom,4474450334.09001,4385599742.962505,4411443108.74195,4378635042.040028,4378635042.040028,5510083496.242675,0.4161199865469642,0.2053414353837254,0.0
29,2021,Sweden,5071630598.37725,5098215665.173903,5005864690.22048,5092354277.008609,5092354277.008609,6056516090.839277,0.473367430738912,0.1591941306469905,0.0
27,2021,Denmark,5899447674.195618,5697713100.726187,5808977879.053876,5701153758.025275,5701153758.025275,6642949904.003377,0.5025265587092507,0.1417737841753898,0.0
26,2021,United Kingdom,5520355806.385916,5590954448.390189,5484963461.085472,5589335563.399986,5589335563.399986,6373422756.799472,0.4784161228622773,0.1230245071320561,0.0
18,2021,Germany,6427670551.363871,6207761175.863538,6284851675.300897,6222874816.63336,6222874816.63336,7112896114.180285,0.500803153492322,0.1251278358716047,0.0
25,2021,Sweden,6191690199.11133,6065939180.962496,6015861238.728004,6074634913.019321,6074634913.019321,6984353391.444571,0.484127236524859,0.1302509233767583,0.0
22,2021,Germany,5160818047.890467,5173745629.681752,4999309366.419338,5181503298.802356,5181503298.802356,6849193556.462235,0.393823425148314,0.2434870972636492,0.0
20,2021,Netherlands,7100564444.043913,6799479521.372931,6939652918.095135,6793449116.906526,6793449116.906526,7946937878.224475,0.4974240160110099,0.1451488332982495,0.0
17,2021,United Kingdom,6063777092.385994,6106574784.692357,6033193749.318156,6110117146.091569,6110117146.091569,7570254626.530961,0.4200042718696409,0.1928782521161371,0.0
16,2021,Netherlands,7778203237.722507,7469182920.263163,7644373755.042924,7469097288.471281,7469097288.471281,8396255311.226254,0.5143567139219021,0.1104251822256181,0.0
