farm_id,n_years,country,G_mean,G_ew_mean,M_S_rms,M_S_mae,M_S_std,M_S_mean,M_D_rms,M_D_mae,R_i,H_i,P11_median_err
53,4,United Kingdom,0.12175619090893425,0.1248935677973575,4.3716379914955645,3.845562346115587,3.269237679170669,3.330958191947995,0.4929503846135315,0.46278539272181174,0.027851389146538345,0,5.770102323322273e-15
54,4,Netherlands,-0.19601830455461555,-0.19497561809102545,4.117153786898837,3.3471779348665764,4.352350150143195,1.6564242913235772,0.36806793112215075,0.26881086202661186,-0.04761014883105991,0,7.269593136493793e-15
55,11,United Kingdom,-0.2863901061023981,-0.29224628058990715,6.653282334572513,5.8059953859816815,3.4076739488459733,5.8059953859816815,0.7990571555376988,0.6981460749074748,-0.04304493507125446,0,1.3874739598882645e-14
56,2,Vietnam,4.4774225180405365,2.0196939687729953,6.062784464557828,5.548152783281464,3.4569802305046253,5.548152783281464,1.5022173594744128,1.4664285858452735,0.7385092681778329,0,9.191325731908926e-14
57,11,Vietnam,18.216372552078266,17.878344246340294,15.254191988612732,14.246242787543535,5.719128747475679,14.246242787543535,3.339740977601481,3.015258950180851,1.1941879691613166,1,3.491272770758788e-14
58,7,France,0.3166435821986907,0.7268963176978159,7.721197339155926,6.742051733154234,5.443542146691359,5.849606968903232,1.6875079481795145,1.297920346642199,0.04100964763494905,0,3.8601816820583503e-14
59,11,Denmark,0.48718271775035155,0.48030001540160483,5.622055943550948,4.828201390462161,3.4659734665444817,4.54825563614206,0.8843624763515405,0.6587595559341056,0.08665561542645234,0,1.5209146991598995e-14
60,11,Denmark,0.0,0.0,4.304792247764257,3.727389117299205,3.096818440671909,3.1325382492864353,0.8277030418201393,0.6484752348347707,0.0,0,0.0
61,11,Denmark,0.0,0.0,4.943839069353003,4.201256697378812,3.0916315940643577,3.9689148167191814,0.9218711607816371,0.7741036142995292,0.0,0,0.0
62,4,Taiwan,0.2204443574797843,0.7432580735797613,4.375257718814758,3.0646262942319833,3.8682823055209687,2.814280389307924,4.855056527779184,4.575547355008876,0.05038431371295355,0,1.8801214877504352e-14
