farm_id,R1_f,R2_f,R1_e,R2_e,ws_mean,disp_f,n_turb,cent_lon,cent_lat,pc1_angle,axis_bearing,pc1_share,aspect_ratio,nn_mean_m,nn_med_m,spacing_D_mean,spacing_D_med,ce_r,n_comp,layout_type,last_year,country,region,A_para,A_real,corr,is_corr
31,0.24760886285842404,0.1751202290323963,0.5167546359464738,0.3233456864506351,9.809136214108467,0.7523911371415759,129,4.233488,52.648853,74.89,15.11,0.8916,2.868,872.3,895.7,4.406,4.524,1.39,2,multi_cluster,2024,Netherlands,europe,0.30187947,0.12396333620030175,other,False
32,0.4410162421453631,0.3131573347177285,0.5460617338750967,0.45665928264824074,7.339857844905287,0.5589837578546368,128,112.213505,21.4380585,62.75,27.25,0.6758,1.444,514.9,483.8,2.601,2.443,0.899,9,multi_cluster,2024,China,east_asia,2.0088065,5.642060740369516,other,False
33,0.46103768878593065,0.22793647623331148,0.4106741270297482,0.35810714506859503,7.3050271638326745,0.5389623112140693,109,109.154125,20.144969,172.63,97.37,0.7881,1.929,1032.3,977.2,5.213,4.935,1.203,4,multi_cluster,2024,China,east_asia,1.6229962,1.789824825908151,other,False
34,0.4370152710811307,0.8602226780514892,0.7104608426832719,0.9352700088153191,10.56777768730913,0.5629847289188693,125,119.3904,25.127755,25.64,64.36,0.8422,2.31,648.4,691.5,3.275,3.492,1.192,2,multi_cluster,2024,China,east_asia,2.1166852,2.7210607116491548,other,False
35,0.5646472398185093,0.11969213219837313,0.5898836401020966,0.21390104363222978,7.800432006366369,0.4353527601814907,120,110.750843,20.5971575,89.68,0.32,0.7418,1.695,628.7,547.3,3.175,2.764,1.235,4,multi_cluster,2024,China,east_asia,1.805266,2.3926451832257145,other,False
36,0.2814397193725503,0.30863525286093324,0.5359848319602386,0.48588725778813074,9.18564182611823,0.7185602806274497,116,-0.2841045,50.670015,12.78,77.22,0.8123,2.08,747.3,749.8,3.774,3.787,2.02,1,rule_grid,2024,United Kingdom,europe,0.58126575,0.7011929347283868,other,False
37,0.2850070868907208,0.1857238024889801,0.27266910922987697,0.3387028491366048,6.861875960285647,0.7149929131092791,114,121.5619085,30.6304955,7.11,82.89,0.9194,3.377,748.3,670.2,3.779,3.385,1.042,4,multi_cluster,2024,China,east_asia,1.0044619,1.149706578091215,other,False
38,0.2696443731366923,0.20968471510257478,0.2033037550403895,0.41407770497280766,7.929327931188071,0.7303556268633077,115,121.995605,30.75804,137.07,132.93,0.8757,2.654,615.1,538.3,3.107,2.719,1.182,4,multi_cluster,2024,China,east_asia,0.6431658,1.9812300578879571,other,False
39,0.41048743168047686,0.8169637948291067,0.8251069117413675,0.96530373291603,9.208612697713184,0.5895125683195231,114,120.147337,23.98411,66.45,23.55,0.6213,1.281,870.4,934.9,4.396,4.722,1.276,4,multi_cluster,2024,Taiwan,east_asia,2.5954492,2.1887400414256346,other,False
40,0.3275621596728357,0.1470563107956929,0.47982722602906636,0.22980069486206278,10.213664732866851,0.6724378403271642,114,-1.6795105,56.5982545,168.68,101.32,0.7081,1.558,1179.9,1044.3,5.959,5.274,1.283,2,multi_cluster,2024,United Kingdom,europe,0.43943143,0.30043912042005205,other,False
