farm_id,year,P11_kWh,P10_kWh,P01_kWh,P00_kWh,total_pct,S_pct,D_pct,I_pct,S_shapley,D_shapley,country,gain_pct
20,2015,3697747222.932404,3692562845.439756,3532631986.670056,3469037316.938689,6.185114671314452,6.044910996479783,1.7198219861263124,-1.5796183112916438,5.255101840833961,0.9300128304804905,Netherlands,-0.6119557723804089
60,2015,4003312169.665137,3990693010.543275,3769199164.820207,3676248069.724565,8.169837526508196,7.854619562306381,2.3218547831461547,-2.006636818944339,6.851301152834211,1.3185363736739852,Denmark,0.0
61,2015,3645309693.60389,3642076513.347875,3389468825.890212,3284013620.695347,9.91125866596405,9.82256441148993,2.8929011266147944,-2.804206872140674,8.420460975419592,1.4907976905444573,Denmark,0.0
27,2015,3760360867.771444,3749896431.057223,3485556578.472665,3390171406.265595,9.844519569347597,9.56623679058805,2.5365962353394913,-2.2583134565799448,8.437080062298078,1.407439507049519,Denmark,-0.0721003099444747
55,2015,3661660643.32268,3646616355.699262,3330566958.693772,3247676630.114635,11.305908808424853,10.895049116911597,2.2637359562605495,-1.8528762647472936,9.96861098453795,1.3372978238869027,United Kingdom,-0.8717427496325229
49,2015,3686947512.04038,3686981825.026034,3255126909.410912,3200055163.49957,13.205838893848554,13.20676955493179,1.4936948717467662,-1.4946255328300027,12.459456788516789,0.7463821053317649,France,0.4453030020814744
26,2015,4525553510.299125,4520572790.086924,4060552525.41379,3990514030.147954,11.822630733092499,11.712573030739271,1.5476227406535938,-1.4375650383003664,10.993790511589088,0.8288402215034106,United Kingdom,0.4621092320538209
22,2015,4388559982.989452,4404883728.90287,3811501485.525494,3776690616.128583,13.942372195721223,14.314333521912284,0.7932184938075805,-1.1651798199986412,13.731743611912963,0.21062858380825988,Germany,1.3978365420764072
43,2015,5332475090.575487,5301043136.826289,4570914210.984307,4400980379.405158,17.4683368482421,16.878892861813544,3.1867721591327633,-2.5973281727042075,15.580228775461439,1.8881080727806596,Denmark,-0.0259000267134679
30,2015,5015043739.317688,4994847375.063425,4632402991.045762,4539351890.342447,9.485298109084091,9.082582493746093,1.8554394645414332,-1.4527238492034351,8.356220569144376,1.1290775399397157,United Kingdom,-0.1880715550102868
7,2015,5871164838.528465,5898870830.47865,5552464255.649197,5479744435.772912,6.6668270014653155,7.138726406645855,1.2385927133074828,-1.7104921184880222,6.283480347401844,0.3833466540634717,Netherlands,0.3523054455029926
17,2015,6907779473.37554,6957391860.488886,6103797749.410109,6007434921.506984,13.033776705506142,13.751987055222223,1.394989928015701,-2.113200277731782,12.695386916356332,0.33838978914981,United Kingdom,2.001401262268349
2,2015,7097428920.881069,7115293770.672648,6332107266.218542,6234860339.009443,12.153254248646245,12.404963001079395,1.370171202743467,-1.6218799551766163,11.594023023491086,0.5592312251551588,Belgium,1.351462977078615
11,2015,9453097669.118618,9447889343.483189,8803991987.66808,8574423127.331058,9.295096406948325,9.239999910352886,2.4285040562627156,-2.3734075596672763,8.053296130519247,1.2418002764290774,Germany,-0.1414225116837974
13,2015,7576148847.408606,7535641537.047005,7115185873.10634,6802406200.123709,10.212875471019194,9.678206588748536,4.128478456301936,-3.593809574031278,7.881301801732897,2.331573669286297,United Kingdom,0.0502998864749362
9,2015,10005095251.593596,9989365035.82412,9259932669.520945,9125393180.008266,8.792540695154416,8.635318646049281,1.3447097316864516,-1.1874876825813165,8.041574804758623,0.7509658903957933,United Kingdom,1.054386611348955
10,2016,92525582.128758,92487256.741258,94659521.509866,95250105.831741,-2.9446166566037673,-2.9860380523067094,-0.638293008579133,0.6797144042820751,-2.646180850165672,-0.2984358064380954,United Kingdom,0.0650282074907106
148,2016,68985144.968389,69071354.350536,70400713.210635,70324557.955416,-1.9415962489326466,-1.8166282109782397,0.11039370179465312,-0.23536173974906005,-1.9343090808527696,-0.007287168079876907,Finland,0.2159307174733587
163,2016,179694451.03889,180221561.903495,167432322.373885,169818565.799733,5.495932223872413,5.78926953148406,-1.3279449710617772,1.0346076634501298,6.306573363209125,-0.8106411393367123,Sweden,1.1425974978927853
152,2016,249188192.029067,246479606.739597,249044143.460056,249167306.880513,0.008381275366194355,-1.0785824637318722,-0.04942586542890399,1.1363896045269704,-0.510387661468387,0.5187689368345811,Denmark,0.0
157,2016,243870975.879626,250557382.994457,250419911.156347,256794453.396512,-5.299309386970669,-2.557528783225764,-2.613899508612066,-0.12788109513283885,-2.6214693307921832,-2.6778400561784856,Denmark,8.812780666913316
158,2016,267826996.895109,261826469.195432,272262383.25944,270428577.849774,-0.9713662120790164,-3.2118153711408346,0.6846977455316755,1.555751413530143,-2.433939664375763,1.462573452296747,Ireland,1.6916004873009107
153,2016,251616274.485617,246290424.513085,257356399.282252,257760395.941485,-2.4418617072478708,-4.558517310475333,-0.16056062353632355,2.2772162267637857,-3.41990919709344,0.9780474898455693,Denmark,0.3492057022766672
154,2016,401088810.77244,396274952.67078,393591046.725044,395088850.027914,1.4959182563509956,0.2957207010042864,-0.373434327421256,1.5736318827679652,1.082536642388269,0.4133816139627266,Denmark,0.7460308058953157
149,2016,287389069.966685,275633147.441138,300998694.012691,299423542.511835,-4.187519221432135,-8.27811408188029,0.548090260022289,3.5425046004258656,-6.506861781667357,2.3193425602352216,Sweden,0.0
144,2016,643381506.562879,632952097.902885,619009401.477441,616261381.59432,4.215247826043692,2.594217604688593,0.4271213665747983,1.1939088547803005,3.191172032078743,1.0240757939649485,Sweden,-2.122865327073084
142,2016,560423314.771744,561886238.020707,574994304.43546,579532554.859813,-3.4097867780272497,-3.148747807948206,-0.8097897258613155,0.5487507557822716,-2.87437243005707,-0.5354143479701796,Germany,1.0415800213046142
137,2016,698303638.937265,699949475.209378,711689474.726477,721567823.083463,-3.331528413857793,-3.0958377801074475,-1.4146207761454024,1.178930142395057,-2.506372708909919,-0.8251557049478739,Germany,2.939593214311901
128,2016,786363549.613573,775596469.295362,846019881.962836,832546602.086087,-5.872989979661297,-7.242214217420284,1.713365260046698,-0.34414102228771126,-7.41428472856414,1.5412947489028423,United Kingdom,0.7797717948132011
121,2016,1109730592.257069,1105121380.780571,1127379478.872441,1133146442.328562,-2.1100481715897965,-2.525393257023866,-0.5196723868260317,0.9350174722601011,-2.0578845208938152,-0.05216365069598111,Germany,2.2232395572421093
122,2016,886062324.220754,890213102.482186,910844754.652452,902060563.452695,-1.8055433342130427,-1.3370911556281644,0.9913739654241841,-1.4598261440090625,-2.0670042276326956,0.26146089341965284,United Kingdom,3.3322265762125687
