farm_id,n_years,country,G_mean,M_S_mean,M_S_std,M_S_rms,M_D_rms,R_std,R_rms
71,9,Taiwan,1.8712587879098699,5.810188333377912,3.5009884981971724,6.682314635080991,4.966114744249607,0.5344944117564143,0.28003152950716903
72,7,China,-8.948948863198223e-05,0.9630536183890055,5.991723124961806,5.630234477995407,0.8310593326250756,-1.4935518008027562e-05,-1.5894451462320646e-05
73,8,United Kingdom,-0.32380818465252426,5.6535218702640755,2.8459408253646576,6.248941216025865,0.7501666088189873,-0.11377895905865643,-0.05181808781015487
74,8,China,0.2855959834509225,-0.874361670306967,5.039405706916384,4.794336969231589,2.9020269597887336,0.05667255229301213,0.059569443133384165
75,2,France,0.40333055145983143,5.089684525780944,8.46475979705464,7.856905738450109,2.2498627295510523,0.04764819807411104,0.051334528488233375
76,3,China,0.8976929168570837,1.9146247941781784,2.7800620295678957,2.969559680263267,2.214244528202458,0.32290391628298015,0.3022983248403678
77,1,China,1.2769967952865635,3.7461076453300137,,3.7461076453300137,5.952697819857258,,0.34088630551727417
78,5,China,0.7116664162932598,0.1353105427530826,2.340262499147738,2.0975632993819056,1.6134512985330607,0.3040968338177576,0.3392824505000485
79,2,China,0.10526981818343789,6.670037001447096,0.5381400720446428,6.680882499284318,2.009388733828989,0.1956178765566913,0.01575687316678819
80,8,United Kingdom,-0.03336454004195914,3.245703351580741,4.817519247822216,5.553559262914892,0.7282457762063356,-0.006925668238282961,-0.006007775997774646
81,8,China,0.5399296289422303,1.053977219267641,3.217202737302356,3.188645833269619,1.7706181299923778,0.16782580180040646,0.16932881767825234
82,4,China,-0.1701477373801121,2.245179156650383,4.799290959456787,4.723952236274205,1.261045752571179,-0.035452682243580926,-0.03601809012241582
83,11,United Kingdom,1.3425671739257672,-1.3153527484227183,7.45435811095401,7.228140901706038,1.8258031945761843,0.18010500085217201,0.18574169930872333
84,11,United Kingdom,1.69586073439338,-0.85362304594663,5.254658098187144,5.08231973376797,0.9907793481358981,0.3227347436702783,0.3336784821162933
85,2,China,2.9830746832063917,0.22086303728139245,2.6717558832307846,1.9020831293679876,4.695416777686815,1.116522172526911,1.5683198263777194
86,4,Vietnam,1.7313394255582655,6.882796965615975,6.012635179859244,8.630569530711934,1.089068653116876,0.28795018719209836,0.20060546634811105
87,11,United Kingdom,0.2876898339237953,6.517107879926095,3.366995079624971,7.264898203420775,0.6448102684152867,0.08544409098329878,0.039599981426901854
88,11,China,1.1476052391964293,-7.7282812057101316,7.8798088871292205,10.778360118634438,1.4450086126805934,0.14563871480067406,0.10647308371264783
89,11,China,0.7994665232810413,-1.4972229043463978,6.091442157630988,5.997841401673641,0.957956287326204,0.1312442115664709,0.1332923746629842
90,4,China,1.8409063802084358,1.0300492238853585,5.954904495311524,5.258960644921949,1.8764137065688857,0.3091412098477544,0.35005137031896494
91,5,China,6.616506698226263,5.317944473200831,5.817726290349386,7.44024762837805,4.322116400138363,1.1373011324375844,0.889285817986765
92,6,China,3.7554806515698496,-5.37688634897775,5.668408435709707,7.4623467246019475,1.3894139661788918,0.6625282377168096,0.5032573250970421
