farm_id,year,AEP_real_kWh,AEP_baseWD_kWh,Delta_AEP_WD_kWh,WakeLoss_real,WakeLoss_baseWD,Delta_WakeLoss_WD
78,2021,1504985749.6,1522354983.6,-17369234.0,0.1334,0.1233,0.0100
81,2021,2693334775.0,2669385589.6,23949185.4,0.0935,0.1016,-0.0081
82,2021,1938833404.2,1981190818.1,-42357413.9,0.1019,0.0823,0.0196
86,2021,357288690.2,351430080.8,5858609.4,0.0081,0.0244,-0.0163
88,2021,1463801701.8,1465355697.2,-1553995.4,0.1306,0.1297,0.0009
89,2021,1621325790.1,1629763003.3,-8437213.1,0.1371,0.1326,0.0045
90,2021,1304181147.1,1308197263.5,-4016116.4,0.1477,0.1451,0.0026
91,2021,1218580063.1,1169431237.2,49148825.9,0.1617,0.1955,-0.0338
92,2021,1703395519.0,1707202187.1,-3806668.1,0.1091,0.1071,0.0020
97,2021,1018908868.3,1040487126.9,-21578258.5,0.1975,0.1805,0.0170
98,2021,1012765937.3,1010626540.2,2139397.1,0.1485,0.1503,-0.0018
101,2021,2259444830.1,2243418860.3,16025969.8,0.0454,0.0522,-0.0068
103,2021,1071432686.2,1082185912.0,-10753225.8,0.1222,0.1134,0.0088
107,2021,658406800.5,659657207.5,-1250407.0,0.1095,0.1079,0.0017
109,2021,1151650457.1,1150706857.9,943599.1,0.1011,0.1019,-0.0007
111,2021,853900889.6,859145261.6,-5244372.1,0.1231,0.1177,0.0054
112,2021,705653452.6,690113469.5,15539983.2,0.0338,0.0551,-0.0213
115,2021,432261673.6,426225817.2,6035856.4,0.0567,0.0699,-0.0132
118,2021,918549394.1,907506502.8,11042891.2,0.0882,0.0992,-0.0110
119,2021,521792087.9,527696224.2,-5904136.3,0.1317,0.1219,0.0098
120,2021,750379158.2,751044478.4,-665320.1,0.1225,0.1218,0.0008
124,2021,1279827553.4,1288486448.8,-8658895.4,0.0783,0.0721,0.0062
126,2021,624360603.0,627058921.2,-2698318.3,0.1166,0.1128,0.0038
130,2021,404472198.3,401157855.4,3314342.8,0.0892,0.0966,-0.0075
131,2021,728453225.9,749869966.7,-21416740.8,0.1178,0.0918,0.0259
133,2021,230334174.6,228272864.7,2061309.9,0.0362,0.0448,-0.0086
135,2021,65403588.6,65517311.9,-113723.3,0.0158,0.0141,0.0017
139,2021,484337675.1,483405214.2,932460.9,0.1118,0.1135,-0.0017
141,2021,351392586.4,337776821.7,13615764.7,0.0377,0.0750,-0.0373
143,2021,94711034.8,94424366.9,286667.9,0.0030,0.0060,-0.0030
147,2021,303909560.3,309878620.9,-5969060.6,0.0456,0.0269,0.0187
159,2021,152223150.5,150284562.3,1938588.2,0.0410,0.0532,-0.0122
165,2021,92640613.3,91629688.7,1010924.6,0.0544,0.0647,-0.0103
168,2021,62495596.0,62920183.5,-424587.4,0.0417,0.0352,0.0065
169,2021,88931690.0,88493178.4,438511.6,0.0316,0.0364,-0.0048
0,2022,26973456266.7,27142587280.3,-169131013.5,0.1379,0.1325,0.0054
1,2022,16950214524.5,17043370016.9,-93155492.5,0.1325,0.1277,0.0048
3,2022,12958545617.9,12949629214.2,8916403.7,0.1512,0.1517,-0.0006
4,2022,10444490862.6,10503438789.7,-58947927.1,0.2006,0.1961,0.0045
6,2022,2942100180.3,2982294375.2,-40194195.0,0.1171,0.1050,0.0121
8,2022,2296605801.3,2337177479.4,-40571678.1,0.1315,0.1161,0.0153
12,2022,8464071391.0,8482062960.1,-17991569.1,0.1339,0.1321,0.0018
14,2022,3981855961.4,3977436457.5,4419503.9,0.1177,0.1186,-0.0010
19,2022,4189216240.2,4117829040.8,71387199.5,0.1564,0.1707,-0.0144
21,2022,5433847289.7,5430340492.1,3506797.6,0.0687,0.0693,-0.0006
24,2022,3454771553.8,3478418471.0,-23646917.2,0.2148,0.2094,0.0054
28,2022,4393824522.7,4413750921.3,-19926398.6,0.1091,0.1050,0.0040
32,2022,3653503403.6,3676105342.0,-22601938.3,0.1340,0.1287,0.0054
34,2022,6633894041.0,6560502456.2,73391584.8,0.0738,0.0840,-0.0102
35,2022,2925740390.1,2985048450.9,-59308060.8,0.1470,0.1297,0.0173
37,2022,2605737995.7,2624926698.6,-19188703.0,0.1313,0.1249,0.0064
38,2022,3695756764.9,3683923176.5,11833588.4,0.1410,0.1437,-0.0028
39,2022,1031901602.2,1026098871.0,5802731.3,0.0599,0.0652,-0.0053
41,2022,1363197617.7,1360376825.7,2820792.0,0.0726,0.0745,-0.0019
42,2022,4107092520.7,4108758495.1,-1665974.3,0.0141,0.0137,0.0004
44,2022,1413264676.0,1404325802.9,8938873.1,0.0786,0.0845,-0.0058
45,2022,5425884147.6,5423519183.2,2364964.4,0.0806,0.0810,-0.0004
46,2022,5602061726.5,5586345089.0,15716637.5,0.0408,0.0435,-0.0027
47,2022,1387368839.6,1384929305.3,2439534.4,0.0914,0.0930,-0.0016
50,2022,2502772407.1,2523042120.7,-20269713.7,0.1242,0.1171,0.0071
52,2022,3897087593.2,3884381811.8,12705781.4,0.0713,0.0743,-0.0030
57,2022,674004308.8,711835087.3,-37830778.5,0.4525,0.4217,0.0307
62,2022,632636530.4,627368653.3,5267877.1,0.0333,0.0414,-0.0080
63,2022,1852246273.8,1912425789.2,-60179515.4,0.1697,0.1427,0.0270
64,2022,868703752.4,847142534.6,21561217.8,0.1034,0.1257,-0.0223
66,2022,1889822482.4,1995961706.3,-106139223.9,0.1816,0.1356,0.0460
70,2022,1568771226.0,1587840462.8,-19069236.8,0.1558,0.1456,0.0103
71,2022,2696481091.2,2705785079.5,-9303988.3,0.0704,0.0672,0.0032
72,2022,2098202858.1,2115056950.6,-16854092.5,0.1454,0.1385,0.0069
74,2022,2361123940.1,2303713884.6,57410055.5,0.0732,0.0958,-0.0225
76,2022,1538882383.3,1541513461.1,-2631077.8,0.0679,0.0663,0.0016
78,2022,1529139454.7,1550127910.9,-20988456.2,0.1396,0.1278,0.0118
81,2022,2874432097.0,2856432262.6,17999834.4,0.0814,0.0871,-0.0058
82,2022,1774464336.5,1790667304.2,-16202967.8,0.0982,0.0900,0.0082
86,2022,957217656.8,949818391.7,7399265.0,0.0478,0.0552,-0.0074
88,2022,1276450783.0,1248221892.3,28228890.6,0.1195,0.1390,-0.0195
89,2022,1712065848.8,1734919266.8,-22853418.0,0.1408,0.1293,0.0115
90,2022,1550088697.4,1546643016.1,3445681.3,0.1378,0.1397,-0.0019
91,2022,1445244314.0,1372364694.9,72879619.0,0.1441,0.1873,-0.0432
92,2022,1819130760.5,1851472719.9,-32341959.5,0.1204,0.1048,0.0156
94,2022,1234853229.5,1237120311.1,-2267081.6,0.1140,0.1124,0.0016
97,2022,1196789271.0,1221455738.9,-24666467.9,0.1867,0.1700,0.0168
98,2022,851265783.6,843960777.8,7305005.9,0.1523,0.1596,-0.0073
101,2022,2393858254.1,2378870063.0,14988191.0,0.0396,0.0457,-0.0060
103,2022,1420081440.1,1434007018.1,-13925577.9,0.1181,0.1095,0.0086
107,2022,625822306.4,628982166.7,-3159860.3,0.1061,0.1016,0.0045
108,2022,982967959.0,982717939.6,250019.4,0.0720,0.0722,-0.0002
109,2022,1116504818.4,1091669352.2,24835466.2,0.0879,0.1081,-0.0203
110,2022,62699527.9,62647235.5,52292.4,0.0020,0.0028,-0.0008
111,2022,1036897744.5,1042012704.5,-5114960.1,0.1189,0.1145,0.0043
112,2022,654995602.9,643925317.5,11070285.4,0.0340,0.0503,-0.0163
115,2022,608659906.8,606438817.0,2221089.8,0.1351,0.1383,-0.0032
118,2022,970215955.9,959646800.7,10569155.2,0.0876,0.0976,-0.0099
119,2022,669002259.9,672676128.0,-3673868.2,0.1134,0.1085,0.0049
120,2022,793300438.7,786031552.9,7268885.8,0.1152,0.1233,-0.0081
124,2022,1374285513.6,1380574474.0,-6288960.4,0.0660,0.0617,0.0043
126,2022,564856676.7,565501787.9,-645111.2,0.1133,0.1123,0.0010
130,2022,383737457.2,382024835.1,1712622.1,0.0888,0.0929,-0.0041
131,2022,633068563.1,644397495.7,-11328932.6,0.1139,0.0980,0.0159
133,2022,295434909.0,293030636.3,2404272.6,0.0765,0.0840,-0.0075
135,2022,424441089.1,421619553.5,2821535.7,0.1397,0.1454,-0.0057
139,2022,535029028.6,531904972.1,3124056.5,0.1051,0.1103,-0.0052
141,2022,324770167.5,313570814.0,11199353.6,0.0420,0.0751,-0.0330
143,2022,180494123.2,179707550.9,786572.3,0.0053,0.0097,-0.0043
147,2022,285801191.7,290347735.7,-4546544.0,0.0445,0.0293,0.0152
