farm_id,year,country,farm_label,n_turb,turbine_type,wake_model,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s
42,2024,Taiwan,Medium (111t),111,ow_10MW,jensen,4985025233.230097,5160185487.544954,0.5750337674303095,0.03394456550789474,12.138526499999898
42,2024,Taiwan,Medium (111t),111,ow_12MW,gauss,6125867212.167993,6289829879.480937,0.7044676142764149,0.026067901748477066,33.63277119999998
42,2024,Taiwan,Medium (111t),111,ow_12MW,jensen,6054439092.033424,6289829879.480937,0.6962534634238632,0.03742403084945408,11.902447299999949
42,2024,Taiwan,Medium (111t),111,ow_15MW,gauss,7568051723.098656,7800597709.05907,0.8686539196590896,0.029811303522337945,33.62342169999988
42,2024,Taiwan,Medium (111t),111,ow_15MW,jensen,7468018044.598012,7800597709.05907,0.8571721473210006,0.042635151416002756,12.473507899999959
22,2024,Germany,Large (161t),161,ow_6MW,gauss,3549354791.6706123,4230989104.395095,0.2740977487982384,0.16110519216804645,56.52881460000003
22,2024,Germany,Large (161t),161,ow_6MW,jensen,3424641667.8123226,4230989104.395095,0.26446681909366987,0.19058130774790918,19.635733900000105
22,2024,Germany,Large (161t),161,ow_8MW,gauss,4295090958.518929,5303233269.912912,0.33127509739581856,0.1900995600388778,52.85800500000005
22,2024,Germany,Large (161t),161,ow_8MW,jensen,4122824718.4935985,5303233269.912912,0.3179884135994686,0.22258280775921782,18.523649800000157
22,2024,Germany,Large (161t),161,ow_10MW,gauss,5535384082.759028,7150700501.262319,0.4264607739366978,0.22589624865677665,51.16507160000015
22,2024,Germany,Large (161t),161,ow_10MW,jensen,5338786783.898725,7150700501.262319,0.41131439294988104,0.2533896807793496,18.337922200000094
22,2024,Germany,Large (161t),161,ow_12MW,gauss,6658867745.245625,8854342221.602156,0.5111781855036863,0.24795455398145536,51.55901300000005
22,2024,Germany,Large (161t),161,ow_12MW,jensen,6444828870.489446,8854342221.602156,0.49474716332229013,0.27212787701317454,19.198363800000152
22,2024,Germany,Large (161t),161,ow_15MW,gauss,7909764493.179489,10972589948.398003,0.6066054081655269,0.279134230808077,54.767931999999746
22,2024,Germany,Large (161t),161,ow_15MW,jensen,7615035721.19976,10972589948.398003,0.5840024511269132,0.30599468703270416,19.61304949999976
3,2024,China,Mega (441t),441,ow_6MW,gauss,8374398976.823863,9290989490.08,0.23742894274656712,0.09865370251842193,290.7496314
3,2024,China,Mega (441t),441,ow_6MW,jensen,8123748285.618351,9290989490.08,0.23032255472083302,0.1256315278052907,86.21261879999975
3,2024,China,Mega (441t),441,ow_8MW,gauss,10158078082.551506,11458117666.256708,0.28753202675548745,0.11346013556255584,285.1790208000002
3,2024,China,Mega (441t),441,ow_8MW,jensen,9792908181.284819,11458117666.256708,0.2771956185325908,0.14533010861599072,86.76440460000003
3,2024,China,Mega (441t),441,ow_10MW,gauss,13561198610.825895,15764651683.22131,0.38352478496019715,0.139771757516254,278.5282109999998
3,2024,China,Mega (441t),441,ow_10MW,jensen,12990029541.176765,15764651683.22131,0.3673715303033245,0.17600275589962067,85.30733409999993
3,2024,China,Mega (441t),441,ow_12MW,gauss,16636553743.936604,19705061491.677303,0.4691532354714008,0.15572180523449394,280.6230753
3,2024,China,Mega (441t),441,ow_12MW,jensen,15883966093.442577,19705061491.677303,0.4479301542588163,0.19391441127187636,88.24071670000012
3,2024,China,Mega (441t),441,ow_15MW,gauss,20062939338.5773,24354237984.58966,0.5644440882321732,0.17620336340343365,283.0774018000002
3,2024,China,Mega (441t),441,ow_15MW,jensen,19032269407.519913,24354237984.58966,0.5354475618664977,0.21852330507886414,84.69299439999986
