farm_id,year,n_turb,capacity_kW,n_hours,wake_model,turbine_type,country,region,TI,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,Volatility_kW,CV,P5_kW,P95_kW,RampFreq,low_hours,high_hours,precompute_time_s
113,2018,36,360000.0,8190,gauss,iea_10MW,Netherlands,europe,0.06,1311850440.9176877,1530430682.4099245,0.4449363861476352,0.14282269952144774,120448.19721431332,0.8043037336323835,0.0,331740.0,0.15218632263957071,0.24006849315068493,0.17591324200913241,10.669073799999751
113,2019,36,360000.0,8257,gauss,iea_10MW,Netherlands,europe,0.06,1340232820.3681068,1567462711.918005,0.45087428187803846,0.1449666967017361,121553.08534903348,0.7944925773158392,0.0,331740.0,0.15778056855805458,0.22271689497716896,0.19315068493150686,10.438623599999119
113,2020,36,360000.0,8159,gauss,iea_10MW,Netherlands,europe,0.06,1448676309.399679,1645542518.4042943,0.4932100575368982,0.11963605121277525,129216.55801753195,0.7835002465777551,0.0,331740.0,0.13981555277240124,0.24055100182149364,0.25443989071038253,10.327098400000978
113,2021,36,360000.0,8121,gauss,iea_10MW,Netherlands,europe,0.06,1241938718.839801,1448269231.19245,0.42480356785556,0.14246695842786375,122578.8363024899,0.8646083657114171,0.0,331740.0,0.14430871104007306,0.2821917808219178,0.17625570776255708,10.663516799999343
113,2022,36,360000.0,8100,gauss,iea_10MW,Netherlands,europe,0.06,1249543223.323846,1463806389.3895166,0.4285127652002216,0.14637397924942067,124165.46994047076,0.8704697015483919,0.0,331740.0,0.1634889827605891,0.2817351598173516,0.1908675799086758,11.158112799999799
113,2023,36,360000.0,8221,gauss,iea_10MW,Netherlands,europe,0.06,1438639206.7745488,1638335495.36048,0.48609901700744323,0.1218897406248239,127665.04927407965,0.7773636547472429,0.0,331740.0,0.1478479278456445,0.23881278538812786,0.24691780821917808,10.790717900003074
113,2024,36,360000.0,8253,gauss,iea_10MW,Netherlands,europe,0.06,1370098686.9802146,1593550841.6054718,0.4611450001279718,0.14022279602960988,123976.66684743398,0.7948413146706317,0.0,331740.0,0.16065125811226233,0.24271402550091076,0.19592440801457195,11.272883500001626
14,2018,37,370000.0,7617,gauss,iea_10MW,China,east_asia,0.07,994800537.3248258,1145634126.9882762,0.3529801891660637,0.1316594767126678,113943.25944735925,1.003359885030852,0.0,340827.912916715,0.13517524831601782,0.37123287671232874,0.0776255707762557,12.481802700000117
68,2014,37,370000.0,8277,gauss,iea_10MW,Denmark,europe,0.06,1851822212.0983164,1947683112.7833781,0.6046786151459487,0.04921791438036839,133791.36264793575,0.6328967916784514,0.0,340955.0,0.12284507363854322,0.17363013698630136,0.39315068493150684,10.078171099998144
68,2015,37,370000.0,8378,gauss,iea_10MW,Denmark,europe,0.06,1897208909.1225457,1997100787.700688,0.6120305139982276,0.05001844633647668,133084.10945813573,0.6144904724237545,1083.1052430671552,340955.0,0.1317501997944971,0.15856164383561644,0.4170091324200913,11.041838000001007
106,2024,37,370000.0,7873,gauss,iea_10MW,China,east_asia,0.07,1180568030.011565,1284878469.1360693,0.40527427987255965,0.08118311702634484,125342.67258665852,0.9326104112699231,0.0,340955.0,0.15974040760560174,0.3188752276867031,0.14981785063752276,11.133498899998813
