id,lon,lat,first_year,active_2014,active_2015,active_2016,active_2017,active_2018,active_2019,active_2020,active_2021,active_2022,active_2023,active_2024
184,123.318035,39.545809,2017,False,False,False,True,True,True,True,True,True,True,True
185,123.317173,39.537256,2018,False,False,False,False,True,True,True,True,True,True,True
186,123.334423,39.585915,2020,False,False,False,False,False,False,True,True,True,True,True
187,123.333172,39.540468,2017,False,False,False,True,True,True,True,True,True,True,True
188,123.326763,39.534651,2018,False,False,False,False,True,True,True,True,True,True,True
189,123.325428,39.542936,2018,False,False,False,False,True,True,True,True,True,True,True
190,123.335003,39.533045,2018,False,False,False,False,True,True,True,True,True,True,True
191,123.320988,39.593859,9999,False,False,False,False,False,False,False,False,False,False,False
192,123.372456,39.570272,2021,False,False,False,False,False,False,False,True,True,True,True
193,123.360474,39.595596,2021,False,False,False,False,False,False,False,True,True,True,True
194,123.339798,39.541975,2017,False,False,False,True,True,True,True,True,True,True,True
195,123.348156,39.591011,2021,False,False,False,False,False,False,False,True,True,True,True
196,123.348312,39.573524,2021,False,False,False,False,False,False,False,True,True,True,True
197,123.390163,39.580711,2021,False,False,False,False,False,False,False,True,True,True,True
198,123.365936,39.59779,2021,False,False,False,False,False,False,False,True,True,True,True
199,123.355656,39.540049,2018,False,False,False,False,True,True,True,True,True,True,True
200,123.348007,39.541039,2017,False,False,False,True,False,True,True,True,True,True,True
201,123.360477,39.571831,2021,False,False,False,False,False,False,False,True,True,True,True
202,123.389198,39.60664,2021,False,False,False,False,False,False,False,True,True,True,True
203,123.355003,39.593546,2021,False,False,False,False,False,False,False,True,True,True,True
204,123.370964,39.537149,2017,False,False,False,True,True,True,True,True,True,True,True
205,123.37682,39.601923,2019,False,False,False,False,False,True,False,True,True,True,True
206,123.371441,39.599833,2021,False,False,False,False,False,False,False,True,True,True,True
207,123.38237,39.603935,2021,False,False,False,False,False,False,False,True,True,True,True
208,123.363426,39.53841,2018,False,False,False,False,True,True,True,True,True,True,True
209,123.342606,39.533047,2018,False,False,False,False,True,True,True,True,True,True,True
210,123.35017,39.531652,2017,False,False,False,True,True,True,True,True,True,True,True
211,123.389629,39.593672,2021,False,False,False,False,False,False,False,True,True,True,True
212,123.341286,39.588369,2021,False,False,False,False,False,False,False,True,True,True,True
213,123.381584,39.568996,2021,False,False,False,False,False,False,False,True,True,True,True
214,123.378345,39.536015,2017,False,False,False,True,True,True,True,True,True,True,True
215,123.35783,39.530577,2018,False,False,False,False,True,True,True,True,True,True,True
216,123.332954,39.523792,2018,False,False,False,False,True,True,True,True,True,True,True
217,123.365211,39.529305,2017,False,False,False,True,True,True,True,True,True,True,True
218,123.340431,39.523899,2017,False,False,False,True,True,True,True,True,True,True,True
219,123.372807,39.528084,2018,False,False,False,False,True,True,True,True,True,True,True
220,123.35556,39.516867,2018,False,False,False,False,True,True,True,True,True,True,True
221,123.347679,39.523912,9999,False,False,False,False,False,False,False,False,False,False,False
222,123.220387,39.51585,2021,False,False,False,False,False,False,False,True,True,True,True
223,123.184315,39.501926,2021,False,False,False,False,False,False,False,True,True,True,True
224,123.220917,39.487585,2021,False,False,False,False,False,False,False,True,True,True,True
225,123.181747,39.515694,2021,False,False,False,False,False,False,False,True,True,True,True
226,123.208279,39.458923,2019,False,False,False,False,False,True,True,True,True,True,True
227,123.202271,39.444529,2021,False,False,False,False,False,False,False,True,True,True,True
228,123.207825,39.473234,2020,False,False,False,False,False,False,True,True,True,True,True
229,123.180115,39.487526,2020,False,False,False,False,False,False,True,True,True,True,True
230,123.196468,39.487522,2020,False,False,False,False,False,False,True,True,True,True,True
231,123.190651,39.444473,2021,False,False,False,False,False,False,False,True,True,True,True
232,123.194805,39.515617,2021,False,False,False,False,False,False,False,True,True,True,True
233,123.212776,39.487585,2021,False,False,False,False,False,False,False,True,True,True,True
234,123.197975,39.473225,2020,False,False,False,False,False,False,True,True,True,True,True
235,123.201168,39.515818,2021,False,False,False,False,False,False,False,True,True,True,True
236,123.1884,39.515806,2021,False,False,False,False,False,False,False,True,True,True,True
237,123.219547,39.50194,2021,False,False,False,False,False,False,False,True,True,True,True
238,123.188095,39.473242,2020,False,False,False,False,False,False,True,True,True,True,True
239,123.201954,39.501907,2020,False,False,False,False,False,False,True,True,True,True,True
240,123.172218,39.458803,2020,False,False,False,False,False,False,True,True,True,True,True
241,123.193108,39.501921,2021,False,False,False,False,False,False,False,True,True,True,True
242,123.175442,39.501896,2021,False,False,False,False,False,False,False,True,True,True,True
243,123.214012,39.515799,2021,False,False,False,False,False,False,False,True,True,True,True
244,123.188278,39.487549,2020,False,False,False,False,False,False,True,True,True,True,True
245,123.201122,39.458885,2021,False,False,False,False,False,False,False,True,True,True,True
246,123.210999,39.501757,2021,False,False,False,False,False,False,False,True,True,True,True
