farm_id,year,n_turb,layout_type,wake_model,country_x,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s,farm_id_int,spacing_D,aspect_ratio,n_turbines,axis_deviation_abs,paradigm,country_y,density_bin,aspect_bin,size_bin,dev_bin,AEP_GWh
129,2023,5,real,gauss,United Kingdom,239898031.71027964,243051811.5307787,0.5829134533113344,0.0129757511397922,1.7705150000001595,129,3.1,1.22,18,76.6,A,United Kingdom,中(2.9-4.3D),近方形,小(<20),大偏差,0.23989803171027965
162,2017,5,real,gauss,United Kingdom,209423174.03179404,215745853.56313825,0.5063422969820939,0.0293061462221513,1.7633975999997349,162,1.9,2.36,7,21.400000000000006,A,United Kingdom,密(<2.9D),狭长,小(<20),小偏差,0.20942317403179403
162,2018,5,real,gauss,United Kingdom,189512225.5807026,195856107.25847483,0.4707793456234073,0.0323905226473233,1.7628496999968777,162,1.9,2.36,7,21.400000000000006,A,United Kingdom,密(<2.9D),狭长,小(<20),小偏差,0.1895122255807026
162,2019,5,real,gauss,United Kingdom,191193296.6195064,198030172.34532827,0.4685536003418855,0.0345244143599472,1.7329519000013534,162,1.9,2.36,7,21.400000000000006,A,United Kingdom,密(<2.9D),狭长,小(<20),小偏差,0.19119329661950638
162,2020,5,real,gauss,United Kingdom,206902809.66043815,211919464.55795032,0.5053805805091309,0.0236724592900257,1.7167289999997593,162,1.9,2.36,7,21.400000000000006,A,United Kingdom,密(<2.9D),狭长,小(<20),小偏差,0.20690280966043814
162,2021,5,real,gauss,United Kingdom,173182440.61485302,178672104.50488266,0.442582265818689,0.0307247955982945,1.6668712999999116,162,1.9,2.36,7,21.400000000000006,A,United Kingdom,密(<2.9D),狭长,小(<20),小偏差,0.17318244061485302
162,2022,5,real,gauss,United Kingdom,201288107.4993115,208353895.6275558,0.5010282700667368,0.0339124358916464,1.6565233000001172,162,1.9,2.36,7,21.400000000000006,A,United Kingdom,密(<2.9D),狭长,小(<20),小偏差,0.2012881074993115
162,2023,5,real,gauss,United Kingdom,181477782.70944592,187025270.76609483,0.4514934263203033,0.0296617031159758,1.6407067000000095,162,1.9,2.36,7,21.400000000000006,A,United Kingdom,密(<2.9D),狭长,小(<20),小偏差,0.18147778270944592
162,2024,5,real,gauss,United Kingdom,195894054.7501977,202279728.7906744,0.4817856732665955,0.0315685317488474,1.5981807999996818,162,1.9,2.36,7,21.400000000000006,A,United Kingdom,密(<2.9D),狭长,小(<20),小偏差,0.19589405475019772
163,2014,5,real,gauss,Sweden,182075617.5780756,213221926.65308648,0.4505706943283236,0.1460746066969284,1.5066635999974096,163,5.0,1.32,11,3.0,A,Sweden,疏(>4.3D),近方形,小(<20),小偏差,0.18207561757807558
163,2015,5,real,gauss,Sweden,202260188.0302002,233516263.4936033,0.4892602516453803,0.1338496728055913,1.5620626000018092,163,5.0,1.32,11,3.0,A,Sweden,疏(>4.3D),近方形,小(<20),小偏差,0.2022601880302002
163,2016,5,real,gauss,Sweden,179694451.03889027,209913711.50549245,0.4456155016463491,0.1439603932962306,1.4483676000018022,163,5.0,1.32,11,3.0,A,Sweden,疏(>4.3D),近方形,小(<20),小偏差,0.17969445103889028
163,2017,5,real,gauss,Sweden,195026927.59397796,226138674.14798108,0.4705680482421955,0.1375781770686609,1.5750884000008227,163,5.0,1.32,11,3.0,A,Sweden,疏(>4.3D),近方形,小(<20),小偏差,0.19502692759397797
163,2018,5,real,gauss,Sweden,162911535.9256297,193311664.40808168,0.4057572501261015,0.1572596696404059,1.26406119999956,163,5.0,1.32,11,3.0,A,Sweden,疏(>4.3D),近方形,小(<20),小偏差,0.1629115359256297
