farm_id,year,n_turb,stage,sx_D,sy_D,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s
21,2024,162,coarse,4.0,10.0,6464803810.56774,6962901020.783141,0.5059101972810505,0.07153587401697376,52.375949400000536
21,2024,162,coarse,4.0,11.0,6457587074.815456,6962901020.783141,0.5053454438383869,0.07257232932931314,52.35084989999814
21,2024,162,coarse,4.0,12.0,6475683871.890069,6962901020.783141,0.5067616282186779,0.06997329811795502,52.70883599999797
21,2024,162,coarse,5.0,3.0,5970488724.115892,6962901020.783141,0.46722703685829176,0.14252856585280438,52.24147909999738
21,2024,162,coarse,5.0,4.0,6156848695.929222,6962901020.783141,0.48181083752232035,0.11576386371829533,52.24879160000273
21,2024,162,coarse,5.0,5.0,6269247896.808073,6962901020.783141,0.4906067582582132,0.09962128169058054,52.30545159999747
21,2024,162,coarse,5.0,6.0,6413986506.592328,6962901020.783141,0.5019334343300285,0.07883416876850488,52.704768200001126
21,2024,162,coarse,5.0,7.0,6395636051.648693,6962901020.783141,0.5004973996795173,0.08146962989151407,52.57976819999749
21,2024,162,coarse,5.0,8.0,6512673480.308084,6962901020.783141,0.5096562899347097,0.06466091348005676,52.52554759999839
21,2024,162,coarse,5.0,9.0,6538902737.544315,6962901020.783141,0.5117088887593215,0.06089391217443118,61.7573498999991
21,2024,162,coarse,5.0,10.0,6523646027.366337,6962901020.783141,0.5105149584433878,0.06308505493697221,66.10393829999884
21,2024,162,coarse,5.0,11.0,6568310792.151272,6962901020.783141,0.5140102478018863,0.056670377397880695,136.32771420000063
21,2024,162,coarse,5.0,12.0,6613447162.531783,6962901020.783141,0.5175424431650971,0.05018796866540173,214.39283680000153
21,2024,162,coarse,6.0,3.0,6040206524.438063,6962901020.783141,0.47268287854328367,0.13251581396762407,206.5578991000002
21,2024,162,coarse,6.0,4.0,6250320563.405735,6962901020.783141,0.4891255793615036,0.10233959311649957,215.15714399999706
21,2024,162,coarse,6.0,5.0,6381327593.610827,6962901020.783141,0.4993776758579079,0.08352458629476571,213.71180620000086
21,2024,162,coarse,6.0,6.0,6438335780.993997,6962901020.783141,0.5038389130695474,0.0753371673995367,221.3168592999973
21,2024,162,coarse,6.0,7.0,6553086507.79405,6962901020.783141,0.5128188550035411,0.05885686321920424,218.10848350000015
21,2024,162,coarse,6.0,8.0,6530756439.949953,6962901020.783141,0.5110713914517718,0.06206386957725033,220.8946737999977
21,2024,162,coarse,6.0,9.0,6577563771.887514,6962901020.783141,0.5147343497144838,0.05534148018842394,223.3780071000001
21,2024,162,coarse,6.0,10.0,6648304468.276312,6962901020.783141,0.5202702392348052,0.04518182171020514,216.53932969999732
21,2024,162,coarse,6.0,11.0,6639269986.722257,6962901020.783141,0.5195632361331994,0.04647933858242388,208.589888100003
21,2024,162,coarse,6.0,12.0,6627603576.78536,6962901020.783141,0.5186502686363221,0.04815484853180762,61.250509800000145
21,2024,162,coarse,7.0,3.0,6205628828.398412,6962901020.783141,0.485628179419153,0.10875814407305139,50.31727750000209
21,2024,162,coarse,7.0,4.0,6372330630.090082,6962901020.783141,0.4986736087704782,0.08481671489086247,50.020400000001246
21,2024,162,coarse,7.0,5.0,6423545221.393041,6962901020.783141,0.5026814618699635,0.07746136240917544,49.9989061999986
21,2024,162,coarse,7.0,6.0,6506812506.974849,6962901020.783141,0.5091976331429244,0.06550265650006247,49.969482500000595
21,2024,162,coarse,7.0,7.0,6533777364.616453,6962901020.783141,0.5113077971709217,0.06163000951554859,50.39781049999874
21,2024,162,coarse,7.0,8.0,6635474331.297191,6962901020.783141,0.5192662030226559,0.04702446415777481,50.03576720000274
21,2024,162,coarse,7.0,9.0,6621672997.497781,6962901020.783141,0.5181861647554795,0.049006588240569485,50.22541890000139
21,2024,162,coarse,7.0,10.0,6619585051.402822,6962901020.783141,0.5180227702810662,0.04930645550691825,50.25396650000039
21,2024,162,coarse,7.0,11.0,6689267946.512629,6962901020.783141,0.5234758804210042,0.03929871664896022,50.98063850000108
21,2024,162,coarse,7.0,12.0,6719225017.169333,6962901020.783141,0.5258202033068933,0.03499633312127717,50.14019140000164
21,2024,162,coarse,8.0,3.0,6325309939.208418,6962901020.783141,0.49499395387339556,0.09156974652829565,50.473785100002715
21,2024,162,coarse,8.0,4.0,6353920082.224579,6962901020.783141,0.4972328714835301,0.0874608064570862,50.4793525999994
21,2024,162,coarse,8.0,5.0,6505452564.833544,6962901020.783141,0.5090912094033713,0.06569796907699639,50.56902270000137
21,2024,162,coarse,8.0,6.0,6544097619.992725,6962901020.783141,0.5121154198902478,0.060147831994215466,49.94662939999762
21,2024,162,coarse,8.0,7.0,6596026192.557567,6962901020.783141,0.5161791463637191,0.05268993873825178,50.01684749999913
21,2024,162,coarse,8.0,8.0,6614161114.931084,6962901020.783141,0.5175983142804106,0.05008543203632004,50.78177389999837
21,2024,162,coarse,8.0,9.0,6693948609.134492,6962901020.783141,0.5238421707245959,0.038626487845492774,50.80768430000171
21,2024,162,coarse,8.0,10.0,6695860963.428612,6962901020.783141,0.5239918240731829,0.038351838774881,50.18273169999884
21,2024,162,coarse,8.0,11.0,6673636717.234169,6962901020.783141,0.5222526417087817,0.04154364720761715,50.23132370000167
21,2024,162,coarse,8.0,12.0,6710688867.740334,6962901020.783141,0.5251521977234003,0.03622228038140925,50.36706780000168
21,2024,162,fine,6.0,11.0,6639269986.722257,6962901020.783141,0.5195632361331994,0.04647933858242388,50.15399190000244
21,2024,162,fine,6.0,11.5,6628415287.337123,6962901020.783141,0.518713789921331,0.04803827204316592,50.04897179999898
21,2024,162,fine,6.0,12.0,6627603576.78536,6962901020.783141,0.5186502686363221,0.04815484853180762,50.07544129999951
21,2024,162,fine,6.0,12.5,6638903161.984526,6962901020.783141,0.5195345298675692,0.04653202132725051,50.39198440000109
21,2024,162,fine,6.0,13.0,6657855187.367851,6962901020.783141,0.5210176410618921,0.04381016368102563,49.98663989999841
21,2024,162,fine,6.5,11.0,6688576608.48892,6962901020.783141,0.5234217790180521,0.03939800543988872,50.11633359999905
21,2024,162,fine,6.5,11.5,6685592964.326733,6962901020.783141,0.5231882907249904,0.03982651133897904,50.1898102999985
21,2024,162,fine,6.5,12.0,6675062194.429642,6962901020.783141,0.5223641939647067,0.04133892259768547,50.057391199999984
21,2024,162,fine,6.5,12.5,6666166648.892633,6962901020.783141,0.5216680634510175,0.04261648571548027,50.173895700001594
