farm_id,n_years,country,G_mean,G_ew_mean,M_S_rms,M_S_mae,M_S_std,M_S_mean,M_D_rms,M_D_mae,R_i,H_i,P11_median_err,exceeds_global_M_S,exceeds_own_M_S
83,11,United Kingdom,1.3425671739257672,1.3248280815379003,10.288381692548695,8.988441643704043,8.483514958523402,6.357947895439643,10.956115809809681,8.97398938329083,0.13049352308712595,0,0.0,False,False
84,11,United Kingdom,1.69586073439338,1.6218330112517105,5.02111883535586,3.6479522700995917,5.185798818018129,0.8740129048785644,2.575053295796376,2.250681178480406,0.33774558818486716,0,0.0,False,False
87,11,United Kingdom,0.2876898339237953,0.27764209949026425,8.387575591453674,7.737920267659455,3.3946451444980124,7.737920267659455,1.3948517392117914,1.1154552267074669,0.034299522047459126,0,0.0,False,False
88,11,China,1.1476052391964293,1.2236087827414548,10.267143457953306,8.698263055700847,8.05674354737294,-6.812057603762557,1.3079284066084713,1.0183631209336446,0.11177454020158374,0,0.0,False,False
89,11,China,0.7994665232810413,1.0184267344409146,5.969541430295347,4.078388667081213,6.182441422106471,-0.9421375305104666,1.2480789538202584,1.0308291765786037,0.1339242775372592,0,0.0,False,False
91,5,China,6.616506698226263,6.593066723877368,6.5079406349674205,6.103066873369499,6.206998290171934,3.3958546919593444,4.239555892154164,3.758991430965967,1.0166820918241806,1,0.0,False,True
92,6,China,3.7554806515698496,3.712509178112091,6.4096784905855175,4.314543623933576,5.911294190790461,-3.4589708263606034,3.071345356552452,2.81330553358933,0.5859078044375967,0,0.0,False,False
96,11,United Kingdom,1.477461809041482,1.4907455880692602,7.195461861203432,5.746007256465062,4.5424529942699925,5.746007256465062,1.6614453880561117,1.4316387638113124,0.20533244947175333,0,0.0,False,False
97,11,China,3.1390904399711617,3.317852599905986,7.3259106884112395,5.761723616247951,5.15657269122652,5.431023864306446,1.5344345879811718,1.2834000733166349,0.4284914973010587,0,0.0,False,False
98,7,China,0.0,0.0,10.739876497028371,8.622569969123779,9.708042544162229,-5.878995176101512,1.9182402708119586,1.6142188650278169,0.0,0,0.0,False,False
99,11,Sweden,1.2381135766753115,1.2193747557259653,14.78738102961698,13.647218108069767,8.38128529212689,12.442133635301145,11.311617404572457,9.344717710746123,0.08372771176961961,0,0.0,False,False
100,11,Netherlands,2.1542846201614,2.161879900533668,6.294483726417634,5.226663919552194,5.110884302489172,3.984223383537515,4.6754374622982535,4.150152229792391,0.3422496131207672,0,0.0,False,False
101,11,China,-0.021743982118893886,0.027821450280107792,3.35266143423361,3.0072090971101746,3.4718075101849752,0.5316570785420942,1.8975674083645828,1.7747342342307937,-0.0064855884035497245,0,0.0,False,False
102,11,United Kingdom,1.3694391576474294,1.3819587768358106,6.397106486734777,4.314981932608292,5.434868138249777,3.7510576523918218,1.9440159454342643,1.527987154055551,0.21407165262718975,0,0.0,False,False
