farm_id,year,country,P00_kWh,P10_kWh,P01_kWh,P11_kWh,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,P11_err_pct
50,2017,China,1298752124.5,1177093843.2,1278243820.8,1192715605.263961,1192715605.263961,1315011489.8091726,0.3300849085792617,0.0929998600719134,0.0
88,2017,China,1351710798.4,1194503828.1,1337217605.1,1214134527.5700006,1214134527.5700006,1423123337.7746468,0.2896624226288606,0.1468522120728089,0.0
57,2017,Vietnam,474656256.9,532150367.6,441874190.5,526419653.58969456,526419653.58969456,1089703808.8594334,0.1127425252161377,0.5169149182467434,0.0
38,2017,China,1958808562.5,1859053747.6,1924549457.2,1879862841.506935,1879862841.506935,2234245272.156137,0.3683838607695345,0.1586139333338316,0.0
1,2017,China,2226793357.5,2140988937.9,2212293437.8,2167060357.5051107,2167060357.5051107,2568691656.697146,0.3505719255043453,0.1563563684823337,0.0
24,2017,China,3603071680.1,3460394312.6,3541292180.5,3484110892.71172,3484110892.71172,4402916896.062431,0.2822806393332847,0.2086812049921741,0.0
0,2017,China,5286659698.3,5068826929.9,5208739557.8,5132254230.430478,5132254230.430478,5676372033.630834,0.38017542837474,0.0958566140444314,0.0
46,2018,China,110181496.5,108787003.8,110325563.7,108349528.09786378,108349528.09786378,108886454.58280323,0.6630126551087001,0.0049310677530708,0.0
98,2018,China,45550095.1,44917151.5,46435965.7,44535036.86929513,44535036.86929513,45015193.799226776,0.2933796895210482,0.0106665525438634,0.0
124,2018,China,95659034.7,89862019.0,91367537.1,89388573.99580732,89388573.99580732,89880540.04395978,0.5684126541765695,0.0054735546527851,0.0
71,2018,Taiwan,110223516.6,105699910.8,99070363.7,105878412.45182964,105878412.45182964,109733107.79538392,0.5170349274920872,0.0351279155488974,0.0
72,2018,China,102907508.6,96692402.8,100180754.1,95835810.6287062,95835810.6287062,98303949.77510148,0.3910548440392793,0.0251072225687968,0.0
101,2018,China,147094678.7,141583925.3,140791262.0,140857886.93737,140857886.93737,141600807.12466443,0.5902278941435994,0.0052465815865043,0.0
135,2018,Japan,55051677.0,64529295.1,57663334.6,63499271.5991568,63499271.5991568,65511511.39711806,0.3005313625782422,0.0307158200909677,0.0
168,2018,China,57085017.4,60580870.6,59114475.4,58743351.22273716,58743351.22273716,62829802.01838408,0.2623759490050344,0.0650400075182669,0.0
169,2018,China,82064047.8,81218399.2,81952861.3,79800825.93870257,79800825.93870257,84521745.08246493,0.3425222162361686,0.0558544921091765,0.0
165,2018,China,80405554.4,89372053.6,82582189.6,86453577.92399198,86453577.92399198,95764338.77740584,0.287641661977615,0.0972257624527198,0.0
34,2018,China,562111201.5,537861442.6,562263976.7,544558050.5412804,544558050.5412804,574495579.1399812,0.6175037710107844,0.0521109816780786,0.0
147,2018,China,295552861.1,303482366.9,303113263.7,293100716.1973012,293100716.1973012,312542395.9782784,0.3203706674069836,0.0622049361339393,0.0
19,2018,China,362391722.8,384747531.1,364470904.7,384717325.9106217,384717325.9106217,410327161.3725367,0.3754585188361229,0.0624132104154415,0.0
139,2018,South Korea,315782848.8,327092937.7,301821606.0,318582451.9795851,318582451.9795851,361160114.26256704,0.3389535609954092,0.1178913744944369,0.0
81,2018,China,637916012.7,609547749.1,613307475.8,612609372.1637081,612609372.1637081,660803766.5817673,0.5500667793514484,0.0729329898758918,0.0
131,2018,China,672603610.7,695027449.9,673417103.4,670973297.4956316,670973297.4956316,767949315.2492019,0.3437363204383358,0.1262791903422706,0.0
97,2018,China,680787180.7,715454110.5,708356201.5,670631066.8162364,670631066.8162364,853492940.4936594,0.2668349992106874,0.2142511847510489,0.0
14,2018,China,1081415408.7,1009370361.0,1050006621.9,994800537.3248258,994800537.3248258,1145634126.9882762,0.3529801891660637,0.1316594767126678,0.0
