config_hash,ws_bin_m_s,wd_sector_deg,wake_efficiency,p_noWake_kW,n_turbines
000999d0e861,5.0,140,0.87466241,18612.58,20
000999d0e861,6.0,140,0.88738234,34188.08,20
000999d0e861,7.0,140,0.89339518,54608.36,20
000999d0e861,8.0,140,0.89529933,81834.08,20
000999d0e861,9.0,140,0.89865615,116677.17,20
000999d0e861,10.0,140,0.90682933,156919.07,20
000999d0e861,11.0,140,0.94571766,184300.00,20
000999d0e861,12.0,140,0.99071346,184300.00,20
000999d0e861,13.0,140,1.00000000,184300.00,20
000999d0e861,14.0,140,1.00000000,184300.00,20
000999d0e861,16.0,140,1.00000000,184300.00,20
000999d0e861,18.0,140,1.00000000,184300.00,20
000999d0e861,20.0,140,1.00000000,184300.00,20
000999d0e861,22.0,140,1.00000000,184300.00,20
000999d0e861,25.0,140,1.00000000,184300.00,20
000999d0e861,30.0,140,1.00000000,0.00,20
000999d0e861,0.0,150,1.00000000,0.00,20
000999d0e861,3.0,150,0.71928892,656.14,20
000999d0e861,4.0,150,0.86222380,7631.14,20
000999d0e861,5.0,150,0.89221542,18612.58,20
000999d0e861,6.0,150,0.90445034,34188.08,20
000999d0e861,7.0,150,0.90996850,54608.36,20
000999d0e861,8.0,150,0.91109046,81834.08,20
000999d0e861,9.0,150,0.91237737,116677.17,20
000999d0e861,10.0,150,0.91768151,156919.07,20
000999d0e861,11.0,150,0.94639113,184300.00,20
000999d0e861,12.0,150,0.99304664,184300.00,20
000999d0e861,13.0,150,1.00000000,184300.00,20
000999d0e861,14.0,150,1.00000000,184300.00,20
000999d0e861,16.0,150,1.00000000,184300.00,20
000999d0e861,18.0,150,1.00000000,184300.00,20
000999d0e861,20.0,150,1.00000000,184300.00,20
000999d0e861,22.0,150,1.00000000,184300.00,20
000999d0e861,25.0,150,1.00000000,184300.00,20
000999d0e861,30.0,150,1.00000000,0.00,20
000999d0e861,0.0,160,1.00000000,0.00,20
000999d0e861,3.0,160,0.68192865,656.14,20
000999d0e861,4.0,160,0.92378472,7631.14,20
000999d0e861,5.0,160,0.93888870,18612.58,20
000999d0e861,6.0,160,0.94538837,34188.08,20
000999d0e861,7.0,160,0.94873988,54608.36,20
000999d0e861,8.0,160,0.94933385,81834.08,20
000999d0e861,9.0,160,0.95210351,116677.17,20
000999d0e861,10.0,160,0.95789952,156919.07,20
000999d0e861,11.0,160,0.98477869,184300.00,20
000999d0e861,12.0,160,0.99989236,184300.00,20
000999d0e861,13.0,160,1.00000000,184300.00,20
000999d0e861,14.0,160,1.00000000,184300.00,20
000999d0e861,16.0,160,1.00000000,184300.00,20
000999d0e861,18.0,160,1.00000000,184300.00,20
000999d0e861,20.0,160,1.00000000,184300.00,20
000999d0e861,22.0,160,1.00000000,184300.00,20
000999d0e861,25.0,160,1.00000000,184300.00,20
000999d0e861,30.0,160,1.00000000,0.00,20
000999d0e861,0.0,170,1.00000000,0.00,20
000999d0e861,3.0,170,0.42598401,656.14,20
000999d0e861,4.0,170,0.60825718,7631.14,20
000999d0e861,5.0,170,0.68665966,18612.58,20
000999d0e861,6.0,170,0.71589738,34188.08,20
000999d0e861,7.0,170,0.73303465,54608.36,20
000999d0e861,8.0,170,0.73766132,81834.08,20
000999d0e861,9.0,170,0.74649702,116677.17,20
000999d0e861,10.0,170,0.76994664,156919.07,20
000999d0e861,11.0,170,0.85940983,184300.00,20
000999d0e861,12.0,170,0.99802738,184300.00,20
000999d0e861,13.0,170,1.00000000,184300.00,20
000999d0e861,14.0,170,1.00000000,184300.00,20
000999d0e861,16.0,170,1.00000000,184300.00,20
000999d0e861,18.0,170,1.00000000,184300.00,20
000999d0e861,20.0,170,1.00000000,184300.00,20
000999d0e861,22.0,170,1.00000000,184300.00,20
000999d0e861,25.0,170,1.00000000,184300.00,20
000999d0e861,30.0,170,1.00000000,0.00,20
000999d0e861,0.0,180,1.00000000,0.00,20
000999d0e861,3.0,180,0.25882000,656.14,20
000999d0e861,4.0,180,0.34771091,7631.14,20
000999d0e861,5.0,180,0.36909263,18612.58,20
000999d0e861,6.0,180,0.36098170,34188.08,20
000999d0e861,7.0,180,0.39164218,54608.36,20
000999d0e861,8.0,180,0.41069719,81834.08,20
000999d0e861,9.0,180,0.42348993,116677.17,20
000999d0e861,10.0,180,0.43896248,156919.07,20
000999d0e861,11.0,180,0.48613754,184300.00,20
000999d0e861,12.0,180,0.59170887,184300.00,20
000999d0e861,13.0,180,0.71531234,184300.00,20
000999d0e861,14.0,180,0.83626389,184300.00,20
000999d0e861,16.0,180,1.00000000,184300.00,20
000999d0e861,18.0,180,1.00000000,184300.00,20
000999d0e861,20.0,180,1.00000000,184300.00,20
000999d0e861,22.0,180,1.00000000,184300.00,20
000999d0e861,25.0,180,1.00000000,184300.00,20
000999d0e861,30.0,180,1.00000000,0.00,20
000999d0e861,0.0,190,1.00000000,0.00,20
000999d0e861,3.0,190,0.34338255,656.14,20
000999d0e861,4.0,190,0.44057143,7631.14,20
000999d0e861,5.0,190,0.53505048,18612.58,20
000999d0e861,6.0,190,0.58746400,34188.08,20
000999d0e861,7.0,190,0.61061965,54608.36,20
000999d0e861,8.0,190,0.61782108,81834.08,20
000999d0e861,9.0,190,0.62324283,116677.17,20
000999d0e861,10.0,190,0.64176944,156919.07,20
000999d0e861,11.0,190,0.71761376,184300.00,20
000999d0e861,12.0,190,0.88338139,184300.00,20
000999d0e861,13.0,190,0.99914531,184300.00,20
000999d0e861,14.0,190,1.00000000,184300.00,20
000999d0e861,16.0,190,1.00000000,184300.00,20
000999d0e861,18.0,190,1.00000000,184300.00,20
000999d0e861,20.0,190,1.00000000,184300.00,20
000999d0e861,22.0,190,1.00000000,184300.00,20
000999d0e861,25.0,190,1.00000000,184300.00,20
000999d0e861,30.0,190,1.00000000,0.00,20
000999d0e861,0.0,200,1.00000000,0.00,20
000999d0e861,3.0,200,0.35498290,656.14,20
000999d0e861,4.0,200,0.79167638,7631.14,20
000999d0e861,5.0,200,0.83234547,18612.58,20
000999d0e861,6.0,200,0.84810997,34188.08,20
000999d0e861,7.0,200,0.85684265,54608.36,20
000999d0e861,8.0,200,0.85770582,81834.08,20
000999d0e861,9.0,200,0.86327766,116677.17,20
000999d0e861,10.0,200,0.87721332,156919.07,20
000999d0e861,11.0,200,0.93963005,184300.00,20
000999d0e861,12.0,200,0.99869829,184300.00,20
000999d0e861,13.0,200,1.00000000,184300.00,20
000999d0e861,14.0,200,1.00000000,184300.00,20
000999d0e861,16.0,200,1.00000000,184300.00,20
000999d0e861,18.0,200,1.00000000,184300.00,20
000999d0e861,20.0,200,1.00000000,184300.00,20
000999d0e861,22.0,200,1.00000000,184300.00,20
000999d0e861,25.0,200,1.00000000,184300.00,20
000999d0e861,30.0,200,1.00000000,0.00,20
000999d0e861,0.0,210,1.00000000,0.00,20
000999d0e861,3.0,210,0.39777699,656.14,20
000999d0e861,4.0,210,0.69090707,7631.14,20
000999d0e861,5.0,210,0.75144772,18612.58,20
000999d0e861,6.0,210,0.77547318,34188.08,20
000999d0e861,7.0,210,0.79065226,54608.36,20
000999d0e861,8.0,210,0.79460042,81834.08,20
000999d0e861,9.0,210,0.79886549,116677.17,20
000999d0e861,10.0,210,0.81160093,156919.07,20
000999d0e861,11.0,210,0.88014221,184300.00,20
000999d0e861,12.0,210,0.99151989,184300.00,20
000999d0e861,13.0,210,1.00000000,184300.00,20
000999d0e861,14.0,210,1.00000000,184300.00,20
000999d0e861,16.0,210,1.00000000,184300.00,20
000999d0e861,18.0,210,1.00000000,184300.00,20
000999d0e861,20.0,210,1.00000000,184300.00,20
000999d0e861,22.0,210,1.00000000,184300.00,20
000999d0e861,25.0,210,1.00000000,184300.00,20
000999d0e861,30.0,210,1.00000000,0.00,20
000999d0e861,0.0,220,1.00000000,0.00,20
000999d0e861,3.0,220,0.25880445,656.14,20
000999d0e861,4.0,220,0.53856803,7631.14,20
000999d0e861,5.0,220,0.63346966,18612.58,20
000999d0e861,6.0,220,0.67156893,34188.08,20
000999d0e861,7.0,220,0.68863313,54608.36,20
000999d0e861,8.0,220,0.68986195,81834.08,20
000999d0e861,9.0,220,0.68826560,116677.17,20
000999d0e861,10.0,220,0.70108964,156919.07,20
