farm_id,year,P11_kWh,P10_kWh,P01_kWh,P00_kWh
76,2022,1504737006.0997202,1541513461.1,1531407367.2,1502686805.1
74,2022,2338102858.411475,2303713884.6,2197590648.3,2119520060.6
71,2022,2719844617.0046587,2705785079.5,2343879744.6,2527484153.0
8,2022,2247013657.7488194,2337177479.4,2247508087.5,2015919188.5
72,2022,2067294510.1388326,2115056950.6,2015889222.2,2034930317.7
70,2022,1564150723.2776847,1587840462.8,1521061459.7,1525349197.7
64,2022,848350798.1467117,847142534.6,910395661.6,948806832.8
66,2022,1789557405.9343078,1995961706.3,1936037119.0,2072308907.2
63,2022,1845919691.4896235,1912425789.2,1936151383.3,1879501653.0
52,2022,3871926798.615017,3884381811.8,3556407355.9,3625996341.5
57,2022,664331629.1715443,711835087.3,603965968.8,620540595.2
42,2022,4114562185.778101,4108758495.1,3928915625.9,3990757239.9
35,2022,2898207780.04548,2985048450.9,2877308692.3,2872533326.8
46,2022,5631912117.487315,5586345089.0,5451600464.6,5322920195.8
50,2022,2514929659.4090962,2523042120.7,2693884361.1,2619472380.8
45,2022,5401049358.479355,5423519183.2,5284739987.5,5217277004.4
37,2022,2606768541.834592,2624926698.6,2784716624.5,2814129160.4
38,2022,3677311744.425354,3683923176.5,3694561619.8,3623697301.8
6,2022,2907681678.636681,2982294375.2,2881544421.8,2896513822.9
34,2022,6666771170.433104,6560502456.2,6541924771.6,6429351416.2
21,2022,5476853052.098877,5430340492.1,5875723972.0,5007204012.1
32,2022,3732566476.176553,3676105342.0,3609130295.0,3215118078.6
28,2022,4395707324.837428,4413750921.3,4344228205.7,4246256608.7
14,2022,3945811076.673752,3977436457.5,3979215402.4,4028272036.5
24,2022,3487950330.4651384,3478418471.0,3621940224.3,3654897766.8
19,2022,4191262656.8250375,4117829040.8,4281353299.4,4222064828.4
12,2022,8717644268.079163,8482062960.1,8164529530.5,7418127338.4
4,2022,10852608997.516132,10503438789.7,10986501384.8,9663513587.5
3,2022,12993115531.620388,12949629214.2,13265448165.3,13118406318.0
1,2022,17075589079.648085,17043370016.9,17368185121.1,17306468503.8
0,2022,27178061979.953987,27142587280.3,28195264907.6,28047438395.6
168,2023,60691057.01439111,62705098.2,58778118.5,57204675.5
169,2023,81735190.32741314,83027467.3,80456446.9,80406734.8
165,2023,87788611.97713195,90150374.0,82424015.7,80300524.3
166,2023,111028058.08423467,112592297.3,111138953.0,110482549.3
159,2023,158258589.7205695,167182327.5,132503673.5,132493934.3
56,2023,226970801.38246837,239537140.9,216278466.8,221553612.5
147,2023,302135522.2416829,308752050.8,303266187.0,296928708.6
143,2023,330710435.53785896,336137986.5,306113905.1,312453366.0
145,2023,445800148.3696848,464179053.6,256292326.3,268524512.9
141,2023,384126253.5607151,376400781.8,350099922.4,323546192.0
133,2023,400523525.1920541,398979924.9,356464117.0,358057707.3
139,2023,485810467.3894012,498170118.7,465413102.9,464313732.6
119,2023,544105323.5141356,563404116.5,563581721.5,507341023.7
125,2023,1050822945.5576698,1047446130.6,1149632536.3,1058194895.4
135,2023,384934032.07355773,411994005.5,355723470.3,357494476.5
104,2023,728084936.4163523,746489427.5,773048407.1,768861267.5
131,2023,669674425.3765231,696609951.6,660588605.7,663619180.0
126,2023,712796469.3201863,720139930.6,639441097.8,584700084.5
130,2023,442103987.0240887,449049379.5,383400703.8,385521080.8
124,2023,1203803265.2195542,1223308803.7,1236733895.1,1285212019.0
118,2023,945340258.5292361,931944113.6,979927442.7,975948452.4
120,2023,772313096.5070775,793839314.0,739294058.7,761660846.3
114,2023,1139667061.715654,1147401922.1,1123722446.6,1113250077.1
62,2023,1155420562.794948,1129300007.9,1081194845.4,1192548250.7
115,2023,714508916.2606938,719177003.0,699145387.6,662861089.3
111,2023,867936082.49407,873381135.6,914293045.6,881035054.2
112,2023,765486963.9823328,768571151.3,687541813.4,644762552.3
108,2023,1038149495.4529691,1044873041.3,1067869839.9,1060068706.6
109,2023,1075415007.0783303,1078085061.7,1075152447.2,1066185859.4
110,2023,1008123248.5998136,1004135179.2,1022894228.0,945530843.4
107,2023,722150920.8272358,738177715.6,637074043.3,646977958.1
105,2023,935886431.9881554,964584564.7,976538456.2,885059797.0
79,2023,1152387370.0510266,1170485748.0,1077786179.3,1065964843.8
103,2023,1259087210.347857,1258672742.5,1333192484.3,1217291271.3
97,2023,1003373710.699057,1042583950.8,1015531201.2,997914591.6
101,2023,2082060260.197937,2093351214.0,2098877062.6,2209477896.3
98,2023,963693532.2197903,956062276.5,945307230.7,929488026.0
94,2023,1306431919.2016337,1318060805.9,1340846806.4,1344027147.1
85,2023,1665753299.4599748,1632522096.6,1763250434.3,1607801612.7
