farm_id,year,config_hash
55,2018,3c1a3d551e0b
55,2019,3c1a3d551e0b
55,2020,3c1a3d551e0b
55,2021,3c1a3d551e0b
55,2022,3c1a3d551e0b
55,2023,3c1a3d551e0b
55,2024,3c1a3d551e0b
56,2023,e0569e97f23b
56,2024,30a2f1a70be3
57,2014,c6e4ae35a78c
57,2015,c6e4ae35a78c
57,2016,53153541afd4
57,2017,53153541afd4
57,2018,6f1f57985309
57,2019,7d48c63c17f1
57,2020,7d48c63c17f1
57,2021,73795ddf7fdf
57,2022,73795ddf7fdf
57,2023,bbb18660a120
57,2024,3581e0f8e99d
58,2018,785792278d9d
58,2019,785792278d9d
58,2020,785792278d9d
58,2021,785792278d9d
58,2022,4e877eed3fc6
58,2023,4e877eed3fc6
58,2024,4e877eed3fc6
59,2014,c35512db297c
59,2015,c35512db297c
59,2016,b80b19da52cc
59,2017,b80b19da52cc
59,2018,b80b19da52cc
59,2019,b80b19da52cc
59,2020,b80b19da52cc
59,2021,b80b19da52cc
59,2022,b80b19da52cc
59,2023,b80b19da52cc
59,2024,b80b19da52cc
60,2014,5b049818ecef
60,2015,5b049818ecef
60,2016,5b049818ecef
60,2017,5b049818ecef
60,2018,5b049818ecef
60,2019,5b049818ecef
60,2020,5b049818ecef
60,2021,5b049818ecef
60,2022,5b049818ecef
60,2023,5b049818ecef
60,2024,5b049818ecef
61,2014,49e70c083864
61,2015,49e70c083864
61,2016,49e70c083864
61,2017,49e70c083864
61,2018,49e70c083864
61,2019,49e70c083864
61,2020,49e70c083864
61,2021,49e70c083864
61,2022,49e70c083864
61,2023,49e70c083864
61,2024,49e70c083864
62,2021,23df39730c1a
62,2022,ccfd07116e9f
62,2023,2a4cbbeaaf0b
62,2024,e5b8ee9cddc8
63,2016,9aab1b00bdb7
63,2017,10ca91c0b92c
63,2018,9510c41a160c
63,2019,d66994fdfe00
63,2020,65f4543fc1b6
63,2021,65f4543fc1b6
63,2022,65f4543fc1b6
63,2023,65f4543fc1b6
63,2024,65f4543fc1b6
64,2021,b551ab968afa
64,2022,f7fb2096ac76
64,2023,69df3d0e98e8
64,2024,69df3d0e98e8
65,2016,ae670798c297
65,2017,ae670798c297
65,2018,ae670798c297
65,2019,ae670798c297
65,2020,ae670798c297
65,2021,ae670798c297
65,2022,ae670798c297
65,2023,ae670798c297
65,2024,ae670798c297
66,2020,fb31e32a4a4d
66,2021,569dc9edc99b
66,2022,569dc9edc99b
66,2023,569dc9edc99b
66,2024,569dc9edc99b
67,2014,f62a2209df15
67,2015,f62a2209df15
67,2016,f62a2209df15
67,2017,f62a2209df15
67,2018,f62a2209df15
67,2019,f62a2209df15
67,2020,f62a2209df15
67,2021,f62a2209df15
67,2022,f62a2209df15
67,2023,f62a2209df15
67,2024,f62a2209df15
68,2014,3ee007895ca5
68,2015,3ee007895ca5
68,2016,3ebb5e116d89
68,2017,97968c9151a8
68,2018,97968c9151a8
68,2019,97968c9151a8
68,2020,97968c9151a8
68,2021,97968c9151a8
68,2022,97968c9151a8
68,2023,97968c9151a8
68,2024,97968c9151a8
69,2023,57378794a61d
69,2024,2b84a5807b39
70,2022,b420a7c6e6d5
70,2023,b420a7c6e6d5
70,2024,b420a7c6e6d5
71,2016,6f25da2ce99d
71,2017,6f25da2ce99d
71,2018,6f25da2ce99d
71,2019,306449d3970e
71,2020,306449d3970e
71,2021,306449d3970e
71,2022,cb9b584fb5e8
71,2023,d364fe15a19d
71,2024,d364fe15a19d
72,2018,033041a4a206
72,2019,062d4109c21b
72,2020,062d4109c21b
72,2021,47fcdc4bf8ad
72,2022,47fcdc4bf8ad
72,2023,47fcdc4bf8ad
72,2024,47fcdc4bf8ad
73,2017,4e70dcd5dd75
73,2018,4e70dcd5dd75
73,2019,4e70dcd5dd75
73,2020,4e70dcd5dd75
73,2021,4e70dcd5dd75
73,2022,4e70dcd5dd75
73,2023,4e70dcd5dd75
73,2024,4e70dcd5dd75
74,2017,7f2f5e570a92
74,2018,869350599b9b
74,2019,944f269e9ff2
74,2020,944f269e9ff2
74,2021,944f269e9ff2
74,2022,944f269e9ff2
74,2023,944f269e9ff2
74,2024,944f269e9ff2
75,2023,a65b1927cd51
75,2024,a65b1927cd51
76,2022,046c01041722
76,2023,046c01041722
76,2024,046c01041722
77,2024,80f447a103ba
78,2020,822a0c23eb6f
78,2021,d831bcc12349
78,2022,59ee03ee0b10
78,2023,59ee03ee0b10
78,2024,59ee03ee0b10
79,2023,9c813e661c04
79,2024,b5da0803d650
80,2017,009b22c5e82d
80,2018,54f0059b7a59
80,2019,54f0059b7a59
80,2020,54f0059b7a59
80,2021,54f0059b7a59
80,2022,54f0059b7a59
80,2023,54f0059b7a59
80,2024,54f0059b7a59
81,2017,07fdc6e8132b
81,2018,995ecf7c1091
81,2019,3e972ff8a77c
81,2020,bc2c31ba75c0
81,2021,a5e5b1012947
81,2022,a5e5b1012947
81,2023,a5e5b1012947
81,2024,a5e5b1012947
82,2021,4910dde6433f
82,2022,4910dde6433f
82,2023,4910dde6433f
82,2024,4910dde6433f
83,2014,5f630654e04b
83,2015,5f630654e04b
