farm_id,n_years,G_mean,M_S_rms,M_D_rms,R_i,H_i,country,region
108,3,-0.1556075298233697,6.754530708753992,2.932786082768823,-0.023037504237222516,0,China,Europe
109,7,0.46976257294455875,9.652011959485689,2.6069547010096104,0.04866991202625802,0,China,Europe
110,3,1.4693223374819986,6.466548902333925,4.002744599023568,0.2272189323352502,0,China,Europe
111,5,2.3677831894519628,5.077061000268723,2.043656571030621,0.4663688676040407,0,China,Europe
112,5,0.740149682039027,8.024123879607574,4.178476695816751,0.09224056023362698,0,Vietnam,Europe
113,7,0.03937984397973514,4.786803277843044,2.4370877934497126,0.008226752112838003,0,Netherlands,Europe
114,2,0.7947635117002094,2.787150867102154,3.1060624841169266,0.2851526700908508,0,China,Europe
115,5,0.8998011167424904,8.058687804250656,3.9988905812533075,0.11165603366194171,0,Vietnam,Europe
116,7,0.1262500586864451,4.182429930591422,1.5257472908936596,0.030185815609968282,0,United Kingdom,Europe
117,2,-0.2510865497437298,5.20490297692967,0.27838670436948454,-0.048240390043128856,0,United States of America,Europe
118,4,0.0,3.4982285047874697,3.1522581395456113,0.0,0,China,Europe
119,4,0.7030113344534576,6.0202793842710625,4.711907407153203,0.11677387203826231,0,China,Europe
120,4,0.6841857749851241,4.107150233714464,1.6628740063431688,0.16658406341429435,0,China,Europe
121,7,2.0362973977582257,2.5877941070800463,1.835987110125846,0.7868853987212664,0,Germany,Europe
122,7,2.5029628611490935,3.743221747705168,1.9043774128522242,0.668665398378701,0,United Kingdom,Europe
123,7,2.1399845149223835,6.868633429068931,2.0644090014049943,0.3115589930692322,0,United Kingdom,Europe
124,7,0.23621336428463938,4.403109641395208,1.8476305107803621,0.053646941258040245,0,China,Europe
125,2,0.6741413843661941,1.316410404244433,0.3725148486648977,0.5121057856976786,0,China,Europe
126,4,5.213772027728837,7.745479577369723,3.8071048101998874,0.6731374055858493,0,Vietnam,Europe
127,3,1.076584904652166,2.249712065359347,1.2701616621213492,0.4785434195020877,0,Sweden,Europe
128,7,0.5287710424078792,5.992012357946755,1.7179516611276657,0.08824598662694845,0,United Kingdom,Europe
129,2,-0.002390903042473469,4.612312326274831,0.5316962976058115,-0.0005183740547779642,0,United Kingdom,Europe
130,5,1.1554058173447992,9.14811538629157,3.4983728384475676,0.12629987364131548,0,Vietnam,Europe
131,7,0.084381936008786,10.39129578178301,2.127180752460475,0.008120444050559705,0,China,Europe
132,1,-1.7286734245316988,2.1666164924001,1.3475527240881218,-0.7978677493665417,0,China,Europe
133,4,0.09811513184810458,9.11617272411036,3.369213417804234,0.01076275481141452,0,Vietnam,Europe
134,2,4.85216034824299,7.22780984656195,1.5065502972834512,0.6713182072092025,0,Netherlands,Europe
135,7,-0.6527202844601646,4.766699777664523,2.1530877311276626,-0.1369333742222736,0,Japan,Europe
136,2,-0.40906479534988344,2.402428634590165,0.6391053347687415,-0.17027136184616223,0,Denmark,Europe
137,7,1.4559472385198629,3.8275564276251237,1.639009621052959,0.3803855713299651,0,Germany,Europe
138,1,0.0806343395418683,2.170493863119879,0.10803551185111952,0.0371502269193077,0,United States of America,Europe
139,7,0.0,5.311618859582875,3.5193399695290135,0.0,0,South Korea,Europe
140,2,-0.2586904693977713,1.8999676856900023,0.6519580067168244,-0.1361551942941724,0,Denmark,Europe
141,4,3.2382505370000736,9.00404596606522,3.577862064040068,0.35964393664853683,0,Vietnam,Europe
142,7,0.17032267706289828,2.8932039465158375,2.4227485966177973,0.05886991729981934,0,Germany,Europe
143,4,0.49929646920369797,7.829509715902552,3.5027892016634246,0.06377110283030554,0,Vietnam,Europe
144,7,-0.9380619425934642,5.162685052931401,1.561814564031722,-0.18170040065892212,0,Sweden,Europe
145,2,0.5371783815205632,2.5023354443875045,1.8894596003583377,0.21467081191108975,0,Japan,Europe
146,2,-0.24180729829684566,5.275930284249265,0.5308868853900476,-0.04583216329046954,0,United States of America,Europe
147,7,-0.8172908512264865,4.78324173206267,1.2844136855564408,-0.1708654709520707,0,China,Europe
148,7,0.30657432251702016,4.461008394013641,2.5072757055074715,0.0687230992276144,0,Finland,Europe
149,7,0.0,7.183925765507828,2.8450363975175157,0.0,0,Sweden,Europe
150,7,1.3744374739188114,5.221443800544107,1.2634229626128157,0.2632293914138435,0,United Kingdom,Europe
151,1,0.0,3.874689748720986,1.6221843700187653,0.0,0,South Korea,Europe
152,7,0.0,3.661597086621152,1.5814329541701533,0.0,0,Denmark,Europe
153,7,-0.4883154505641533,5.955223999771649,2.2604531369338403,-0.08199783090995026,0,Denmark,Europe
154,7,-0.2183890112665335,4.334489273568235,2.1216858901100677,-0.050384023926018734,0,Denmark,Europe
155,4,9.567684655317185,5.93268147621201,2.525990507266234,1.6127082995573374,1,Italy,Europe
156,1,0.06270599483968875,3.7693480291694588,0.2679618017906627,0.016635766810183732,0,United States of America,Europe
157,7,6.116888249487839,4.195605052553738,1.738083237606415,1.4579275629779962,1,Denmark,US_East
158,7,2.723238356527326,6.225285542753189,1.3988336332254412,0.43744794320277064,0,Ireland,Europe
159,4,5.173673507882217,8.370567386079161,2.9311842824403085,0.6180791897675177,0,Vietnam,East_Asia
160,7,2.5258706467915206,3.5130790679888984,0.4383941916159822,0.7189905487204089,0,United States of America,
161,4,0.8957575691201699,6.3426655244472965,1.6370616535549702,0.1412273066690249,0,United Kingdom,
162,7,0.33521563784523734,4.974379186350975,1.331260082119632,0.06738843688575727,0,United Kingdom,East_Asia
163,7,1.0600959219646182,7.077044745352518,1.7090269016778386,0.14979358759329325,0,Sweden,Europe
164,7,-0.030918888138603547,4.8531187972631615,1.3562492232690244,-0.0063709316483329765,0,United Kingdom,Europe
165,7,1.4428764051811593,6.188107435148732,1.7375915251213978,0.2331692557542805,0,China,Europe
166,3,0.6557850338580752,5.370029969738789,1.8614846758292,0.1221194364935684,0,Japan,Europe
167,2,0.0,3.379872532835325,1.5197221150805604,0.0,0,France,Europe
