farm_id,ws_bin_m_s,wd_weighted_efficiency,energy_share,wakeloss_pct
155,3.0,0.472687,0.227343,52.7313
155,4.0,0.653637,0.227343,34.6363
155,5.0,0.690778,0.227343,30.9222
155,6.0,0.71074,0.179702,28.926
155,7.0,0.725808,0.179702,27.4192
155,8.0,0.733932,0.128685,26.6068
155,9.0,0.743455,0.128685,25.6545
155,10.0,0.763063,0.07639,23.6937
155,11.0,0.825641,0.07639,17.4359
155,12.0,0.933193,0.050926,6.6807
155,13.0,0.985413,0.050926,1.4587
155,14.0,0.996727,0.050926,0.3273
155,16.0,1.0,0.015059,0.0
155,18.0,1.0,0.015059,0.0
155,20.0,1.0,0.001734,0.0
155,22.0,1.0,0.001734,0.0
155,25.0,1.0,0.001734,0.0
155,30.0,1.0,0.0,0.0
138,0.0,1.0,0.072739,0.0
138,3.0,0.771262,0.131058,22.8738
138,4.0,0.954641,0.131058,4.5359
138,5.0,0.963455,0.131058,3.6545
138,6.0,0.966391,0.176599,3.3609
138,7.0,0.968162,0.176599,3.1838
138,8.0,0.967915,0.191202,3.2085
138,9.0,0.968338,0.191202,3.1662
138,10.0,0.970376,0.156156,2.9624
138,11.0,0.988068,0.156156,1.1932
138,12.0,0.998598,0.159807,0.1402
138,13.0,1.0,0.159807,0.0
138,14.0,1.0,0.159807,0.0
138,16.0,1.0,0.086429,0.0
138,18.0,1.0,0.086429,0.0
138,20.0,1.0,0.025189,0.0
138,22.0,1.0,0.025189,0.0
138,25.0,1.0,0.025189,0.0
138,30.0,1.0,0.000821,0.0
151,0.0,1.0,0.134526,0.0
151,3.0,0.641404,0.191567,35.8596
151,4.0,0.902005,0.191567,9.7995
151,5.0,0.919438,0.191567,8.0562
151,6.0,0.936358,0.211828,6.3642
151,7.0,0.939638,0.211828,6.0362
151,8.0,0.945248,0.179794,5.4752
151,9.0,0.94641,0.179794,5.359
151,10.0,0.954802,0.135712,4.5198
151,11.0,0.982113,0.135712,1.7887
151,12.0,0.997835,0.107329,0.2165
151,13.0,0.999655,0.107329,0.0345
151,14.0,1.0,0.107329,0.0
151,16.0,1.0,0.035867,0.0
151,18.0,1.0,0.035867,0.0
151,20.0,1.0,0.003286,0.0
151,22.0,1.0,0.003286,0.0
151,25.0,1.0,0.003286,0.0
151,30.0,1.0,9.1e-05,0.0
152,0.0,1.0,0.07137,0.0
152,3.0,0.548774,0.120015,45.1226
152,4.0,0.759434,0.120015,24.0566
152,5.0,0.79109,0.120015,20.891
152,6.0,0.814549,0.169024,18.5451
152,7.0,0.823832,0.169024,17.6168
152,8.0,0.841258,0.188829,15.8742
152,9.0,0.845478,0.188829,15.4522
152,10.0,0.863441,0.175322,13.6559
152,11.0,0.908779,0.175322,9.1221
152,12.0,0.968682,0.169937,3.1318
152,13.0,0.986,0.169937,1.4
152,14.0,0.991463,0.169937,0.8537
152,16.0,0.99998,0.086155,0.002
152,18.0,1.0,0.086155,0.0
152,20.0,1.0,0.018436,0.0
152,22.0,1.0,0.018436,0.0
152,25.0,1.0,0.018436,0.0
152,30.0,1.0,0.000913,0.0
153,0.0,1.0,0.10021,0.0
153,3.0,0.273444,0.153966,72.6556
153,4.0,0.394196,0.153966,60.5804
153,5.0,0.428752,0.153966,57.1248
153,6.0,0.46916,0.188373,53.084
153,7.0,0.493457,0.188373,50.6543
153,8.0,0.51283,0.203523,48.717
153,9.0,0.526395,0.203523,47.3605
153,10.0,0.55769,0.164005,44.231
153,11.0,0.636218,0.164005,36.3782
153,12.0,0.784158,0.137173,21.5842
153,13.0,0.904141,0.137173,9.5859
153,14.0,0.96102,0.137173,3.898
153,16.0,0.996406,0.046181,0.3594
153,18.0,1.0,0.046181,0.0
153,20.0,1.0,0.006571,0.0
153,22.0,1.0,0.006571,0.0
153,25.0,1.0,0.006571,0.0
153,30.0,1.0,0.0,0.0
154,0.0,1.0,0.095555,0.0
154,3.0,0.61806,0.132883,38.194
154,4.0,0.753852,0.132883,24.6148
154,5.0,0.776077,0.132883,22.3923
154,6.0,0.80549,0.160172,19.451
154,7.0,0.816067,0.160172,18.3933
154,8.0,0.82866,0.177877,17.134
154,9.0,0.832081,0.177877,16.7919
154,10.0,0.846133,0.166743,15.3867
154,11.0,0.878428,0.166743,12.1572
154,12.0,0.92819,0.163092,7.181
154,13.0,0.947058,0.163092,5.2942
154,14.0,0.962721,0.163092,3.7279
154,16.0,0.983547,0.084512,1.6453
154,18.0,0.998515,0.084512,0.1485
154,20.0,1.0,0.018892,0.0
154,22.0,1.0,0.018892,0.0
154,25.0,1.0,0.018892,0.0
154,30.0,1.0,0.000274,0.0
148,0.0,1.0,0.090262,0.0
148,3.0,0.500502,0.166834,49.9498
148,4.0,0.724165,0.166834,27.5835
148,5.0,0.763528,0.166834,23.6472
148,6.0,0.786763,0.207995,21.3237
148,7.0,0.79875,0.207995,20.125
148,8.0,0.800053,0.198595,19.9947
148,9.0,0.805806,0.198595,19.4194
148,10.0,0.816778,0.152688,18.3222
148,11.0,0.872739,0.152688,12.7261
148,12.0,0.960896,0.127498,3.9104
148,13.0,0.993372,0.127498,0.6628
148,14.0,0.999941,0.127498,0.0059
148,16.0,1.0,0.049466,0.0
148,18.0,1.0,0.049466,0.0
148,20.0,1.0,0.006571,0.0
148,22.0,1.0,0.006571,0.0
148,25.0,1.0,0.006571,0.0
148,30.0,1.0,9.1e-05,0.0
149,0.0,1.0,0.109975,0.0
149,3.0,0.493075,0.180615,50.6925
149,4.0,0.653585,0.180615,34.6415
149,5.0,0.68116,0.180615,31.884
149,6.0,0.718642,0.228986,28.1358
149,7.0,0.731357,0.228986,26.8643
149,8.0,0.75538,0.209364,24.462
149,9.0,0.763292,0.209364,23.6708
149,10.0,0.797733,0.143561,20.2267
149,11.0,0.860054,0.143561,13.9946
149,12.0,0.94606,0.094916,5.394
149,13.0,0.967417,0.094916,3.2583
149,14.0,0.978588,0.094916,2.1412
149,16.0,0.993083,0.029753,0.6917
149,18.0,1.0,0.029753,0.0
149,20.0,1.0,0.002738,0.0
149,22.0,1.0,0.002738,0.0
149,25.0,1.0,0.002738,0.0
149,30.0,1.0,9.1e-05,0.0
150,0.0,1.0,0.087615,0.0
150,3.0,0.550365,0.144748,44.9635
150,4.0,0.781717,0.144748,21.8283
150,5.0,0.81365,0.144748,18.635
150,6.0,0.821673,0.168659,17.8327
150,7.0,0.831398,0.168659,16.8602
150,8.0,0.833095,0.18673,16.6905
150,9.0,0.837289,0.18673,16.2711
150,10.0,0.847152,0.158985,15.2848
150,11.0,0.897642,0.158985,10.2358
150,12.0,0.971313,0.15935,2.8687
150,13.0,0.99567,0.15935,0.433
150,14.0,0.999963,0.15935,0.0037
150,16.0,1.0,0.076024,0.0
150,18.0,1.0,0.076024,0.0
150,20.0,1.0,0.017706,0.0
150,22.0,1.0,0.017706,0.0
150,25.0,1.0,0.017706,0.0
150,30.0,1.0,0.000183,0.0
146,0.0,1.0,0.074929,0.0
146,3.0,0.660299,0.130875,33.9701
146,4.0,0.91942,0.130875,8.058
146,5.0,0.935182,0.130875,6.4818
146,6.0,0.942282,0.176508,5.7718
146,7.0,0.945457,0.176508,5.4543
146,8.0,0.945327,0.191202,5.4673
146,9.0,0.946386,0.191202,5.3614
146,10.0,0.951349,0.157251,4.8651
146,11.0,0.979039,0.157251,2.0961
146,12.0,0.997326,0.160537,0.2674
146,13.0,1.0,0.160537,0.0
146,14.0,1.0,0.160537,0.0
146,16.0,1.0,0.082687,0.0
146,18.0,1.0,0.082687,0.0
146,20.0,1.0,0.025281,0.0
146,22.0,1.0,0.025281,0.0
146,25.0,1.0,0.025281,0.0
146,30.0,1.0,0.00073,0.0
147,0.0,1.0,0.121566,0.0
147,3.0,0.750281,0.212741,24.9719
147,4.0,0.89006,0.212741,10.994
147,5.0,0.904672,0.212741,9.5328
147,6.0,0.914677,0.254632,8.5323
147,7.0,0.91944,0.254632,8.056
147,8.0,0.918913,0.211919,8.1087
147,9.0,0.92025,0.211919,7.975
147,10.0,0.928163,0.118281,7.1837
147,11.0,0.94844,0.118281,5.156
147,12.0,0.976288,0.066533,2.3712
147,13.0,0.98468,0.066533,1.532
147,14.0,0.990122,0.066533,0.9878
147,16.0,1.0,0.013781,0.0
