farm_id,A_built_S_A,A_fixed_S_A,A_C0_S_A,A_C1_S_A,A_C2_S_A,A_C3_S_A,A_built_S_B0,A_fixed_S_B0,A_C0_S_B0,A_C1_S_B0,A_C2_S_B0,A_C3_S_B0,A_built_S_B45,A_fixed_S_B45,A_C0_S_B45,A_C1_S_B45,A_C2_S_B45,A_C3_S_B45,A_built_S_C,A_fixed_S_C,A_C0_S_C,A_C1_S_C,A_C2_S_C,A_C3_S_C,A_built_S_D,A_fixed_S_D,A_C0_S_D,A_C1_S_D,A_C2_S_D,A_C3_S_D,A_built_S_E,A_fixed_S_E,A_C0_S_E,A_C1_S_E,A_C2_S_E,A_C3_S_E
20,0.24006353926935955,0.24006353926934623,0.24006353926935955,0.19506824613549273,0.28412497416318006,-2.6581535508022378e-14,0.40550330748715374,0.40550330748715374,0.40550330748715374,0.33379557808026505,0.43477829662550316,1.6442435866737053e-14,0.40550871474815725,0.40550871474817374,0.40550871474815725,0.33379301811583006,0.43477532274313585,1.644238691488349e-14,0.4435996278806184,0.4435996278806184,0.4435996278806184,0.34179687376568707,0.4452855959933099,-2.8880027482198953e-14,0.6064238134799037,0.6064238134799037,0.6064238134799037,0.5329911507899437,0.72180218825876,0.0,0.2047705399919723,0.20477053999195913,0.2047705399919723,0.1755776284453618,0.26749941021552015,0.0
21,0.7905460347857161,0.7905460347857322,0.7905460347857161,0.7282152927805426,0.873146671554965,0.0,3.9666300105065937,3.9666300105065937,3.9666300105065937,3.328117334874211,3.4442789784955115,-2.112355183428544e-14,3.966630144991636,3.9666301449916577,3.966630144991636,3.3281136200467842,3.4442740903194147,2.1123505291573056e-14,2.6324553816923912,2.632455381692373,2.6324553816923912,2.239604529305783,2.4791126574777054,3.570263940034396e-14,4.239897813672215,4.239897813672215,4.239897813672215,3.3122251028945087,3.5949856113337986,3.884791688565027e-14,0.48009787834393225,0.48009787834393225,0.48009787834393225,0.4472763962930629,0.5412275354993948,1.584296878237255e-14
22,0.24792408828536414,0.24792408828536414,0.24792408828536414,0.2142735374923579,0.2411144286338187,1.5013396577143883e-14,0.7023145794078804,0.7023145794078804,0.7023145794078804,0.5285656833964735,0.5555462719700399,-1.968053266254332e-14,0.70229630664816,0.70229630664816,0.70229630664816,0.528567372682143,0.5555476401782421,-1.9680460056042484e-14,0.5717082172141252,0.5717082172141085,0.5717082172141252,0.42553364895913387,0.45259140292211086,1.6679487195882006e-14,0.7176076894416543,0.7176076894416543,0.7176076894416543,0.6095501395542657,0.697327315993263,-3.6256638122973906e-14,0.24367754713032394,0.24367754713032394,0.24367754713032394,0.23395718004661964,0.2797964438100968,0.0
23,0.24470722193771327,0.24470722193769964,0.24470722193771327,0.19969719365748317,0.28134625733802426,0.0,0.3339047853435656,0.3339047853435656,0.3339047853435656,0.2728129463756648,0.3457848765449837,1.6924873652115242e-14,0.33389655230833687,0.33389655230833687,0.33389655230833687,0.2728197718782482,0.34579190906264895,1.6924823697642023e-14,0.42925565080049566,0.42925565080049566,0.42925565080049566,0.31835407194269655,0.4018369813308807,1.4797557281993586e-14,0.6340433378300968,0.6340433378300968,0.6340433378300968,0.5410116660672094,0.7157516154992979,1.5838729530497214e-14,0.2110214723296915,0.21102147232963767,0.2110214723296915,0.18027373568453245,0.2646453140515309,-1.3448143037016093e-14
24,0.38339344923338303,0.38339344923338303,0.38339344923338303,0.2706405094634324,0.2071885943810476,0.0,1.180820653635798,1.180820653635798,1.180820653635798,0.7399657396460422,0.5556332542696056,0.0,1.1808231599256336,1.180823159925597,1.1808231599256336,0.7399698237107709,0.5556360720736336,-1.831488744408048e-14,0.9215966476303307,0.9215966476303307,0.9215966476303307,0.5584178295515838,0.4294185334930907,0.0,1.5780530332704816,1.5780530332704816,1.5780530332704816,0.9125519174066131,0.6903169463375508,-1.6146506272966302e-14,0.35617364552046926,0.35617364552046926,0.35617364552046926,0.2511191548448874,0.19042618770982855,2.3622271415625882e-14
25,0.19584702541431526,0.19584702541431526,0.19584702541431526,0.1735187372136571,0.219169523446682,0.0,0.74248647781225,0.74248647781225,0.74248647781225,0.5772273130452084,0.698802872457174,1.759079591260178e-14,0.742506876924833,0.7425068769248153,0.742506876924833,0.5772368831716579,0.6988192385216038,0.0,0.49704766714832543,0.4970476671483101,0.49704766714832543,0.40615162327870946,0.5202083287283559,0.0,0.6541335633901489,0.6541335633901489,0.6541335633901489,0.6906204443689686,0.8871030335857387,0.0,0.22223902798909664,0.22223902798911047,0.22223902798909664,0.21884669895229142,0.3027530055271413,0.0
26,0.24243628574546766,0.24243628574546766,0.24243628574546766,0.2055083799302819,0.26382785905323336,0.0,0.8307964051781762,0.8307964051781762,0.8307964051781762,0.7010107616957009,0.8063369563340738,1.853115719324512e-14,0.830758756741461,0.830758756741461,0.830758756741461,0.7009931811247259,0.8063195334704912,1.8531097790550007e-14,0.5941910410630121,0.5941910410630442,0.5941910410630121,0.5497410242943015,0.6707720707312522,-1.5960464406825787e-14,0.8900295555868283,0.8900295555868283,0.8900295555868283,0.6870862770093896,0.8158631244396122,-1.7211387101483323e-14,0.1915808085810334,0.19158080858100465,0.1915808085810334,0.15699244232030982,0.2063287339187859,1.434785528016838e-14
27,0.2479275224567558,0.2479275224567558,0.2479275224567558,0.21289325352483537,0.3163519430178019,0.0,0.7435404854624351,0.7435404854624351,0.7435404854624351,0.5373073743956556,0.7076392560323788,1.6147400136252573e-14,0.743596061034885,0.7435960610348686,0.743596061034885,0.5373117081782405,0.707643475351501,-1.614735346553709e-14,0.6040724169578272,0.6040724169578415,0.6040724169578272,0.46934701733306444,0.631921706985655,-1.4220492947013006e-14,0.8447813540844903,0.8447813540844903,0.8447813540844903,0.6821978989963192,0.9201793512848639,0.0,0.2189425486443186,0.21894254864429255,0.2189425486443186,0.1948706416606451,0.3051778607606193,1.3002688950196141e-14
28,0.33314820511197585,0.33314820511199494,0.33314820511197585,0.2255799488445485,0.2108262373595045,-3.797907696560265e-14,1.1269427757178132,1.1269427757178132,1.1269427757178132,0.6673745398114314,0.5946571509855915,0.0,1.1269418661068251,1.1269418661068118,1.1269418661068251,0.6673784858342918,0.5946617788058968,1.3297356980129719e-14,0.6809398362738541,0.6809398362738325,0.6809398362738541,0.41051652348890433,0.3764721423981838,-2.169583773483876e-14,1.0548401791686406,1.0548401791686406,1.0548401791686406,0.6938511075505659,0.637727204121349,1.2016127219697037e-14,0.35645980896880136,0.35645980896880136,0.35645980896880136,0.27897329228222184,0.2657603310432729,0.0
29,0.21808802041436232,0.21808802041436232,0.21808802041436232,0.1593701034900552,0.21416972895075212,-1.3975813642596238e-14,0.549185950208637,0.549185950208637,0.549185950208637,0.5983768040055858,0.6957451349019483,-3.550491250074811e-14,0.5492072402310545,0.5492072402310189,0.5492072402310545,0.5984078113948964,0.6957946901991833,-1.7752503549414677e-14,0.41440351000737646,0.4144035100073611,0.41440351000737646,0.4369586092923854,0.5527015560864083,0.0,0.7469765238843663,0.7469765238843663,0.7469765238843663,0.7735893322657574,0.9532982986345399,-1.6509918247778398e-14,0.23581171147126503,0.23581171147126503,0.23581171147126503,0.20985601755011893,0.2848878613194451,-1.383337025776741e-14
30,0.1738402623725251,0.17384026237255507,0.1738402623725251,0.1524257205955474,0.18109179616284138,-1.4968088852467374e-14,0.5443415971098982,0.5443415971098982,0.5443415971098982,0.4205108915115883,0.4566682407208981,1.9479436931509244e-14,0.5443866290904219,0.5443866290904024,0.5443866290904219,0.4205107458770282,0.45666804507577374,1.9479369461578444e-14,0.3723802532860655,0.37238025328608215,0.3723802532860655,0.3443684027485827,0.39216874201246726,-3.3184875692141576e-14,0.7811439795039335,0.7811439795039335,0.7811439795039335,0.609785338893098,0.6874118626740534,0.0,0.1639727869916232,0.16397278699163803,0.1639727869916232,0.14934099174713056,0.1821016127096851,0.0
31,0.20210083988791477,0.20210083988792918,0.20210083988791477,0.1669236140462512,0.22117373465013293,0.0,0.5083787920405248,0.5083787920405248,0.5083787920405248,0.36681918540084385,0.4639297276576798,3.626096530542031e-14,0.5083268258128716,0.5083268258128898,0.5083268258128716,0.3668041608315456,0.46391374168914457,-1.8130428367742997e-14,0.36825537654328866,0.3682553765432729,0.36825537654328866,0.2730338488177358,0.3374939216759773,1.5746963283549404e-14,0.6314728530490257,0.6314728530490257,0.6314728530490257,0.5639006317519522,0.726763687400011,0.0,0.1706369116227231,0.17063691162273734,0.1706369116227231,0.14445025069443146,0.1971453910975185,-1.4220179778606563e-14
32,0.718251438552189,0.7182514385522119,0.718251438552189,0.5324874170049111,0.38772417236680684,0.0,4.938974489286446,4.938974489286446,4.938974489286446,2.5873177203824205,1.828552369170702,-1.759065519833293e-14,4.938956373850158,4.938956373850139,4.938956373850158,2.587250954228515,1.828490017529225,-1.7590573056159628e-14,2.6428371576942347,2.642837157694249,2.6428371576942347,1.508665687926618,1.0861657564506715,0.0,5.542088315548978,5.542088315548978,5.542088315548978,3.338562199454897,2.387539507100128,3.080820025498016e-14,0.669592148290398,0.669592148290398,0.669592148290398,0.537871346169222,0.3928272876125329,0.0
33,0.7378831792428121,0.7378831792427895,0.7378831792428121,0.5466604063313771,0.4241341285181062,-1.1217347595940332e-14,3.5628527362701914,3.5628527362701914,3.5628527362701914,1.9705018906737262,1.4712187314145146,-3.396197560738769e-14,3.5630531845348203,3.5630531845347853,3.5630531845348203,1.9706517705178328,1.4713116288918857,1.6981105203807084e-14,2.3022339030552086,2.3022339030552086,2.3022339030552086,1.4959101448119225,1.1562222245725473,0.0,4.024225553578635,4.024225553578635,4.024225553578635,2.4643723007041793,1.8722342532598775,1.4977550761470038e-14,0.6866939264588557,0.6866939264588335,0.6866939264588557,0.5071526567491599,0.39305327714483385,4.404259157427173e-14
