farm_id,year,n_turb,centroid_lon,centroid_lat,pc1_angle,pc1_share,aspect_ratio,spacing_d,ce_r,layout_type
9,2024,267,-3.5107,54.0305,-31.5,0.7344,1.58,4.17,1.453,cluster
10,2014,2,-3.0778,58.0984,0.0,0.0,0.0,4.68,,sparse
10,2015,2,-3.0778,58.0984,0.0,0.0,0.0,4.68,,sparse
10,2016,2,-3.0778,58.0984,0.0,0.0,0.0,4.68,,sparse
10,2017,2,-3.0778,58.0984,0.0,0.0,0.0,4.68,,sparse
10,2018,46,-2.9214,58.2281,45.2,0.8916,4.2,6.29,1.376,belt
10,2019,88,-2.885,58.2517,37.3,0.7689,1.3,7.28,1.172,multi_cluster
10,2020,88,-2.885,58.2517,37.3,0.7689,1.3,7.28,1.172,multi_cluster
10,2021,186,-2.8002,58.2158,-15.6,0.6764,1.33,6.02,1.173,multi_cluster
10,2022,186,-2.8002,58.2158,-15.6,0.6764,1.33,6.02,1.173,multi_cluster
10,2023,187,-2.8011,58.2153,-14.7,0.6727,1.35,6.17,1.206,cluster
10,2024,246,-2.8564,58.1844,26.7,0.7725,2.04,6.16,1.249,cluster
11,2014,208,7.6974,54.454,82.7,0.7999,1.77,3.59,1.398,cluster
11,2015,208,7.6974,54.454,82.7,0.7999,1.77,3.59,1.398,cluster
11,2016,208,7.6974,54.454,82.7,0.7999,1.77,3.59,1.398,cluster
11,2017,208,7.6974,54.454,82.7,0.7999,1.77,3.59,1.398,cluster
11,2018,208,7.6974,54.454,82.7,0.7999,1.77,3.59,1.398,cluster
11,2019,208,7.6974,54.454,82.7,0.7999,1.77,3.59,1.398,cluster
11,2020,208,7.6974,54.454,82.7,0.7999,1.77,3.59,1.398,cluster
11,2021,208,7.6974,54.454,82.7,0.7999,1.77,3.59,1.398,cluster
11,2022,246,7.6964,54.4594,83.4,0.786,1.79,3.48,1.474,cluster
11,2023,246,7.6964,54.4594,83.4,0.786,1.79,3.48,1.474,cluster
11,2024,246,7.6964,54.4594,83.4,0.786,1.79,3.48,1.474,cluster
12,2021,53,116.2571,22.6514,43.9,0.7959,1.78,2.53,1.149,multi_cluster
12,2022,239,116.2175,22.632,24.9,0.9706,5.74,2.77,1.056,belt
12,2023,244,116.2218,22.6333,24.8,0.9721,5.76,2.75,1.058,belt
12,2024,244,116.2218,22.6333,24.8,0.9721,5.76,2.75,1.058,belt
13,2014,215,-3.5741,53.4442,3.5,0.7711,1.73,3.5,1.373,cluster
13,2015,215,-3.5741,53.4442,3.5,0.7711,1.73,3.5,1.373,cluster
13,2016,215,-3.5741,53.4442,3.5,0.7711,1.73,3.5,1.373,cluster
13,2017,215,-3.5741,53.4442,3.5,0.7711,1.73,3.5,1.373,cluster
13,2018,215,-3.5741,53.4442,3.5,0.7711,1.73,3.5,1.373,cluster
13,2019,215,-3.5741,53.4442,3.5,0.7711,1.73,3.5,1.373,cluster
13,2020,215,-3.5741,53.4442,3.5,0.7711,1.73,3.5,1.373,cluster
13,2021,215,-3.5741,53.4442,3.5,0.7711,1.73,3.5,1.373,cluster
13,2022,215,-3.5741,53.4442,3.5,0.7711,1.73,3.5,1.373,cluster
13,2023,215,-3.5741,53.4442,3.5,0.7711,1.73,3.5,1.373,cluster
13,2024,215,-3.5741,53.4442,3.5,0.7711,1.73,3.5,1.373,cluster
14,2017,3,123.3274,39.5258,87.1,0.9325,3.31,16.46,4.735,belt
14,2018,37,123.3509,39.5185,124.0,0.6746,1.31,3.76,1.309,cluster
14,2019,66,123.3516,39.5125,109.9,0.7085,1.55,4.05,1.464,cluster
14,2020,73,123.3485,39.509,99.0,0.6622,1.73,4.1,1.499,cluster
14,2021,142,123.3706,39.48,100.5,0.8035,1.5,3.65,0.976,multi_cluster
14,2022,142,123.3706,39.48,100.5,0.8035,1.5,3.65,0.976,multi_cluster
14,2023,142,123.3706,39.48,100.5,0.8035,1.5,3.65,0.976,multi_cluster
14,2024,181,123.3807,39.4777,98.2,0.7347,1.49,3.7,1.064,multi_cluster
15,2014,44,4.1601,52.4024,46.8,0.8945,5.17,5.0,1.967,belt
15,2015,44,4.1601,52.4024,46.8,0.8945,5.17,5.0,1.967,belt
15,2016,44,4.1601,52.4024,46.8,0.8945,5.17,5.0,1.967,belt
15,2017,44,4.1601,52.4024,46.8,0.8945,5.17,5.0,1.967,belt
15,2018,44,4.1601,52.4024,46.8,0.8945,5.17,5.0,1.967,belt
15,2019,44,4.1601,52.4024,46.8,0.8945,5.17,5.0,1.967,belt
15,2020,44,4.1601,52.4024,46.8,0.8945,5.17,5.0,1.967,belt
15,2021,44,4.1601,52.4024,46.8,0.8945,5.17,5.0,1.967,belt
15,2022,133,4.0854,52.3551,31.7,0.8255,1.69,5.76,1.37,cluster
15,2023,182,4.0757,52.3293,46.4,0.8109,1.74,6.02,1.529,cluster
15,2024,182,4.0757,52.3293,46.4,0.8109,1.74,6.02,1.529,cluster
16,2014,80,5.9824,54.3573,77.3,0.7332,1.7,4.65,1.906,rule_grid
16,2015,80,5.9824,54.3573,77.3,0.7332,1.7,4.65,1.906,rule_grid
16,2016,81,5.9815,54.3568,75.0,0.7271,1.58,4.75,1.82,rule_grid
16,2017,147,5.9334,54.3398,33.4,0.7892,1.87,4.59,1.66,cluster
16,2018,147,5.9334,54.3398,33.4,0.7892,1.87,4.59,1.66,cluster
16,2019,178,5.9083,54.3337,25.0,0.8547,2.31,4.49,1.652,belt
16,2020,178,5.9083,54.3337,25.0,0.8547,2.31,4.49,1.652,belt
16,2021,178,5.9083,54.3337,25.0,0.8547,2.31,4.49,1.652,belt
16,2022,178,5.9083,54.3337,25.0,0.8547,2.31,4.49,1.652,belt
16,2023,178,5.9083,54.3337,25.0,0.8547,2.31,4.49,1.652,belt
16,2024,178,5.9083,54.3337,25.0,0.8547,2.31,4.49,1.652,belt
17,2014,175,1.4972,51.6283,103.5,0.5199,1.1,3.71,1.687,cluster
17,2015,175,1.4972,51.6283,103.5,0.5199,1.1,3.71,1.687,cluster
17,2016,175,1.4972,51.6283,103.5,0.5199,1.1,3.71,1.687,cluster
17,2017,175,1.4972,51.6283,103.5,0.5199,1.1,3.71,1.687,cluster
17,2018,175,1.4972,51.6283,103.5,0.5199,1.1,3.71,1.687,cluster
17,2019,175,1.4972,51.6283,103.5,0.5199,1.1,3.71,1.687,cluster
17,2020,175,1.4972,51.6283,103.5,0.5199,1.1,3.71,1.687,cluster
17,2021,175,1.4972,51.6283,103.5,0.5199,1.1,3.71,1.687,cluster
17,2022,175,1.4972,51.6283,103.5,0.5199,1.1,3.71,1.687,cluster
17,2023,175,1.4972,51.6283,103.5,0.5199,1.1,3.71,1.687,cluster
17,2024,175,1.4972,51.6283,103.5,0.5199,1.1,3.71,1.687,cluster
18,2014,77,6.995,54.0528,32.7,0.6084,1.45,5.03,1.365,cluster
18,2015,77,6.995,54.0528,32.7,0.6084,1.45,5.03,1.365,cluster
18,2016,101,6.9889,54.0411,53.8,0.6492,1.33,4.9,1.506,cluster
18,2017,151,6.9299,54.021,24.6,0.8961,2.27,4.61,1.379,belt
18,2018,151,6.9299,54.021,24.6,0.8961,2.27,4.61,1.379,belt
18,2019,151,6.9299,54.021,24.6,0.8961,2.27,4.61,1.379,belt
18,2020,151,6.9299,54.021,24.6,0.8961,2.27,4.61,1.379,belt
18,2021,151,6.9299,54.021,24.6,0.8961,2.27,4.61,1.379,belt
18,2022,151,6.9299,54.021,24.6,0.8961,2.27,4.61,1.379,belt
18,2023,151,6.9299,54.021,24.6,0.8961,2.27,4.61,1.379,belt
18,2024,174,6.953,54.0239,20.3,0.8993,2.4,4.76,1.422,belt
19,2018,13,120.5575,34.2452,106.4,0.7819,1.76,3.91,1.279,cluster
19,2019,96,120.5737,34.2571,-23.3,0.744,1.86,3.24,1.441,cluster
19,2020,163,120.6177,34.275,15.8,0.8069,2.1,3.16,1.2,cluster
19,2021,171,120.6226,34.2763,16.1,0.8207,2.1,3.12,1.21,cluster
19,2022,171,120.6226,34.2763,16.1,0.8207,2.1,3.12,1.21,cluster
19,2023,171,120.6226,34.2763,16.1,0.8207,2.1,3.12,1.21,cluster
19,2024,171,120.6226,34.2763,16.1,0.8207,2.1,3.12,1.21,cluster
20,2014,80,6.3649,54.5089,118.3,0.559,1.13,3.58,1.735,cluster
20,2015,80,6.3649,54.5089,118.3,0.559,1.13,3.58,1.735,cluster
20,2016,80,6.3649,54.5089,118.3,0.559,1.13,3.58,1.735,cluster
20,2017,80,6.3649,54.5089,118.3,0.559,1.13,3.58,1.735,cluster
20,2018,80,6.3649,54.5089,118.3,0.559,1.13,3.58,1.735,cluster
20,2019,167,6.3397,54.4774,69.0,0.5765,0.99,3.83,1.53,cluster
20,2020,167,6.3397,54.4774,69.0,0.5765,0.99,3.83,1.53,cluster
20,2021,167,6.3397,54.4774,69.0,0.5765,0.99,3.83,1.53,cluster
20,2022,167,6.3397,54.4774,69.0,0.5765,0.99,3.83,1.53,cluster
20,2023,167,6.3397,54.4774,69.0,0.5765,0.99,3.83,1.53,cluster
20,2024,167,6.3397,54.4774,69.0,0.5765,0.99,3.83,1.53,cluster
21,2021,3,120.9509,27.2551,-0.1,1.0,51.27,9.35,46.788,belt
21,2022,126,120.9463,27.2922,124.7,0.7195,1.19,2.15,0.694,multi_cluster
21,2023,162,120.9217,27.286,-8.7,0.5871,1.34,2.34,0.78,multi_cluster
21,2024,162,120.9217,27.286,-8.7,0.5871,1.34,2.34,0.78,multi_cluster
22,2014,108,11.6177,54.5527,-5.8,0.9731,5.09,3.45,1.372,belt
22,2015,108,11.6177,54.5527,-5.8,0.9731,5.09,3.45,1.372,belt
22,2016,161,11.6189,54.5529,-5.8,0.9746,5.03,3.14,1.516,belt
22,2017,161,11.6189,54.5529,-5.8,0.9746,5.03,3.14,1.516,belt
22,2018,161,11.6189,54.5529,-5.8,0.9746,5.03,3.14,1.516,belt
22,2019,161,11.6189,54.5529,-5.8,0.9746,5.03,3.14,1.516,belt
22,2020,161,11.6189,54.5529,-5.8,0.9746,5.03,3.14,1.516,belt
22,2021,161,11.6189,54.5529,-5.8,0.9746,5.03,3.14,1.516,belt
22,2022,161,11.6189,54.5529,-5.8,0.9746,5.03,3.14,1.516,belt
22,2023,161,11.6189,54.5529,-5.8,0.9746,5.03,3.14,1.516,belt
22,2024,161,11.6189,54.5529,-5.8,0.9746,5.03,3.14,1.516,belt
23,2014,22,6.0269,54.0511,-33.3,0.7621,2.53,4.77,1.899,rule_grid
23,2015,22,6.0269,54.0511,-33.3,0.7621,2.53,4.77,1.899,rule_grid
23,2016,75,6.0416,54.0387,129.8,0.7266,1.68,3.59,1.883,rule_grid
23,2017,75,6.0416,54.0387,129.8,0.7266,1.68,3.59,1.883,rule_grid
23,2018,75,6.0416,54.0387,129.8,0.7266,1.68,3.59,1.883,rule_grid
23,2019,75,6.0416,54.0387,129.8,0.7266,1.68,3.59,1.883,rule_grid
23,2020,75,6.0416,54.0387,129.8,0.7266,1.68,3.59,1.883,rule_grid
23,2021,75,6.0416,54.0387,129.8,0.7266,1.68,3.59,1.883,rule_grid
23,2022,75,6.0416,54.0387,129.8,0.7266,1.68,3.59,1.883,rule_grid
23,2023,75,6.0416,54.0387,129.8,0.7266,1.68,3.59,1.883,rule_grid
23,2024,156,6.1219,54.0432,2.8,0.9243,3.19,4.58,1.712,belt
24,2014,147,121.2317,32.5332,-18.2,0.7962,1.92,3.65,1.559,cluster
24,2015,147,121.2317,32.5332,-18.2,0.7962,1.92,3.65,1.559,cluster
24,2016,156,121.232,32.5335,-18.4,0.8118,1.93,3.62,1.587,cluster
24,2017,156,121.232,32.5335,-18.4,0.8118,1.93,3.62,1.587,cluster
24,2018,156,121.232,32.5335,-18.4,0.8118,1.93,3.62,1.587,cluster
24,2019,156,121.232,32.5335,-18.4,0.8118,1.93,3.62,1.587,cluster
24,2020,156,121.232,32.5335,-18.4,0.8118,1.93,3.62,1.587,cluster
24,2021,156,121.232,32.5335,-18.4,0.8118,1.93,3.62,1.587,cluster
24,2022,156,121.232,32.5335,-18.4,0.8118,1.93,3.62,1.587,cluster
24,2023,156,121.232,32.5335,-18.4,0.8118,1.93,3.62,1.587,cluster
24,2024,156,121.232,32.5335,-18.4,0.8118,1.93,3.62,1.587,cluster
25,2014,79,13.1627,54.9829,26.1,0.8865,3.0,3.45,1.936,belt
25,2015,79,13.1627,54.9829,26.1,0.8865,3.0,3.45,1.936,belt
25,2016,80,13.1627,54.9829,26.1,0.8865,3.0,3.45,1.948,belt
25,2017,80,13.1627,54.9829,26.1,0.8865,3.0,3.45,1.948,belt
25,2018,80,13.1627,54.9829,26.1,0.8865,3.0,3.45,1.948,belt
25,2019,80,13.1627,54.9829,26.1,0.8865,3.0,3.45,1.948,belt
25,2020,80,13.1627,54.9829,26.1,0.8865,3.0,3.45,1.948,belt
25,2021,152,13.0559,55.0056,-10.0,0.917,2.51,5.07,1.188,belt
25,2022,152,13.0559,55.0056,-10.0,0.917,2.51,5.07,1.188,belt
25,2023,152,13.0559,55.0056,-10.0,0.917,2.51,5.07,1.188,belt
25,2024,152,13.0559,55.0056,-10.0,0.917,2.51,5.07,1.188,belt
26,2014,102,1.9307,51.9169,43.4,0.6366,1.35,5.13,1.801,rule_grid
26,2015,102,1.9307,51.9169,43.4,0.6366,1.35,5.13,1.801,rule_grid
26,2016,102,1.9307,51.9169,43.4,0.6366,1.35,5.13,1.801,rule_grid
26,2017,140,1.9623,51.9273,26.9,0.783,2.13,5.22,1.667,cluster
26,2018,140,1.9623,51.9273,26.9,0.783,2.13,5.22,1.667,cluster
26,2019,140,1.9623,51.9273,26.9,0.783,2.13,5.22,1.667,cluster
26,2020,140,1.9623,51.9273,26.9,0.783,2.13,5.22,1.667,cluster
26,2021,140,1.9623,51.9273,26.9,0.783,2.13,5.22,1.667,cluster
26,2022,140,1.9623,51.9273,26.9,0.783,2.13,5.22,1.667,cluster
26,2023,140,1.9623,51.9273,26.9,0.783,2.13,5.22,1.667,cluster
26,2024,140,1.9623,51.9273,26.9,0.783,2.13,5.22,1.667,cluster
27,2014,81,7.5842,55.6002,67.0,0.8124,2.01,3.59,1.842,rule_grid
27,2015,81,7.5842,55.6002,67.0,0.8124,2.01,3.59,1.842,rule_grid
27,2016,89,7.5844,55.5999,65.8,0.8176,1.98,3.59,1.93,rule_grid
27,2017,89,7.5844,55.5999,65.8,0.8176,1.98,3.59,1.93,rule_grid
27,2018,133,7.6089,55.6304,57.7,0.8087,1.24,4.48,1.268,cluster
27,2019,138,7.6098,55.6337,59.9,0.7937,1.23,4.51,1.296,cluster
27,2020,138,7.6098,55.6337,59.9,0.7937,1.23,4.51,1.296,cluster
27,2021,138,7.6098,55.6337,59.9,0.7937,1.23,4.51,1.296,cluster
27,2022,138,7.6098,55.6337,59.9,0.7937,1.23,4.51,1.296,cluster
27,2023,138,7.6098,55.6337,59.9,0.7937,1.23,4.51,1.296,cluster
27,2024,138,7.6098,55.6337,59.9,0.7937,1.23,4.51,1.296,cluster
28,2021,134,122.1411,32.1239,-32.1,0.8757,3.06,2.65,1.102,belt
28,2022,134,122.1411,32.1239,-32.1,0.8757,3.06,2.65,1.102,belt
28,2023,134,122.1411,32.1239,-32.1,0.8757,3.06,2.65,1.102,belt
28,2024,134,122.1411,32.1239,-32.1,0.8757,3.06,2.65,1.102,belt
29,2017,71,14.0692,54.8358,36.7,0.5738,0.7,4.05,1.637,cluster
29,2018,131,14.0932,54.8111,131.9,0.7345,1.43,3.84,1.609,cluster
29,2019,131,14.0932,54.8111,131.9,0.7345,1.43,3.84,1.609,cluster
29,2020,131,14.0932,54.8111,131.9,0.7345,1.43,3.84,1.609,cluster
29,2021,131,14.0932,54.8111,131.9,0.7345,1.43,3.84,1.609,cluster
29,2022,131,14.0932,54.8111,131.9,0.7345,1.43,3.84,1.609,cluster
29,2023,131,14.0932,54.8111,131.9,0.7345,1.43,3.84,1.609,cluster
29,2024,131,14.0932,54.8111,131.9,0.7345,1.43,3.84,1.609,cluster
30,2014,129,0.4738,53.1798,78.7,0.7601,1.71,3.03,1.474,cluster
30,2015,129,0.4738,53.1798,78.7,0.7601,1.71,3.03,1.474,cluster
30,2016,129,0.4738,53.1798,78.7,0.7601,1.71,3.03,1.474,cluster
30,2017,129,0.4738,53.1798,78.7,0.7601,1.71,3.03,1.474,cluster
30,2018,129,0.4738,53.1798,78.7,0.7601,1.71,3.03,1.474,cluster
30,2019,129,0.4738,53.1798,78.7,0.7601,1.71,3.03,1.474,cluster
30,2020,129,0.4738,53.1798,78.7,0.7601,1.71,3.03,1.474,cluster
30,2021,129,0.4738,53.1798,78.7,0.7601,1.71,3.03,1.474,cluster
30,2022,129,0.4738,53.1798,78.7,0.7601,1.71,3.03,1.474,cluster
30,2023,129,0.4738,53.1798,78.7,0.7601,1.71,3.03,1.474,cluster
30,2024,129,0.4738,53.1798,78.7,0.7601,1.71,3.03,1.474,cluster
31,2014,49,4.2241,52.5885,-8.0,0.7464,1.69,2.97,1.977,rule_grid
31,2015,49,4.2241,52.5885,-8.0,0.7464,1.69,2.97,1.977,rule_grid
31,2016,59,4.2239,52.5882,-5.4,0.7278,1.66,2.9,2.091,rule_grid
31,2017,59,4.2239,52.5882,-5.4,0.7278,1.66,2.9,2.091,rule_grid
31,2018,60,4.224,52.5879,-6.2,0.7193,1.64,2.9,2.097,rule_grid
31,2019,60,4.224,52.5879,-6.2,0.7193,1.64,2.9,2.097,rule_grid
31,2020,60,4.224,52.5879,-6.2,0.7193,1.64,2.9,2.097,rule_grid
31,2021,60,4.224,52.5879,-6.2,0.7193,1.64,2.9,2.097,rule_grid
31,2022,60,4.224,52.5879,-6.2,0.7193,1.64,2.9,2.097,rule_grid
31,2023,129,4.2423,52.6531,69.7,0.8489,1.75,4.78,1.343,cluster
31,2024,129,4.2423,52.6531,69.7,0.8489,1.75,4.78,1.343,cluster
32,2019,7,112.2651,21.4886,41.3,0.95,3.97,6.82,2.832,belt
32,2020,92,112.2301,21.4574,-43.5,0.5158,1.06,2.47,0.92,multi_cluster
32,2021,128,112.2209,21.4359,72.5,0.7353,1.45,2.45,0.93,multi_cluster
32,2022,128,112.2209,21.4359,72.5,0.7353,1.45,2.45,0.93,multi_cluster
32,2023,128,112.2209,21.4359,72.5,0.7353,1.45,2.45,0.93,multi_cluster
32,2024,128,112.2209,21.4359,72.5,0.7353,1.45,2.45,0.93,multi_cluster
33,2024,109,109.1899,20.1449,-11.1,0.7147,1.55,5.12,1.304,cluster
34,2014,5,119.3805,25.1426,69.9,0.7926,1.83,6.46,2.75,sparse
34,2015,5,119.3805,25.1426,69.9,0.7926,1.83,6.46,2.75,sparse
34,2016,11,119.385,25.1509,70.0,0.873,2.74,4.2,2.104,belt
34,2017,11,119.385,25.1509,70.0,0.873,2.74,4.2,2.104,belt
34,2018,11,119.385,25.1509,70.0,0.873,2.74,4.2,2.104,belt
34,2019,19,119.4049,25.1541,30.9,0.805,1.89,3.84,1.136,cluster
34,2020,47,119.4001,25.1487,22.5,0.9071,2.16,3.21,0.968,belt
34,2021,110,119.3944,25.1344,29.7,0.8375,1.69,3.04,1.141,multi_cluster
34,2022,125,119.3921,25.1304,31.9,0.8161,1.62,3.04,1.201,cluster
34,2023,125,119.3921,25.1304,31.9,0.8161,1.62,3.04,1.201,cluster
34,2024,125,119.3921,25.1304,31.9,0.8161,1.62,3.04,1.201,cluster
35,2021,95,110.7621,20.5855,79.3,0.839,2.22,2.85,1.251,cluster
35,2022,95,110.7621,20.5855,79.3,0.839,2.22,2.85,1.251,cluster
35,2023,97,110.7613,20.5865,80.9,0.8291,1.94,2.88,1.173,multi_cluster
35,2024,120,110.7555,20.5948,89.8,0.8124,2.02,3.09,1.324,cluster
36,2017,116,-0.2783,50.6701,9.7,0.8597,2.24,3.92,1.907,belt
36,2018,116,-0.2783,50.6701,9.7,0.8597,2.24,3.92,1.907,belt
36,2019,116,-0.2783,50.6701,9.7,0.8597,2.24,3.92,1.907,belt
36,2020,116,-0.2783,50.6701,9.7,0.8597,2.24,3.92,1.907,belt
36,2021,116,-0.2783,50.6701,9.7,0.8597,2.24,3.92,1.907,belt
36,2022,116,-0.2783,50.6701,9.7,0.8597,2.24,3.92,1.907,belt
36,2023,116,-0.2783,50.6701,9.7,0.8597,2.24,3.92,1.907,belt
36,2024,116,-0.2783,50.6701,9.7,0.8597,2.24,3.92,1.907,belt
37,2021,113,121.5712,30.6258,8.1,0.9016,2.21,3.52,1.021,belt
37,2022,113,121.5712,30.6258,8.1,0.9016,2.21,3.52,1.021,belt
37,2023,113,121.5712,30.6258,8.1,0.9016,2.21,3.52,1.021,belt
37,2024,114,121.5708,30.6254,8.2,0.9003,2.22,3.58,1.043,belt
38,2014,63,121.9638,30.7722,-11.1,0.826,1.8,2.9,1.379,cluster
38,2015,63,121.9638,30.7722,-11.1,0.826,1.8,2.9,1.379,cluster
