turbine_id,lon,lat,x_km,y_km,point_role,commission_year,first_quarter,first_status
141,-70.994259,41.16287,-6060.637,4582.251,substation,,2024Q3,offshore wind farm substation
144,-70.992245,41.096991,-6060.465,4574.917,substation,,2024Q3,offshore wind farm substation
147,-71.167938,41.076267,-6075.463,4572.61,substation,,2020Q3,offshore wind farm substation
152,-71.058102,41.094433,-6066.087,4574.632,substation,,2024Q3,offshore wind farm substation
153,-71.080658,41.1278,-6068.012,4578.347,substation,,2024Q3,offshore wind farm substation
154,-71.037468,41.111441,-6064.325,4576.526,substation,,2024Q3,offshore wind farm substation
155,-70.990238,41.078974,-6060.293,4572.911,substation,,2024Q2,offshore wind farm substation
156,-71.014477,41.07893,-6062.363,4572.906,substation,,2024Q2,offshore wind farm substation
177,139.970222,40.200102,11948.975,4475.075,substation,,2016Q4,offshore wind farm substation
178,139.97831,40.202627,11949.666,4475.356,substation,,2016Q2,offshore wind farm substation
191,123.320988,39.593859,10527.664,4407.588,substation,,2016Q1,offshore wind farm substation
221,123.347679,39.523912,10529.942,4399.802,substation,,2017Q3,offshore wind farm substation
259,123.203899,39.509283,10517.668,4398.173,substation,,2016Q1,offshore wind farm substation
260,123.206463,39.498396,10517.887,4396.961,substation,,2020Q4,offshore wind farm substation
299,123.310505,39.410053,10526.769,4387.127,substation,,2024Q4,offshore wind farm substation
300,123.314083,39.4198,10527.074,4388.212,substation,,2024Q4,offshore wind farm substation
301,123.316525,39.430691,10527.283,4389.425,substation,,2024Q4,offshore wind farm substation
334,123.329945,39.442003,10528.429,4390.684,substation,,2024Q4,offshore wind farm substation
341,123.335781,39.431772,10528.927,4389.545,substation,,2024Q2,offshore wind farm substation
370,123.422588,39.487257,10536.337,4395.721,substation,,2023Q4,offshore wind farm substation
381,123.416767,39.415297,10535.84,4387.711,substation,,2021Q3,offshore wind farm substation
454,118.803707,39.020258,10142.033,4343.735,substation,,2016Q1,offshore wind farm substation
456,118.797131,39.028618,10141.471,4344.666,substation,,2017Q1,offshore wind farm substation
533,118.078415,38.668282,10080.116,4304.553,substation,,2019Q3,offshore wind farm substation
534,118.017982,38.670132,10074.957,4304.759,substation,,2024Q2,offshore wind farm substation
535,118.001305,38.672977,10073.533,4305.076,substation,,2025Q1,offshore wind farm substation
568,118.580517,38.324944,10122.979,4266.333,substation,,2018Q3,offshore wind farm substation
569,118.602322,38.28751,10124.841,4262.166,substation,,2022Q3,offshore wind farm substation
604,118.838768,38.26985,10145.026,4260.2,substation,,2016Q1,offshore wind farm substation
605,118.904602,38.293535,10150.646,4262.836,substation,,2016Q1,offshore wind farm substation
606,118.855732,38.249315,10146.474,4257.914,substation,,2016Q1,offshore wind farm substation
607,118.896172,38.28635,10149.926,4262.036,substation,,2016Q1,offshore wind farm substation
608,118.869019,38.246153,10147.608,4257.562,substation,,2016Q1,offshore wind farm substation
609,118.913639,38.309633,10151.417,4264.628,substation,,2016Q1,offshore wind farm substation
610,118.854645,38.280689,10146.381,4261.406,substation,,2022Q4,offshore wind farm substation
611,118.845802,38.234333,10145.626,4256.246,substation,,2016Q1,offshore wind farm substation
612,118.857006,38.224689,10146.583,4255.172,substation,,2016Q1,offshore wind farm substation
613,118.851128,38.242226,10146.081,4257.125,substation,,2016Q1,offshore wind farm substation
614,118.844337,38.204184,10145.501,4252.89,substation,,2016Q1,offshore wind farm substation
615,118.857994,38.23197,10146.667,4255.983,substation,,2020Q2,offshore wind farm substation
637,118.960617,38.252844,10155.428,4258.307,substation,,2016Q1,offshore wind farm substation
653,119.022846,38.256117,10160.74,4258.671,substation,,2022Q4,offshore wind farm substation
655,118.950821,38.242731,10154.592,4257.181,substation,,2016Q1,offshore wind farm substation
680,118.918541,38.156399,10151.836,4247.57,substation,,2016Q1,offshore wind farm substation
681,118.916237,38.154179,10151.639,4247.323,substation,,2016Q1,offshore wind farm substation
682,118.938316,38.220331,10153.524,4254.687,substation,,2016Q1,offshore wind farm substation
683,119.095051,38.211256,10166.904,4253.677,substation,,2016Q1,offshore wind farm substation
684,119.060406,38.202423,10163.947,4252.694,substation,,2016Q1,offshore wind farm substation
719,119.271912,38.02635,10182.002,4233.093,substation,,2024Q4,offshore wind farm substation
720,119.27132,38.003277,10181.952,4230.525,substation,,2024Q4,offshore wind farm substation
721,119.24514,38.003206,10179.717,4230.517,substation,,2025Q1,offshore wind farm substation
722,119.214878,38.00868,10177.134,4231.126,substation,,2024Q4,offshore wind farm substation
