farm_id,n_turb,country,layout_type,spacing_d,wl_mean_pct,cf_mean_pct
42,111,Taiwan,belt,2.15,1.9472137483144765,61.38563896320569
43,111,Denmark,cluster,3.99,10.223839482840056,52.53683096721539
44,108,China,belt,3.11,10.516409402593363,37.71268538452663
45,106,China,multi_cluster,1.9,8.059195882772228,61.20175756895605
46,105,China,belt,2.84,1.693584358691241,67.16581734113538
47,104,China,cluster,4.1,9.29345906449565,39.16200978255482
48,102,United Kingdom,multi_cluster,3.82,8.976446096909246,53.55220805309466
49,101,France,rule_grid,2.63,27.01952312744535,41.024940527266885
50,100,China,cluster,3.29,11.871430370134027,33.53222815207841
51,91,United Kingdom,belt,4.51,13.326280268430644,50.07471914073158
52,90,China,belt,1.85,6.547692580151016,60.07487731135285
53,90,United Kingdom,cluster,5.74,7.414388565251037,52.9593177669056
54,89,Netherlands,rule_grid,3.5,22.094055979731078,42.20646808957459
55,88,United Kingdom,belt,3.57,18.660046013654778,47.97158326041491
56,83,Vietnam,cluster,3.55,10.973842992137275,35.26910691943866
57,80,Vietnam,multi_cluster,1.75,47.57497288383645,12.640178504339602
58,81,France,belt,5.61,6.096323629860333,41.066746015790734
59,80,Denmark,rule_grid,2.84,23.9475558045324,46.93350911772317
60,80,Denmark,belt,4.5,8.249848007282123,57.16145172589921
61,80,Denmark,rule_grid,3.78,16.549451380756263,51.68371179315264
62,79,Taiwan,belt,3.7,4.77171231674714,46.54636857084039
63,75,China,cluster,3.91,13.685609305581552,33.38200145268681
64,75,Vietnam,belt,2.07,12.10185574050888,17.93353842151746
65,75,Netherlands,rule_grid,3.49,16.46349089126265,50.38785090593913
66,74,China,belt,2.19,18.068588510831823,31.709424705458712
67,73,United Kingdom,rule_grid,3.13,27.096764492523334,40.61183708771912
68,72,Denmark,belt,5.11,7.507460990050653,57.75440059965881
69,71,France,rule_grid,5.57,8.84765674369008,50.386406708516
70,70,China,cluster,3.28,15.86239625800312,30.769166461748444
71,69,Taiwan,belt,4.1,6.450825757287006,52.723677222906026
72,68,China,cluster,3.12,12.088486489836635,38.43922207298774
73,67,United Kingdom,rule_grid,5.09,10.331509523320014,52.971092857129044
74,62,China,belt,1.74,8.287328754162152,43.25538936585072
75,62,France,rule_grid,5.87,8.775397366057556,44.970121915924096
76,61,China,multi_cluster,2.98,8.514748238319502,33.89583199188414
77,60,China,cluster,3.34,12.88679843817997,31.491993011205988
78,60,China,cluster,3.2,13.673503700904035,34.143745030002634
79,60,China,cluster,3.84,9.426254245986701,37.02299527031761
80,60,United Kingdom,belt,5.67,8.198499477998764,54.058189784858904
81,59,China,belt,2.44,7.561005920241991,57.11241962131746
82,58,China,belt,3.08,10.547385210481359,39.73950249950807
83,58,United Kingdom,rule_grid,2.4,34.33022214918196,32.49891051987097
84,57,United Kingdom,belt,4.61,15.930360971891053,42.03820741906304
85,56,China,belt,3.18,10.327268604332291,41.43314629490701
86,56,Vietnam,belt,1.68,6.258151909780235,24.618535415578393
87,56,United Kingdom,cluster,4.71,10.53836117217126,51.75204648703189
88,55,China,belt,3.42,12.174360750524146,30.87075493027352
89,55,China,belt,4.24,11.696341821841859,37.91899320874183
90,55,China,belt,2.66,12.454087144867783,32.42647865890046
91,55,China,multi_cluster,2.04,16.17967204697052,30.3973901008933
92,54,China,multi_cluster,2.26,13.506684113935913,38.71902517257024
93,39,United Kingdom,cluster,6.77,3.0153840601597626,54.84292919939981
94,50,China,cluster,3.04,11.81511292100281,34.20593347021506
95,50,Sweden,cluster,4.27,4.8463129069864195,56.87665581383045
96,50,United Kingdom,belt,2.32,22.181469791371104,39.83892015356851
97,49,China,cluster,3.07,16.956250215612233,30.125852887884513
98,48,China,rule_grid,4.8,10.811272199723588,26.227221825121894
99,48,Sweden,rule_grid,1.99,41.45435222371154,28.05475428409554
100,48,Netherlands,belt,2.29,19.02167347704413,38.47271650204318
101,47,China,belt,2.26,2.5071554629728463,59.78730087007086
102,45,United Kingdom,belt,3.56,22.448019111743722,36.837628765509436
103,41,China,belt,2.32,11.17784502046324,40.660071549063865
104,39,China,cluster,4.0,11.778099079359865,39.07442762834247
105,40,China,cluster,2.84,16.078968386222808,32.806447997836955
106,37,China,multi_cluster,3.17,8.11831170263448,40.52742798725596
107,39,Vietnam,belt,1.62,10.581731578857259,23.58755977669913
108,38,China,cluster,3.82,7.740952946317324,35.78761622885267
109,38,China,belt,3.77,10.272459392909456,36.03479000537338
110,38,China,belt,3.28,6.448780108612883,36.96223967498049
111,36,China,multi_cluster,2.29,9.891173712364484,33.42959477987979
112,36,Vietnam,belt,1.49,4.413122261945898,26.18772979145629
113,36,Netherlands,rule_grid,3.65,13.765062275848647,45.324895866196755
114,34,China,rule_grid,4.98,9.17141861706201,43.23329385798762
115,35,Vietnam,multi_cluster,1.67,10.25913292164851,26.26420241685863
116,35,United Kingdom,rule_grid,5.36,8.48061395719171,50.97519956314495
117,32,United States of America,rule_grid,9.67,2.1806754129063597,55.02202044499587
118,32,China,cluster,3.23,8.699511463394764,37.11700955488204
119,32,China,cluster,2.83,14.930148345055894,34.1109406626764
120,32,China,cluster,2.79,14.220268526140481,30.23120853046819
121,30,Germany,belt,3.08,19.00427556387193,48.01735913298401
122,30,United Kingdom,rule_grid,1.92,28.495193160169226,38.77603950456343
123,30,United Kingdom,rule_grid,2.92,19.914668888955944,43.17215198102993
124,29,China,cluster,2.04,4.574239831078774,56.47841947012437
125,28,China,cluster,3.27,4.614687472939661,57.27325041253468
126,27,Vietnam,belt,1.46,12.093869985830072,31.935532545684836
127,27,Sweden,belt,5.49,5.26813962921596,55.99637829866234
128,27,United Kingdom,belt,2.06,26.929103489489226,38.06816024103944
129,22,United Kingdom,belt,11.42,1.552629148291405,59.94905298488425
130,26,Vietnam,multi_cluster,1.47,8.851936528040062,21.72236716095027
131,25,China,cluster,3.38,11.679820286065517,33.2108000345915
132,24,China,belt,3.41,12.496653936138271,33.11780575087824
133,24,Vietnam,multi_cluster,1.75,7.841344197128253,25.35336833300623
134,24,Netherlands,belt,4.18,15.111391850797101,36.32917514673182
135,23,Japan,belt,2.21,9.056909145669845,27.983733584205122
136,21,Denmark,belt,3.57,2.737485677257055,58.27542547360493
137,21,Germany,belt,3.13,13.23351908811656,44.11243769472918
138,10,United States of America,belt,10.64,1.49935552773975,55.09629605735725
139,20,South Korea,rule_grid,3.85,12.182538427485358,33.76522814654081
140,20,Denmark,belt,3.43,3.083262956110665,57.69441850934693
141,18,Vietnam,belt,1.64,5.96035382822926,25.834739867433875
142,18,Germany,rule_grid,2.63,20.75889195271107,40.720559240671065
143,16,Vietnam,belt,1.96,2.0876879238590624,31.67929738904265
144,16,Sweden,belt,2.11,9.295510092346609,49.946573566839184
145,14,Japan,cluster,2.47,9.89577297822343,41.18376122259032
146,12,United States of America,rule_grid,9.22,2.4387285681240147,53.07612539071288
147,12,China,belt,3.32,5.960844803847057,31.70115640969585
148,11,Finland,rule_grid,4.12,11.171691511355014,41.88941654906923
149,11,Sweden,belt,1.21,16.02086520340932,34.88980663633432
150,11,United Kingdom,rule_grid,4.87,9.555597822974903,45.887994276503214
151,10,South Korea,rule_grid,4.46,3.46541053099366,39.32144930171963
152,10,Denmark,cluster,2.92,7.788263268864521,51.04410312441557
153,10,Denmark,cluster,0.91,33.22357111654386,32.68179918001111
154,10,Denmark,belt,1.49,8.900267561089127,51.25794989264744
155,9,Italy,belt,2.41,15.693347963549936,24.43763700498835
156,6,United States of America,belt,9.48,1.57318931934902,51.09701740540417
157,7,Denmark,belt,3.02,11.96093231972831,45.646632997448165
158,7,Ireland,belt,3.17,6.176599830208433,47.989199128123836
159,7,Vietnam,belt,1.79,9.037446808317375,27.46042850955265
160,5,United States of America,belt,4.28,4.722839668592072,53.20099836554852
161,5,United Kingdom,sparse,5.5,2.890354107692213,57.3155486132327
162,5,United Kingdom,belt,5.28,3.072012610927645,47.84931823661053
163,5,Sweden,sparse,2.06,14.102706661566373,45.93874033277582
164,5,United Kingdom,sparse,7.47,2.841272919563414,59.82622256781218
165,4,China,belt,3.09,9.752792244621723,27.352430962782076
166,4,Japan,belt,7.04,3.9983703201073797,37.660847057513095
167,3,France,belt,4.7,0.77842416725534,53.26810890975968
168,3,China,belt,3.32,7.092566031232537,25.902720782875203
169,3,China,sparse,4.13,5.600532655820101,33.20273948854453
170,3,Portugal,belt,3.09,1.8016907763650143,45.78174048086944
