farm_id,n_turb,cent_lon,cent_lat,pc1_angle,axis_bearing,pc1_share,aspect_ratio,nn_mean_m,nn_med_m,spacing_D_mean,spacing_D_med,ce_r,n_comp,layout_type,last_year,country
21,162,120.92248699999999,27.2727215,175.39,94.61,0.6571,1.384,536.9,489.5,2.712,2.472,0.841,11,multi_cluster,2024,China
22,161,11.608343,54.553768,172.18,97.82,0.9571,4.724,535.8,496.6,2.706,2.508,1.499,2,multi_cluster,2024,Germany
23,156,6.0937635,54.04368,3.91,86.09,0.8782,2.685,846.3,804.2,4.274,4.062,1.826,1,belt,2024,Netherlands
24,156,121.232172,32.535934499999996,164.1,105.9,0.8357,2.255,741.5,696.6,3.745,3.518,1.568,1,cluster,2024,China
25,152,13.106219,54.996092000000004,165.69,104.31,0.8672,2.555,929.4,740.8,4.694,3.741,1.27,3,multi_cluster,2024,Sweden
26,140,1.957084,51.925518999999994,37.42,52.58,0.7493,1.729,949.6,896.9,4.796,4.53,1.707,1,cluster,2024,United Kingdom
27,138,7.597775,55.624891500000004,70.14,19.86,0.8513,2.393,767.8,545.8,3.878,2.757,1.296,13,multi_cluster,2024,Denmark
28,134,122.14789400000001,32.128049000000004,151.28,118.72,0.8863,2.793,568.2,540.0,2.87,2.727,1.139,8,multi_cluster,2024,China
29,131,14.088368,54.808451,116.96,153.04,0.7734,1.848,708.3,679.2,3.577,3.43,1.728,1,cluster,2024,Sweden
30,129,0.475343,53.179531,82.46,7.54,0.8342,2.243,596.4,572.2,3.012,2.89,1.657,1,cluster,2024,United Kingdom
31,129,4.233488,52.648853,74.89,15.11,0.8916,2.868,872.3,895.7,4.406,4.524,1.39,2,multi_cluster,2024,Netherlands
32,128,112.213505,21.4380585,62.75,27.25,0.6758,1.444,514.9,483.8,2.601,2.443,0.899,9,multi_cluster,2024,China
33,109,109.154125,20.144969,172.63,97.37,0.7881,1.929,1032.3,977.2,5.213,4.935,1.203,4,multi_cluster,2024,China
34,125,119.3904,25.127755,25.64,64.36,0.8422,2.31,648.4,691.5,3.275,3.492,1.192,2,multi_cluster,2024,China
35,120,110.750843,20.5971575,89.68,0.32,0.7418,1.695,628.7,547.3,3.175,2.764,1.235,4,multi_cluster,2024,China
36,116,-0.2841045,50.670015,12.78,77.22,0.8123,2.08,747.3,749.8,3.774,3.787,2.02,1,rule_grid,2024,United Kingdom
37,114,121.5619085,30.6304955,7.11,82.89,0.9194,3.377,748.3,670.2,3.779,3.385,1.042,4,multi_cluster,2024,China
38,115,121.995605,30.75804,137.07,132.93,0.8757,2.654,615.1,538.3,3.107,2.719,1.182,4,multi_cluster,2024,China
39,114,120.147337,23.98411,66.45,23.55,0.6213,1.281,870.4,934.9,4.396,4.722,1.276,4,multi_cluster,2024,Taiwan
40,114,-1.6795105000000001,56.598254499999996,168.68,101.32,0.7081,1.558,1179.9,1044.3,5.959,5.274,1.283,2,multi_cluster,2024,United Kingdom
41,102,117.0248165,23.232717,38.39,51.61,0.8077,2.05,690.6,689.9,3.488,3.484,1.263,2,multi_cluster,2024,China
42,111,119.921352,24.157376,172.43,97.57,0.895,2.919,507.6,499.6,2.564,2.523,0.968,5,multi_cluster,2024,Taiwan
43,111,11.210169,56.594379,102.83,167.17,0.8667,2.55,725.8,695.8,3.666,3.514,1.402,1,belt,2024,Denmark
44,108,118.9520835,38.2729225,172.19,97.81,0.9687,5.561,628.9,574.3,3.176,2.901,1.066,5,multi_cluster,2024,China
45,106,119.549318,25.2552455,6.61,83.39,0.7643,1.801,410.1,394.0,2.071,1.99,1.079,2,multi_cluster,2024,China
46,105,119.992184,25.818784,72.18,17.82,0.8578,2.456,617.4,620.5,3.118,3.134,1.244,2,multi_cluster,2024,China
47,104,114.9443935,22.305439,16.7,73.3,0.8233,2.159,807.8,782.3,4.08,3.951,1.256,3,multi_cluster,2024,China
48,102,2.5039695,52.233097,81.46,8.54,0.8517,2.397,734.3,740.5,3.708,3.74,1.247,1,belt,2024,United Kingdom
49,101,1.633079,51.431334,142.37,127.63,0.7479,1.722,469.4,476.8,2.371,2.408,1.819,1,rule_grid,2024,France
50,100,120.362833,34.510617999999994,6.0,84.0,0.7564,1.762,699.6,693.3,3.533,3.501,1.29,2,multi_cluster,2024,China
51,91,0.839748,53.272234,129.1,140.9,0.8619,2.498,838.7,836.7,4.236,4.226,1.861,1,belt,2024,United Kingdom
52,90,119.7655905,25.674501499999998,157.9,112.1,0.9156,3.294,397.9,337.2,2.01,1.703,0.713,9,multi_cluster,2024,China
53,90,0.8427925,53.4772775,145.99,124.01,0.804,2.025,993.4,992.3,5.017,5.012,1.639,1,cluster,2024,United Kingdom
54,89,5.263798,53.001633,103.31,166.69,0.5221,1.045,659.7,657.1,3.332,3.319,2.18,1,rule_grid,2024,Netherlands
55,88,1.1474069999999998,53.135954999999996,139.17,130.83,0.8455,2.34,645.6,643.3,3.26,3.249,2.132,1,rule_grid,2024,United Kingdom
56,83,108.208164,21.339756,62.18,27.82,0.7056,1.548,707.1,687.1,3.571,3.47,1.474,1,cluster,2024,Vietnam
57,80,105.8074895,9.2222045,27.25,62.75,0.7225,1.614,354.1,246.6,1.788,1.245,0.864,13,multi_cluster,2024,Vietnam
58,81,-2.611608,47.157816,165.43,104.57,0.8239,2.163,1047.2,997.8,5.289,5.04,1.81,2,multi_cluster,2024,France
59,80,7.840513,55.4864635,169.98,100.02,0.6259,1.293,555.2,555.7,2.804,2.807,2.238,1,rule_grid,2024,Denmark
60,80,7.1963539999999995,55.138005,94.76,175.24,0.9456,4.169,871.3,861.5,4.401,4.351,1.886,1,belt,2024,Denmark
61,80,7.776749,55.0175075,93.85,176.15,0.85,2.381,688.9,688.8,3.48,3.479,2.197,1,belt,2024,Denmark
62,79,120.027985,23.592579,73.26,16.74,0.8362,2.259,834.0,792.7,4.212,4.004,1.669,1,cluster,2024,Taiwan
63,75,118.803596,38.998947,27.5,62.5,0.6969,1.516,778.6,780.8,3.932,3.944,1.7,1,cluster,2024,China
64,75,106.848553,10.163074,76.25,13.75,0.851,2.39,416.3,463.0,2.103,2.338,0.596,10,multi_cluster,2024,Vietnam
65,75,5.884929,54.035374,137.37,132.63,0.7154,1.585,644.2,625.7,3.254,3.16,1.977,1,rule_grid,2024,Netherlands
66,74,121.4767415,30.463653,100.88,169.12,0.8299,2.209,432.4,398.7,2.184,2.014,1.113,3,multi_cluster,2024,China
