farm_id,paradigm,A_built,A_fixed,A_C0,A_C1,A_C2,A_C3,t_built_bin,theta_energy_deg,theta_star_off_deg,pos_frac,wake_loss_built,wake_loss_rot,aep_built_MWh
165,S_A,0.2544,0.2544,0.2544,0.194,0.1417,-0.0,5,155.8,65,1.0,0.0468,0.0448,25.7
165,S_B0,1.0498,1.0498,1.0498,0.59,0.4636,0.0,0,155.8,0,1.0,0.2996,0.3068,18.9
165,S_B45,1.0498,1.0498,1.0498,0.59,0.4635,0.0,9,155.8,90,1.0,0.2996,0.3068,18.9
165,S_C,0.6817,0.6817,0.6817,0.4118,0.3184,0.0,5,155.8,140,1.0,0.1631,0.1569,22.5
165,S_D,0.9105,0.9105,0.9105,0.5108,0.4025,-0.0,0,155.8,75,1.0,0.2335,0.2388,20.6
165,S_E,0.1806,0.1806,0.1806,0.1411,0.1017,0.0,5,155.8,65,1.0,0.0319,0.0306,26.1
166,S_A,0.5762,0.5762,0.5762,0.4367,0.4039,0.0,17,273.3,5,1.0,0.0297,0.0341,35.2
166,S_B0,2.3567,2.3567,2.3567,1.6069,1.4544,-0.0,0,273.3,85,1.0,0.2366,0.2514,27.7
166,S_B45,2.3563,2.3564,2.3563,1.6066,1.4541,0.0,9,273.3,85,1.0,0.2366,0.2514,27.7
166,S_C,1.3891,1.389,1.3891,0.9608,0.8793,-0.0,17,273.3,0,1.0,0.1117,0.1239,32.2
166,S_D,1.9681,1.9681,1.9681,1.3465,1.2254,-0.0,0,273.3,175,1.0,0.18,0.1928,29.7
166,S_E,0.3941,0.3941,0.3941,0.3002,0.2787,0.0,17,273.3,5,1.0,0.0201,0.0231,35.5
167,S_A,0.2956,0.2956,0.2956,0.3244,0.4358,-0.0,8,322.2,50,1.0,0.0279,0.0254,47.5
167,S_B0,1.8723,1.8723,1.8723,1.5924,1.8667,0.0,0,322.2,85,1.0,0.1812,0.1936,40.0
167,S_B45,1.872,1.8719,1.872,1.592,1.8662,-0.0,9,322.2,175,1.0,0.1812,0.1936,40.0
167,S_C,0.9522,0.9522,0.9522,0.886,1.1133,0.0,8,322.2,40,1.0,0.0931,0.0929,44.3
167,S_D,1.5111,1.5111,1.5111,1.4024,1.7059,0.0,0,322.2,85,1.0,0.1385,0.1465,42.1
167,S_E,0.1989,0.1989,0.1989,0.2334,0.3189,0.0,8,322.2,50,1.0,0.0189,0.0171,48.0
168,S_A,0.4714,0.4715,0.4714,0.2662,0.1786,-0.0,33,192.6,10,1.0,0.0453,0.0472,23.5
168,S_B0,1.9281,1.9281,1.9281,0.9141,0.6705,0.0,0,192.6,80,1.0,0.313,0.3198,16.9
168,S_B45,1.9279,1.9279,1.9279,0.914,0.6704,0.0,9,192.6,170,1.0,0.313,0.3198,16.9
168,S_C,1.1061,1.1061,1.1061,0.5974,0.418,0.0,33,192.6,100,1.0,0.1586,0.1644,20.7
168,S_D,1.6657,1.6657,1.6657,0.8124,0.5859,0.0,0,192.6,80,1.0,0.2437,0.2495,18.6
168,S_E,0.3142,0.3142,0.3142,0.1778,0.1183,0.0,33,192.6,10,1.0,0.031,0.0322,23.9
169,S_A,0.301,0.3009,0.301,0.1786,0.1376,0.0,20,78.2,170,1.0,0.0365,0.0379,30.3
169,S_B0,0.7109,0.7109,0.7109,0.3761,0.3051,-0.0,0,78.2,95,1.0,0.2749,0.28,22.8
169,S_B45,0.7108,0.7108,0.7108,0.376,0.3051,0.0,9,78.2,95,1.0,0.2749,0.28,22.8
169,S_C,0.6615,0.6615,0.6615,0.3356,0.2714,0.0,20,78.2,80,1.0,0.1383,0.1386,27.1
169,S_D,0.8464,0.8464,0.8464,0.4545,0.3694,-0.0,0,78.2,90,1.0,0.2123,0.2155,24.7
169,S_E,0.2131,0.2131,0.2131,0.1303,0.0997,-0.0,20,78.2,170,1.0,0.0246,0.0256,30.6
170,S_A,0.4771,0.4771,0.4771,0.343,0.3779,0.0,8,321.2,0,1.0,0.024,0.0287,41.1
170,S_B0,2.7993,2.7993,2.7993,1.8829,1.8917,0.0,0,321.2,45,1.0,0.2284,0.2203,32.5
170,S_B45,2.7985,2.7986,2.7985,1.8823,1.8911,0.0,9,321.2,135,1.0,0.2284,0.2203,32.5
170,S_C,1.6022,1.6022,1.6022,1.1048,1.1549,0.0,8,321.2,95,1.0,0.0954,0.1062,38.1
170,S_D,2.3462,2.3462,2.3462,1.5754,1.6039,0.0,0,321.2,45,1.0,0.1773,0.1674,34.6
170,S_E,0.3139,0.3139,0.3139,0.2415,0.2639,0.0,8,321.2,0,1.0,0.0162,0.0193,41.4
