farm_id,template,dE_GWh_orientation,pct_orientation,A_pct,E_rot_mean_kWh_per_turb
65,S_B0,0.010387,0.301,0.301,46039369.9
65,S_B45,0.01038,0.301,0.301,46039479.9
65,S_C,0.013181,0.342,0.341,51447018.9
65,S_D,0.014894,0.409,0.405,48568403.2
65,S_E,0.005383,0.129,0.129,55515163.2
66,S_A,0.006929,0.278,0.278,33705225.6
66,S_B0,0.024126,1.284,1.284,25389218.2
66,S_B45,0.02412,1.284,1.284,25389204.6
66,S_C,0.018252,0.815,0.815,30266516.9
66,S_D,0.025991,1.272,1.27,27619441.2
66,S_E,0.005059,0.2,0.2,34122866.4
67,S_A,0.005786,0.158,0.158,50004475.1
67,S_B0,0.010466,0.355,0.355,40430802.1
67,S_B45,0.010471,0.355,0.355,40430926.1
67,S_C,0.010935,0.325,0.325,46099476.4
67,S_D,0.011984,0.381,0.378,43063882.2
67,S_E,0.003921,0.106,0.106,50486877.2
68,S_A,0.008539,0.208,0.208,56906898.7
68,S_B0,0.016513,0.478,0.478,47981287.1
68,S_B45,0.016508,0.478,0.478,47981395.1
68,S_C,0.015683,0.408,0.408,53356994.4
68,S_D,0.017447,0.48,0.478,50503051.4
68,S_E,0.00622,0.151,0.151,57334726.7
69,S_A,0.005692,0.166,0.166,48261020.9
69,S_B0,0.018393,0.652,0.652,39711263.9
69,S_B45,0.018389,0.652,0.652,39711241.8
69,S_C,0.015092,0.474,0.474,44822419.3
69,S_D,0.016312,0.546,0.546,42081064.3
69,S_E,0.004009,0.116,0.116,48674380.5
70,S_A,0.007549,0.364,0.364,29654308.6
70,S_B0,0.018946,1.228,1.228,22048815.5
70,S_B45,0.018945,1.227,1.227,22048816.1
70,S_C,0.014878,0.804,0.804,26451040.1
70,S_D,0.017309,1.028,1.027,24056781.6
70,S_E,0.005316,0.253,0.253,30056670.3
71,S_A,0.02633,0.767,0.767,49751643.0
71,S_B0,0.135215,4.606,4.606,42547382.9
71,S_B45,0.1352,4.605,4.605,42547358.4
71,S_C,0.071623,2.206,2.205,47062546.2
71,S_D,0.117503,3.81,3.81,44696422.4
71,S_E,0.017441,0.505,0.505,50040846.7
72,S_A,0.016059,0.614,0.614,38432473.0
72,S_B0,0.05692,2.938,2.938,28488062.9
72,S_B45,0.05691,2.938,2.938,28488056.0
72,S_C,0.039161,1.681,1.68,34262155.3
72,S_D,0.047682,2.253,2.242,31120750.9
72,S_E,0.011103,0.419,0.419,38952445.4
73,S_A,0.004451,0.124,0.124,53499745.5
73,S_B0,0.013467,0.453,0.453,44405026.3
73,S_B45,0.013455,0.452,0.452,44405138.3
73,S_C,0.009499,0.284,0.284,49842480.6
73,S_D,0.013721,0.436,0.434,46944775.3
73,S_E,0.003194,0.088,0.088,53945313.8
74,S_A,0.008765,0.344,0.344,41112025.7
74,S_B0,0.051602,2.545,2.545,32697380.7
74,S_B45,0.051594,2.545,2.545,32697359.3
74,S_C,0.030983,1.324,1.324,37740922.4
74,S_D,0.048042,2.212,2.211,35031906.3
74,S_E,0.006037,0.235,0.235,41509920.4
75,S_A,0.005816,0.217,0.217,43277706.2
75,S_B0,0.017042,0.797,0.797,34484956.6
75,S_B45,0.017034,0.797,0.797,34484941.9
75,S_C,0.013848,0.563,0.563,39688659.3
75,S_D,0.018159,0.794,0.792,36885429.8
75,S_E,0.004292,0.158,0.158,43715263.0
76,S_A,0.003483,0.185,0.185,30942718.2
76,S_B0,0.012676,0.894,0.894,23236279.7
76,S_B45,0.012675,0.894,0.894,23236278.2
76,S_C,0.009105,0.539,0.539,27702313.7
76,S_D,0.011747,0.762,0.763,25274486.6
76,S_E,0.002462,0.129,0.129,31349125.6
77,S_A,0.008598,0.47,0.47,30467603.2
77,S_B0,0.026053,1.973,1.973,22007799.7
77,S_B45,0.026048,1.973,1.973,22007799.1
77,S_C,0.019275,1.196,1.196,26850930.5
77,S_D,0.028526,1.965,1.961,24200762.8
77,S_E,0.005638,0.304,0.304,30927480.0
78,S_A,0.006457,0.327,0.327,32927495.2
78,S_B0,0.020778,1.395,1.395,24831769.9
78,S_B45,0.020773,1.394,1.394,24831767.1
78,S_C,0.015522,0.875,0.875,29549623.4
78,S_D,0.021529,1.329,1.33,26989722.8
78,S_E,0.004625,0.231,0.231,33347567.0
79,S_A,0.006365,0.319,0.319,33245327.6
79,S_B0,0.024888,1.638,1.638,25322538.9
79,S_B45,0.024879,1.637,1.637,25322535.7
79,S_C,0.016017,0.891,0.891,29954521.4
79,S_D,0.02137,1.298,1.295,27446435.9
79,S_E,0.004429,0.219,0.219,33653336.1
80,S_A,0.00529,0.165,0.165,53324911.9
80,S_B0,0.011997,0.447,0.447,44748096.4
80,S_B45,0.011991,0.447,0.447,44748201.8
80,S_C,0.012039,0.402,0.402,49881768.3
