farm_id,p90_deficit_high,p90_deficit_low,delta_p90,eta_high,eta_low,n_upstream_wakes,multi_wake_frac
100,0.6035579522450766,0.04631568060980901,0.5572422716352676,0.33953869047748636,0.9489147122169158,7.645833492279053,0.7083333134651184
97,0.3908115069071452,0.12468912336561415,0.26612238354153106,0.6605264120917568,0.8492698315321785,3.775510311126709,0.7551020383834839
94,0.43997957441541885,0.07320502599080404,0.3667745484246148,0.41672470542126056,0.8964203344070137,4.860000133514404,0.800000011920929
95,0.36153310139973965,0.07015606562296552,0.29137703577677415,0.45325133067337575,0.9005982135748438,3.680000066757202,0.7599999904632568
96,0.5966116693284776,0.17422647476196287,0.4223851945665148,0.2607420640185511,0.8008829343717584,2.5999999046325684,0.6000000238418579
92,0.5506258328755697,0.11627727084689671,0.43434856202867295,0.6353668885946812,0.8602543358857029,3.555555582046509,0.6851851940155029
88,0.41893863677978516,0.07244542439778646,0.3464932123819987,0.3416616349051855,0.8565235090991705,10.563636779785156,0.8909090757369995
89,0.30266479916042754,0.11767052544487847,0.18499427371554908,0.6315833039593977,0.8281017870206394,1.9272726774215698,0.5454545617103577
90,0.43343549304538304,0.016378551059299026,0.417056941986084,0.5642592005546933,0.9676790745375665,1.9636363983154297,0.6363636255264282
91,0.47994794845581057,0.03877120547824436,0.4411767429775662,0.22952471187649195,0.9218085872273482,5.981818199157715,0.8181818127632141
85,0.4146496719784207,0.04482200410630971,0.36982766787211097,0.37712308140012574,0.9215428046028679,3.0,0.6785714030265808
86,0.6704814169141982,0.004968696170383036,0.6655127207438152,0.39191010609484433,0.977167205504114,5.0535712242126465,0.6428571343421936
87,0.3852501710255941,0.13726298014322913,0.24798719088236498,0.7037770490866821,0.8241885305579679,2.8392856121063232,0.6071428656578064
84,0.4512539545694987,0.11953824361165363,0.331715710957845,0.5211674674552033,0.8803270918029626,2.649122714996338,0.6315789222717285
82,0.42803679042392306,0.05994477801852758,0.36809201240539546,0.3102983968637526,0.8932773575598448,9.413793563842773,0.8965517282485962
83,0.5773860428068373,0.2871672418382433,0.2902188009685939,0.22151719572482886,0.5743007994209247,4.068965435028076,0.7241379022598267
