farm_id,year,n_turb,layout_type,wake_model,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s,layout_group,theta_opt,s1_expected_AEP,s1_expected_WakeLoss,farm_id_int,axis_deg,paradigm,n_turbines,depth_m,region,axis_deviation,AEP_GWh
97,2021,47,s1_opt_30deg,gauss,China,1032142116.1128486,1269795054.0424018,0.2813641326789561,0.1871585002422109,11.070704700003262,s1_opt,30,1149856476.1043377,0.2001104564735795,97.0,90.4,C,21.0,19.0,Europe,-60.400000000000006,1.0321421161128486
97,2022,47,s1_opt_30deg,gauss,China,1211517100.970053,1471661114.7264516,0.3203698681967127,0.1767689661384805,11.598675800007186,s1_opt,30,1149856476.1043377,0.2001104564735795,97.0,90.4,C,21.0,19.0,Europe,-60.400000000000006,1.211517100970053
97,2023,47,s1_opt_30deg,gauss,China,1034801218.3914587,1282424371.8516965,0.2782389384534092,0.1930898686077633,11.0715887999977,s1_opt,30,1149856476.1043377,0.2001104564735795,97.0,90.4,C,21.0,19.0,Europe,-60.400000000000006,1.0348012183914588
101,2021,47,s1_opt_10deg,gauss,China,2232675212.852146,2366990692.859563,0.5857426378917927,0.0567452505886916,11.046449899993604,s1_opt,10,2296623140.1402483,0.0551940574527258,101.0,100.5,A,10.0,3.0,Europe,89.5,2.232675212852146
101,2022,47,s1_opt_10deg,gauss,China,2368797799.422394,2492722246.135384,0.608989284427258,0.0497145026507135,10.990868799999587,s1_opt,10,2296623140.1402483,0.0551940574527258,101.0,100.5,A,10.0,3.0,Europe,89.5,2.368797799422394
101,2023,47,s1_opt_10deg,gauss,China,2084833665.223042,2208210275.497431,0.5537848076136325,0.0558717671244403,11.0201597000123,s1_opt,10,2296623140.1402483,0.0551940574527258,101.0,100.5,A,10.0,3.0,Europe,89.5,2.084833665223042
101,2024,47,s1_opt_10deg,gauss,China,2250564599.777192,2373161511.8953795,0.5949105874860078,0.0516597422904742,11.126331499996011,s1_opt,10,2296623140.1402483,0.0551940574527258,101.0,100.5,A,10.0,3.0,Europe,89.5,2.250564599777192
57,2014,48,s1_opt_40deg,gauss,Vietnam,488376850.9258992,770915218.2204019,0.1373264641331205,0.366497327613691,11.415283900001668,s1_opt,40,889416527.6501625,0.3668751898950718,57.0,6.7,A,106.0,4.0,East_Asia,33.3,0.4883768509258992
57,2015,48,s1_opt_40deg,gauss,Vietnam,623039784.5004028,965328559.3591886,0.1635172021973426,0.3545826667409554,11.773868099990068,s1_opt,40,889416527.6501625,0.3668751898950718,57.0,6.7,A,106.0,4.0,East_Asia,33.3,0.6230397845004028
98,2021,48,s1_opt_0deg,gauss,China,1018773854.8474152,1189535595.346614,0.2803018397955778,0.1435532834554992,11.443671699991684,s1_opt,0,1034698087.0005236,0.1448116039020899,98.0,44.8,A,10.0,2.0,Europe,-44.8,1.0187738548474152
98,2022,48,s1_opt_0deg,gauss,China,858137857.6179218,1004430686.6046668,0.2426750649342569,0.1456475105129122,11.45490169999539,s1_opt,0,1034698087.0005236,0.1448116039020899,98.0,44.8,A,10.0,2.0,Europe,-44.8,0.8581378576179218
98,2023,48,s1_opt_0deg,gauss,China,963693532.2197905,1121746584.9439502,0.2713834629347431,0.1408990718987187,11.561395400000038,s1_opt,0,1034698087.0005236,0.1448116039020899,98.0,44.8,A,10.0,2.0,Europe,-44.8,0.9636935322197905
98,2024,48,s1_opt_0deg,gauss,China,951269533.7154384,1108056049.66542,0.264700351085058,0.1414969179558414,11.55142600000545,s1_opt,0,1034698087.0005236,0.1448116039020899,98.0,44.8,A,10.0,2.0,Europe,-44.8,0.9512695337154383
99,2016,48,s1_opt_50deg,gauss,Sweden,899638126.3779489,1736133991.5406013,0.2297996685410405,0.4818152684288884,11.191054700000675,s1_opt,50,950679994.803102,0.4713218242100442,99.0,102.8,A,111.0,15.0,Europe,-52.8,0.8996381263779489
99,2017,48,s1_opt_50deg,gauss,Sweden,1080247932.628151,1997259991.137698,0.2762725910027802,0.4591350463027049,11.287488600006329,s1_opt,50,950679994.803102,0.4713218242100442,99.0,102.8,A,111.0,15.0,Europe,-52.8,1.0802479326281509
99,2018,48,s1_opt_50deg,gauss,Sweden,901619580.6029325,1711337611.8455756,0.2325008201827094,0.4731492054156458,11.273799699993106,s1_opt,50,950679994.803102,0.4713218242100442,99.0,102.8,A,111.0,15.0,Europe,-52.8,0.9016195806029325
99,2019,48,s1_opt_50deg,gauss,Sweden,1025199588.3824632,1904118344.175301,0.2607854060801952,0.4615883033118454,11.27695310000854,s1_opt,50,950679994.803102,0.4713218242100442,99.0,102.8,A,111.0,15.0,Europe,-52.8,1.0251995883824632
99,2020,48,s1_opt_50deg,gauss,Sweden,1057587277.64187,1911450921.871253,0.2679118225219555,0.4467096876301046,11.20702159999928,s1_opt,50,950679994.803102,0.4713218242100442,99.0,102.8,A,111.0,15.0,Europe,-52.8,1.05758727764187
99,2021,48,s1_opt_50deg,gauss,Sweden,845997065.7998712,1662639777.272046,0.2175649780376577,0.4911723649557274,11.287932499995804,s1_opt,50,950679994.803102,0.4713218242100442,99.0,102.8,A,111.0,15.0,Europe,-52.8,0.8459970657998712
99,2022,48,s1_opt_50deg,gauss,Sweden,949912545.4627358,1775721848.376238,0.2496826229767894,0.4650555511656523,11.218485200006398,s1_opt,50,950679994.803102,0.4713218242100442,99.0,102.8,A,111.0,15.0,Europe,-52.8,0.9499125454627357
99,2023,48,s1_opt_50deg,gauss,Sweden,1036915382.4550335,1849699903.367181,0.2677209542836353,0.4394142635962516,11.274850099987816,s1_opt,50,950679994.803102,0.4713218242100442,99.0,102.8,A,111.0,15.0,Europe,-52.8,1.0369153824550335
99,2024,48,s1_opt_50deg,gauss,Sweden,1016284597.902117,1849825807.099946,0.2609069105314533,0.4506052440173319,11.26321160000225,s1_opt,50,950679994.803102,0.4713218242100442,99.0,102.8,A,111.0,15.0,Europe,-52.8,1.0162845979021171
100,2014,48,s1_opt_30deg,gauss,Netherlands,1499726889.6688895,1834886662.2362304,0.3874542435693849,0.1826596592940906,12.692472399998223,s1_opt,30,1510615449.675271,0.1748040846458841,100.0,90.1,C,20.0,20.0,Europe,-60.099999999999994,1.4997268896688896
100,2015,48,s1_opt_30deg,gauss,Netherlands,1669445908.1472554,1971217723.785286,0.4259138266764775,0.1530890332390806,15.102814900004889,s1_opt,30,1510615449.675271,0.1748040846458841,100.0,90.1,C,20.0,20.0,Europe,-60.099999999999994,1.6694459081472555
100,2016,48,s1_opt_30deg,gauss,Netherlands,1410268815.91185,1729232464.436112,0.3640718752354012,0.1844538863826346,25.67629250000755,s1_opt,30,1510615449.675271,0.1748040846458841,100.0,90.1,C,20.0,20.0,Europe,-60.099999999999994,1.41026881591185
100,2017,48,s1_opt_30deg,gauss,Netherlands,1521750067.9115152,1831340471.173316,0.3975812191475198,0.1690512540595198,43.2062961999909,s1_opt,30,1510615449.675271,0.1748040846458841,100.0,90.1,C,20.0,20.0,Europe,-60.099999999999994,1.5217500679115152
100,2018,48,s1_opt_30deg,gauss,Netherlands,1464877573.5112467,1808139206.6992576,0.3735865195432036,0.1898424811077638,37.159000300001935,s1_opt,30,1510615449.675271,0.1748040846458841,100.0,90.1,C,20.0,20.0,Europe,-60.099999999999994,1.4648775735112467
100,2019,48,s1_opt_30deg,gauss,Netherlands,1525047899.3407345,1879187990.225528,0.3875086136878314,0.1884537857451355,43.78306769998744,s1_opt,30,1510615449.675271,0.1748040846458841,100.0,90.1,C,20.0,20.0,Europe,-60.099999999999994,1.5250478993407346
100,2020,48,s1_opt_30deg,gauss,Netherlands,1677087186.245329,1968054289.2399068,0.4319361649166895,0.1478450592473005,28.38405030001013,s1_opt,30,1510615449.675271,0.1748040846458841,100.0,90.1,C,20.0,20.0,Europe,-60.099999999999994,1.677087186245329
100,2021,48,s1_opt_30deg,gauss,Netherlands,1395569031.4442227,1710947277.8481004,0.3637932285004334,0.1843296111383026,33.77975810000498,s1_opt,30,1510615449.675271,0.1748040846458841,100.0,90.1,C,20.0,20.0,Europe,-60.099999999999994,1.3955690314442226
100,2022,48,s1_opt_30deg,gauss,Netherlands,1444550504.3975146,1759770284.077432,0.3752001268538614,0.1791255270827424,36.41190629999619,s1_opt,30,1510615449.675271,0.1748040846458841,100.0,90.1,C,20.0,20.0,Europe,-60.099999999999994,1.4445505043975146
100,2023,48,s1_opt_30deg,gauss,Netherlands,1657354265.1040196,1951028239.8402884,0.420051263459048,0.1505226673501707,39.09194169999682,s1_opt,30,1510615449.675271,0.1748040846458841,100.0,90.1,C,20.0,20.0,Europe,-60.099999999999994,1.6573542651040196
100,2024,48,s1_opt_30deg,gauss,Netherlands,1544471009.5044804,1865395885.767682,0.3963596866799295,0.1720411622603792,39.47462150000501,s1_opt,30,1510615449.675271,0.1748040846458841,100.0,90.1,C,20.0,20.0,Europe,-60.099999999999994,1.5444710095044805
31,2014,49,s1_opt_30deg,gauss,Netherlands,1775288694.71383,2283200686.846176,0.4439997735878926,0.2224561314555023,39.90216599999985,s1_opt,30,4963458005.1078615,0.1688540930410147,31.0,14.4,A,171.0,16.0,East_Asia,15.599999999999994,1.77528869471383
31,2015,49,s1_opt_30deg,gauss,Netherlands,1914495877.7672987,2445454611.446367,0.4668579811713536,0.2171206659055642,41.88163610000629,s1_opt,30,4963458005.1078615,0.1688540930410147,31.0,14.4,A,171.0,16.0,East_Asia,15.599999999999994,1.9144958777672987
44,2022,49,s1_opt_0deg,gauss,China,1385340709.59305,1534001920.6375034,0.3668863142934077,0.0969107072451855,42.07682580000255,s1_opt,0,3040376723.7483416,0.1263581680313908,44.0,128.3,A,40.0,9.0,East_Asia,51.69999999999999,1.3853407095930501
64,2021,49,s1_opt_0deg,gauss,Vietnam,614041386.1402551,690014003.3803346,0.1728953761038245,0.1101030078634556,41.26117040000099,s1_opt,0,1142837457.4823897,0.1291595807545137,64.0,73.4,A,79.0,12.0,East_Asia,-73.4,0.614041386140255
