turbine_id,lon,lat,depth_m,foundation,build_year,active_2024Q4
8757,12.868760585784914,55.07665824890137,-29.0,fixed,2020,True
8758,12.762379169464111,54.99498176574707,-27.0,fixed,2020,True
8759,12.761321067810059,55.01357460021973,-26.0,fixed,2020,True
8760,12.761737823486328,55.03299903869628,-27.0,fixed,2020,True
8761,12.756151199340819,55.00483703613281,-28.0,fixed,2020,True
8762,12.762136459350586,55.02335357666015,-27.0,fixed,2020,True
8763,12.76536750793457,55.0426959991455,-27.0,fixed,2020,True
8764,12.767879486083984,55.0539436340332,-27.0,fixed,2020,True
8765,12.815308570861815,55.03375816345215,-25.0,fixed,2020,True
8766,12.813504695892336,55.045166015625,-28.0,fixed,2020,True
8767,12.817402362823488,55.05645942687988,-28.0,fixed,2020,True
8768,12.788039207458496,55.05895233154297,-28.0,fixed,2020,True
8769,12.822847366333008,55.010032653808594,-19.0,fixed,2020,True
8770,12.823949813842775,55.0666618347168,-30.0,fixed,2020,True
8771,12.816173076629639,54.99895477294922,-20.0,fixed,2020,True
8772,12.819642066955566,55.01986885070801,-19.0,fixed,2020,True
8773,12.844850540161133,54.99003219604493,-22.0,fixed,2017,True
8774,12.768423557281494,54.98504447937012,-28.0,fixed,2020,True
8775,12.810541152954103,54.98468017578125,-23.0,fixed,2020,True
8776,12.886751651763916,55.07365036010742,-27.0,fixed,2020,True
8777,12.803963661193846,54.973400115966804,-28.0,fixed,2017,True
8778,12.775874137878418,54.97515869140626,-28.0,fixed,2020,True
8779,12.834688186645508,54.97171974182129,-28.0,fixed,2020,True
8780,12.903700828552246,54.97200393676758,-28.0,fixed,2020,True
8781,12.87207317352295,54.980207443237305,-25.0,fixed,2020,True
8782,12.868250370025637,54.97056579589844,-29.0,fixed,2020,True
8783,13.083776950836182,54.94992256164551,-42.0,fixed,2016,True
8784,13.09611940383911,54.950597763061516,-42.0,fixed,2016,True
8785,13.584176540374756,54.845415115356445,-45.0,fixed,2022,True
8786,13.573093891143797,54.83034515380859,-44.0,fixed,2022,True
8787,13.593843460083008,54.83325004577636,-44.0,fixed,2022,True
