farm_id,angle_deg,n_turb,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_s
126,60,27,Vietnam,1439571015.6429052,1526218813.794857,0.6086466326919099,0.05677285417318827,2.194177799996396
126,70,27,Vietnam,1439532159.665548,1526218813.794857,0.6086302044924523,0.05679831315522016,2.2051621999999043
126,80,27,Vietnam,1439571015.6429057,1526218813.794857,0.6086466326919101,0.05677285417318795,2.1949163999961456
126,90,27,Vietnam,1439532159.665548,1526218813.794857,0.6086302044924523,0.05679831315522016,2.1936435000025085
126,100,27,Vietnam,1439571015.6429052,1526218813.794857,0.6086466326919099,0.05677285417318827,2.199959499994293
126,110,27,Vietnam,1439532159.6655488,1526218813.794857,0.6086302044924525,0.056798313155219694,2.188462599995546
126,120,27,Vietnam,1439571015.6429048,1526218813.794857,0.6086466326919097,0.05677285417318858,2.200701300003857
126,130,27,Vietnam,1439532159.6655488,1526218813.794857,0.6086302044924525,0.056798313155219694,2.1934536999979173
126,150,27,Vietnam,1439532159.6655488,1526218813.794857,0.6086302044924525,0.056798313155219694,2.199969000001147
126,160,27,Vietnam,1439571015.6429052,1526218813.794857,0.6086466326919099,0.05677285417318827,2.1925913999948534
126,170,27,Vietnam,1439532159.6655486,1526218813.794857,0.6086302044924524,0.05679831315521985,2.204232199997932
130,0,26,Vietnam,1378346071.5732715,1469692191.0617144,0.6051747767708427,0.062153231842685314,2.1104777000000468
130,10,26,Vietnam,1378764309.3224676,1469692191.0617144,0.6053584076758287,0.061868656778777606,2.117185099996277
130,30,26,Vietnam,1378764309.322467,1469692191.0617144,0.6053584076758285,0.061868656778777925,2.1175354000006337
130,40,26,Vietnam,1378346071.5732715,1469692191.0617144,0.6051747767708427,0.062153231842685314,2.1938039000015124
130,50,26,Vietnam,1378764309.3224654,1469692191.0617144,0.6053584076758278,0.06186865677877906,2.3177021000010427
130,60,26,Vietnam,1378346071.573271,1469692191.0617144,0.6051747767708425,0.06215323184268564,2.3187681000054
130,70,26,Vietnam,1378764309.3224657,1469692191.0617144,0.6053584076758279,0.061868656778778904,2.3288037000020267
130,80,26,Vietnam,1378346071.5732708,1469692191.0617144,0.6051747767708424,0.0621532318426858,2.3225625999984914
130,90,26,Vietnam,1378764309.322466,1469692191.0617144,0.605358407675828,0.06186865677877874,2.119924300001003
130,100,26,Vietnam,1378346071.5732718,1469692191.0617144,0.6051747767708429,0.062153231842685154,2.126371799997287
130,110,26,Vietnam,1378764309.3224654,1469692191.0617144,0.6053584076758278,0.06186865677877906,2.1217609999948763
130,120,26,Vietnam,1378346071.5732713,1469692191.0617144,0.6051747767708426,0.06215323184268548,2.1148821000024327
130,130,26,Vietnam,1378764309.3224664,1469692191.0617144,0.6053584076758283,0.06186865677877841,2.128727900002559
130,140,26,Vietnam,1378346071.573271,1469692191.0617144,0.6051747767708425,0.06215323184268564,2.121376799994323
130,150,26,Vietnam,1378764309.322467,1469692191.0617144,0.6053584076758285,0.061868656778777925,2.1141357000014978
130,160,26,Vietnam,1378346071.5732715,1469692191.0617144,0.6051747767708427,0.062153231842685314,2.1172032000031322
130,170,26,Vietnam,1378764309.322466,1469692191.0617144,0.605358407675828,0.06186865677877874,2.1194497000033152
133,0,24,Vietnam,1282905672.477814,1356638945.5954285,0.6102100801359465,0.05434996050865471,1.9617071999964537
133,20,24,Vietnam,1282905672.4778152,1356638945.5954285,0.6102100801359471,0.05434996050865384,1.9592393999992055
133,30,24,Vietnam,1290676994.8209703,1356638945.5954285,0.6139064853600505,0.04862159603232346,1.964624599997478
133,40,24,Vietnam,1282905672.4778137,1356638945.5954285,0.6102100801359464,0.05434996050865489,1.9546038000044064
133,50,24,Vietnam,1290676994.8209703,1356638945.5954285,0.6139064853600505,0.04862159603232346,1.962615199998254
133,60,24,Vietnam,1282905672.4778142,1356638945.5954285,0.6102100801359467,0.05434996050865454,1.9651335000016843
133,70,24,Vietnam,1290676994.8209703,1356638945.5954285,0.6139064853600505,0.04862159603232346,1.9681067000055918
133,80,24,Vietnam,1282905672.4778152,1356638945.5954285,0.6102100801359471,0.05434996050865384,1.951933200005442
133,90,24,Vietnam,1290676994.82097,1356638945.5954285,0.6139064853600504,0.04862159603232364,1.9739230000050156
133,100,24,Vietnam,1282905672.4778144,1356638945.5954285,0.6102100801359468,0.054349960508654364,1.962781599999289
133,110,24,Vietnam,1290676994.8209698,1356638945.5954285,0.6139064853600503,0.04862159603232381,2.1236834000010276
133,120,24,Vietnam,1282905672.477814,1356638945.5954285,0.6102100801359465,0.05434996050865471,2.136499399995955
133,130,24,Vietnam,1290676994.8209705,1356638945.5954285,0.6139064853600507,0.048621596032323286,2.1457241000025533
133,140,24,Vietnam,1282905672.4778144,1356638945.5954285,0.6102100801359468,0.054349960508654364,2.138186600001063
133,150,24,Vietnam,1290676994.8209703,1356638945.5954285,0.6139064853600505,0.04862159603232346,2.1247151999996277
133,160,24,Vietnam,1282905672.4778137,1356638945.5954285,0.6102100801359464,0.05434996050865489,1.9595461999997497
133,170,24,Vietnam,1290676994.82097,1356638945.5954285,0.6139064853600504,0.04862159603232364,1.9615638999966905
