wd_sector_deg,ws_bin_m_s,wake_efficiency
340.0,20.0,1.0
340.0,22.0,1.0
340.0,25.0,1.0
340.0,30.0,1.0
350.0,0.0,1.0
350.0,3.0,0.27465610088348413
350.0,4.0,0.750001694609994
350.0,5.0,0.7985088973362037
350.0,6.0,0.8178228285882895
350.0,7.0,0.829042436132583
350.0,8.0,0.8285714284609039
350.0,9.0,0.8332856250434215
350.0,10.0,0.8519886093371549
350.0,11.0,0.9469540604352492
350.0,12.0,1.0
350.0,13.0,1.0
350.0,14.0,1.0
350.0,16.0,1.0
350.0,18.0,1.0
350.0,20.0,1.0
350.0,22.0,1.0
350.0,25.0,1.0
350.0,30.0,1.0
