farm_id,angle_deg,turbine_type,n_turb,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_s
57,110,ow_6MW,80,Vietnam,2194050145.7739367,2396916706.2857146,0.5217965529332993,0.08463646649872196,23.2376105000003
57,110,ow_8MW,80,Vietnam,2795140514.61782,3106754022.8571424,0.49856244909707115,0.100301956945,18.596189799995045
57,120,iea_10MW,80,Vietnam,4015664373.9456697,4522129818.651428,0.5730114688849415,0.11199710424429936,17.123883600004774
57,120,ow_6MW,80,Vietnam,2179151923.6792884,2396916706.2857146,0.5182534065066801,0.0908520442263831,16.28283700000611
57,120,ow_8MW,80,Vietnam,2775490762.630971,3106754022.8571424,0.49505757038937126,0.10662680656047675,16.646585200003756
57,130,iea_10MW,80,Vietnam,4035622908.2397633,4522129818.651428,0.5758594332533908,0.10758357895986921,16.33764930000325
57,130,ow_6MW,80,Vietnam,2194050145.7739406,2396916706.2857146,0.5217965529333002,0.08463646649872038,16.407091499997478
57,130,ow_8MW,80,Vietnam,2795140514.617826,3106754022.8571424,0.49856244909707226,0.10030195694499801,16.170846399996663
57,140,iea_10MW,80,Vietnam,4015664373.945688,4522129818.651428,0.573011468884944,0.11199710424429535,16.62729330000002
57,140,ow_6MW,80,Vietnam,2179151923.6792903,2396916706.2857146,0.5182534065066805,0.0908520442263823,16.67332219999662
57,140,ow_8MW,80,Vietnam,2775490762.6309767,3106754022.8571424,0.49505757038937226,0.10662680656047491,16.395863000005193
57,150,iea_10MW,80,Vietnam,4035622908.2397776,4522129818.651428,0.575859433253393,0.10758357895986605,16.597632299999532
57,150,ow_6MW,80,Vietnam,2194050145.773942,2396916706.2857146,0.5217965529333005,0.08463646649871978,16.25079380000534
57,150,ow_8MW,80,Vietnam,2795140514.6178265,3106754022.8571424,0.49856244909707237,0.10030195694499786,16.591751899999508
57,160,iea_10MW,80,Vietnam,4015664373.9456716,4522129818.651428,0.5730114688849417,0.11199710424429894,15.970319000000018
57,160,ow_6MW,80,Vietnam,2179151923.6792874,2396916706.2857146,0.5182534065066798,0.09085204422638349,16.18302940000285
57,160,ow_8MW,80,Vietnam,2775490762.6309695,3106754022.8571424,0.495057570389371,0.10662680656047721,16.193962700002885
57,170,iea_10MW,80,Vietnam,4035622908.239779,4522129818.651428,0.5758594332533932,0.10758357895986573,16.778326799998467
57,170,ow_6MW,80,Vietnam,2194050145.7739425,2396916706.2857146,0.5217965529333006,0.08463646649871957,16.698405100003583
57,170,ow_8MW,80,Vietnam,2795140514.6178265,3106754022.8571424,0.49856244909707237,0.10030195694499786,16.806715200000326
66,0,iea_10MW,74,China,3914231470.7557473,4182970082.2525716,0.6038244277976903,0.06424588419530503,14.818737500005227
66,0,ow_6MW,74,China,2104574879.9563293,2217147953.3142858,0.5410997161432827,0.05077382102068446,15.367420999995375
66,0,ow_8MW,74,China,2703876137.649158,2873747471.1428566,0.5213879384273491,0.05911143383316931,14.886303200000839
66,10,iea_10MW,74,China,3974457274.5703187,4182970082.2525716,0.6131150923377636,0.049848027497716794,14.517117600000347
66,10,ow_6MW,74,China,2140617203.3868074,2217147953.3142858,0.5503664289426775,0.034517655807803416,15.601591899998311
66,10,ow_8MW,74,China,2754039474.655406,2873747471.1428566,0.5310609254781034,0.04165571181515267,14.737090699993132
66,20,iea_10MW,74,China,3914231470.7557387,4182970082.2525716,0.603824427797689,0.06424588419530708,14.601706900000863
66,20,ow_6MW,74,China,2104574879.9563317,2217147953.3142858,0.5410997161432832,0.05077382102068338,14.78949389999616
66,20,ow_8MW,74,China,2703876137.6491585,2873747471.1428566,0.5213879384273491,0.05911143383316914,15.031100699998206
66,30,iea_10MW,74,China,3974457274.5215993,4182970082.2525716,0.613115092330248,0.04984802750936388,14.668038499999966
66,30,ow_6MW,74,China,2140617203.386809,2217147953.3142858,0.5503664289426778,0.034517655807802666,14.234028699996998
66,30,ow_8MW,74,China,2754039474.6554093,2873747471.1428566,0.531060925478104,0.04165571181515151,14.830763300000399
66,40,iea_10MW,74,China,3914231470.755754,4182970082.2525716,0.6038244277976913,0.06424588419530343,15.031638599997677
66,40,ow_6MW,74,China,2104574879.956329,2217147953.3142858,0.5410997161432826,0.05077382102068457,14.47140760000184
66,40,ow_8MW,74,China,2703876137.6491594,2873747471.1428566,0.5213879384273493,0.05911143383316881,14.447899799997685
66,50,iea_10MW,74,China,3974457274.570341,4182970082.2525716,0.6131150923377671,0.04984802749771144,14.515506499999901
66,50,ow_6MW,74,China,2140617203.386816,2217147953.3142858,0.5503664289426796,0.034517655807799544,14.681274599999597
66,50,ow_8MW,74,China,2754039474.6554174,2873747471.1428566,0.5310609254781056,0.04165571181514869,14.81835200000205
66,60,iea_10MW,74,China,3914231470.7557535,4182970082.2525716,0.6038244277976912,0.06424588419530354,14.769082599996182
66,60,ow_6MW,74,China,2104574879.9563322,2217147953.3142858,0.5410997161432834,0.05077382102068317,14.963223700004164
66,60,ow_8MW,74,China,2703876137.649163,2873747471.1428566,0.52138793842735,0.05911143383316765,14.798909200006165
66,70,iea_10MW,74,China,3974457274.521574,4182970082.2525716,0.6131150923302441,0.049848027509369924,14.495593299994653
66,70,ow_6MW,74,China,2140617203.3868017,2217147953.3142858,0.550366428942676,0.034517655807806,14.467239099998551
66,70,ow_8MW,74,China,2754039474.655399,2873747471.1428566,0.531060925478102,0.04165571181515516,14.744159599998966
66,80,iea_10MW,74,China,3914231470.755756,4182970082.2525716,0.6038244277976916,0.06424588419530297,15.134070899999642
66,80,ow_6MW,74,China,2104574879.9563346,2217147953.3142858,0.541099716143284,0.05077382102068209,15.441196200001286
66,80,ow_8MW,74,China,2703876137.6491647,2873747471.1428566,0.5213879384273503,0.059111433833166985,15.314940999996907
