farm_id,country,lat,lon,wd_deg
57,Vietnam,9.2189,105.8099,270.9
57,Vietnam,9.2189,105.8099,260.5
57,Vietnam,9.2189,105.8099,244.1
57,Vietnam,9.2189,105.8099,278.2
57,Vietnam,9.2189,105.8099,283.7
57,Vietnam,9.2189,105.8099,272.1
57,Vietnam,9.2189,105.8099,241.0
57,Vietnam,9.2189,105.8099,275.9
57,Vietnam,9.2189,105.8099,277.4
57,Vietnam,9.2189,105.8099,266.2
57,Vietnam,9.2189,105.8099,262.7
57,Vietnam,9.2189,105.8099,260.5
57,Vietnam,9.2189,105.8099,276.5
57,Vietnam,9.2189,105.8099,256.8
57,Vietnam,9.2189,105.8099,238.1
57,Vietnam,9.2189,105.8099,261.4
57,Vietnam,9.2189,105.8099,256.8
57,Vietnam,9.2189,105.8099,257.5
57,Vietnam,9.2189,105.8099,238.4
57,Vietnam,9.2189,105.8099,219.4
57,Vietnam,9.2189,105.8099,228.8
57,Vietnam,9.2189,105.8099,232.3
57,Vietnam,9.2189,105.8099,229.6
57,Vietnam,9.2189,105.8099,192.7
57,Vietnam,9.2189,105.8099,187.4
57,Vietnam,9.2189,105.8099,235.5
57,Vietnam,9.2189,105.8099,263.4
57,Vietnam,9.2189,105.8099,244.8
57,Vietnam,9.2189,105.8099,254.4
57,Vietnam,9.2189,105.8099,245.3
57,Vietnam,9.2189,105.8099,250.4
57,Vietnam,9.2189,105.8099,289.8
57,Vietnam,9.2189,105.8099,262.5
57,Vietnam,9.2189,105.8099,279.3
57,Vietnam,9.2189,105.8099,248.9
57,Vietnam,9.2189,105.8099,236.6
57,Vietnam,9.2189,105.8099,235.3
57,Vietnam,9.2189,105.8099,237.5
57,Vietnam,9.2189,105.8099,250.0
57,Vietnam,9.2189,105.8099,252.8
57,Vietnam,9.2189,105.8099,234.0
57,Vietnam,9.2189,105.8099,239.8
57,Vietnam,9.2189,105.8099,254.5
57,Vietnam,9.2189,105.8099,274.0
57,Vietnam,9.2189,105.8099,265.9
57,Vietnam,9.2189,105.8099,261.6
57,Vietnam,9.2189,105.8099,262.7
57,Vietnam,9.2189,105.8099,252.0
57,Vietnam,9.2189,105.8099,244.0
57,Vietnam,9.2189,105.8099,246.6
57,Vietnam,9.2189,105.8099,252.1
57,Vietnam,9.2189,105.8099,212.4
57,Vietnam,9.2189,105.8099,243.8
57,Vietnam,9.2189,105.8099,263.2
57,Vietnam,9.2189,105.8099,239.6
57,Vietnam,9.2189,105.8099,246.4
57,Vietnam,9.2189,105.8099,253.2
57,Vietnam,9.2189,105.8099,237.9
57,Vietnam,9.2189,105.8099,251.6
57,Vietnam,9.2189,105.8099,243.7
57,Vietnam,9.2189,105.8099,223.3
57,Vietnam,9.2189,105.8099,230.7
57,Vietnam,9.2189,105.8099,251.8
57,Vietnam,9.2189,105.8099,239.3
57,Vietnam,9.2189,105.8099,246.4
57,Vietnam,9.2189,105.8099,236.8
57,Vietnam,9.2189,105.8099,299.9
57,Vietnam,9.2189,105.8099,184.3
57,Vietnam,9.2189,105.8099,97.1
57,Vietnam,9.2189,105.8099,120.2
57,Vietnam,9.2189,105.8099,76.5
57,Vietnam,9.2189,105.8099,72.4
57,Vietnam,9.2189,105.8099,66.5
57,Vietnam,9.2189,105.8099,87.3
57,Vietnam,9.2189,105.8099,76.0
57,Vietnam,9.2189,105.8099,206.9
57,Vietnam,9.2189,105.8099,270.5
57,Vietnam,9.2189,105.8099,288.9
57,Vietnam,9.2189,105.8099,265.1
57,Vietnam,9.2189,105.8099,285.9
57,Vietnam,9.2189,105.8099,244.5
57,Vietnam,9.2189,105.8099,259.6
57,Vietnam,9.2189,105.8099,284.5
57,Vietnam,9.2189,105.8099,284.9
57,Vietnam,9.2189,105.8099,273.4
57,Vietnam,9.2189,105.8099,307.3
57,Vietnam,9.2189,105.8099,309.3
57,Vietnam,9.2189,105.8099,298.6
57,Vietnam,9.2189,105.8099,251.9
57,Vietnam,9.2189,105.8099,249.8
57,Vietnam,9.2189,105.8099,244.0
57,Vietnam,9.2189,105.8099,241.0
57,Vietnam,9.2189,105.8099,240.2
57,Vietnam,9.2189,105.8099,250.9
57,Vietnam,9.2189,105.8099,236.1
57,Vietnam,9.2189,105.8099,291.7
57,Vietnam,9.2189,105.8099,283.6
57,Vietnam,9.2189,105.8099,291.9
