farm_id,year,n_turb,Sx_D,Sy_D,Nrow,Ncol,phi_stagger,gamma_skew,psi4,psi6,fft_spacing_m,fft_angle_deg,fft_peak_magnitude,nn_mean_m,nn_std_m,nn_cov,rdf_peak1_m,rdf_peak2_m
4,2022,361,,,,,,,0.5248033099465338,0.26128220073144665,713.4772412317412,-92.72631099390628,116.76822556288208,724.8950179243691,133.4050660080133,0.18403363619465782,4900.0,5700.0
4,2023,362,,,,,,,0.5241282239276621,0.26126847453580615,713.4772412317412,-92.72631099390628,115.8061322177945,725.716042858908,133.78954387823015,0.1843552243259988,4900.0,5700.0
4,2024,364,,,,,,,0.5198132144510476,0.26015094238164566,1358.036190637778,-95.1944289077348,128.2125975998198,725.6923722728133,133.3085477782055,0.18369842769697756,4900.0,5700.0
5,2018,3,,,,,,,0.9999958445099076,0.999990650159434,,,,10331.883514579931,5028.850326646919,0.4867312256812043,3500.0,
5,2019,174,34.84,46.13,8.0,6.0,0.029,,0.18790976774528767,0.32473628429721213,241.99844691272887,-107.85031830221683,85.58125467255897,1474.6353832828474,173.6921404065514,0.117786499887095,4700.0,5300.0
5,2020,174,34.84,46.13,8.0,6.0,0.029,,0.18790976774528767,0.32473628429721213,241.99844691272887,-107.85031830221683,85.58125467255897,1474.6353832828474,173.6921404065514,0.117786499887095,4700.0,5300.0
5,2021,334,59.3,69.64,14.0,8.0,0.003,,0.15368120516320963,0.3216149910536699,718.3697139158635,-106.69924423399362,115.08690817655587,1455.7742195402427,187.9585340093912,0.12911242106537069,4700.0,5300.0
5,2022,339,59.3,69.64,14.0,8.0,0.003,,0.1489135587060247,0.3153391538297739,718.3697139158635,-106.69924423399362,114.75810961678727,1450.8326714388938,187.2356566602061,0.12905392906165478,4700.0,5300.0
5,2023,339,59.3,69.64,14.0,8.0,0.003,,0.1489135587060247,0.3153391538297739,718.3697139158635,-106.69924423399362,114.75810961678727,1450.8326714388938,187.2356566602061,0.12905392906165478,4700.0,5300.0
5,2024,339,59.3,69.64,14.0,8.0,0.003,,0.1489135587060247,0.3153391538297739,718.3697139158635,-106.69924423399362,114.75810961678727,1450.8326714388938,187.2356566602061,0.12905392906165478,4700.0,5300.0
6,2021,116,31.08,32.96,7.0,6.0,0.012,,0.939605566534517,0.8660845659733122,1286.2393885688164,-30.96375653207352,78.9955531219204,720.8271704661939,111.21630064919087,0.15428982869397373,2700.0,3500.0
6,2022,116,31.08,32.96,7.0,6.0,0.012,,0.939605566534517,0.8660845659733122,1286.2393885688164,-30.96375653207352,78.9955531219204,720.8271704661939,111.21630064919087,0.15428982869397373,2700.0,3500.0
6,2023,239,,,,,,,0.81943286384739,0.5552494094546896,1076.9372379266072,158.96248897457818,94.77098606641981,852.3799642725638,159.27914679222326,0.18686402011825196,3500.0,4500.0
6,2024,292,,,,,,,0.8179530463534205,0.5150300861701325,1060.6601717798212,171.86989764584402,117.6430038852503,886.257535084173,154.2022649174078,0.17399261367381472,5700.0,6100.0
7,2014,130,16.03,18.85,5.0,5.0,0.007,,0.29805666166671974,0.05293840804336476,598.0891671216749,-175.42607874009914,85.48620432600201,787.8165182455278,8.188882173494468,0.010394402736986472,1100.0,1700.0
7,2015,130,16.03,18.85,5.0,5.0,0.007,,0.29805666166671974,0.05293840804336476,598.0891671216749,-175.42607874009914,85.48620432600201,787.8165182455278,8.188882173494468,0.010394402736986472,1100.0,1700.0
7,2016,130,16.03,18.85,5.0,5.0,0.007,,0.29805666166671974,0.05293840804336476,598.0891671216749,-175.42607874009914,85.48620432600201,787.8165182455278,8.188882173494468,0.010394402736986472,1100.0,1700.0
7,2017,132,16.03,18.85,5.0,5.0,0.007,,0.2900379183889408,0.04893250857375969,598.0891671216749,-175.42607874009914,87.32148972118478,789.9956244799304,8.237849441780304,0.010427715276528832,1100.0,1700.0
7,2018,253,18.85,27.31,8.0,8.0,0.012,,0.23376300802622074,0.062154992595725295,454.33689961153704,-35.13419305691563,114.86021135698317,813.3189164000866,36.13121245602443,0.04442440932758389,3100.0,3700.0
7,2019,269,18.85,27.31,8.0,8.0,0.012,,0.2180766856296886,0.05189415542943101,283.0188679245283,,118.31492112103776,818.3505449717754,38.80055172792686,0.04741311894557982,3700.0,4500.0
7,2020,284,18.85,27.31,8.0,8.0,0.01,,0.21246680864175221,0.06206606394401891,272.5471358035724,-177.91743472026914,118.94858985491794,824.1711642129075,41.27981088819125,0.050086453737572735,3700.0,4500.0
7,2021,284,18.85,27.31,8.0,8.0,0.01,,0.21246680864175221,0.06206606394401891,272.5471358035724,-177.91743472026914,118.94858985491794,824.1711642129075,41.27981088819125,0.050086453737572735,3700.0,4500.0
7,2022,284,18.85,27.31,8.0,8.0,0.01,,0.21246680864175221,0.06206606394401891,272.5471358035724,-177.91743472026914,118.94858985491794,824.1711642129075,41.27981088819125,0.050086453737572735,3700.0,4500.0
7,2023,284,18.85,27.31,8.0,8.0,0.01,,0.21246680864175221,0.06206606394401891,272.5471358035724,-177.91743472026914,118.94858985491794,824.1711642129075,41.27981088819125,0.050086453737572735,3700.0,4500.0
7,2024,284,18.85,27.31,8.0,8.0,0.01,,0.21246680864175221,0.06206606394401891,272.5471358035724,-177.91743472026914,118.94858985491794,824.1711642129075,41.27981088819125,0.050086453737572735,3700.0,4500.0
8,2021,22,12.26,25.43,2.0,3.0,0.028,,0.47225544456629714,0.4523392218761089,880.8303292720552,-93.3664606634298,18.271738216963787,1451.5987329994332,472.23654148750046,0.32532168205446127,500.0,2500.0
